hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,415.4664620384581,102.48939243477476,102.0,245.0,0.0,11077,0.0,11,-42.5,0,0
2,7,534.0230825154489,102.44892766266813,143.0,246.0,0.0,11004,0.0,10,-47.5,0,1
3,8,652.8278501777089,102.64786293629818,102.0,245.0,0.0,10973,0.0,11,-42.5,0,2
4,9,771.4646684831971,102.77284287011807,102.0,245.0,0.0,11010,0.0,11,-42.5,0,3
5,10,890.0242075454462,102.7757376450169,102.0,245.0,0.0,10947,0.0,11,-42.5,0,4
6,11,1009.0106528270965,102.6122188837294,102.0,245.0,0.0,10983,0.0,11,-42.5,0,5
7,12,1127.4968854382955,102.4792813938792,102.0,245.0,0.0,11077,0.0,11,-42.5,0,6
8,16,1246.1130963177943,102.410937783421,102.0,245.0,0.0,11026,0.0,11,-42.5,0,7
9,17,1364.905193510378,102.53892866853984,61.0,244.0,0.0,11033,0.0,12,-37.5,0,8
10,18,1483.498555695974,102.47436360353855,61.0,244.0,0.0,11078,0.0,12,-37.5,0,9
11,19,1957.746885719444,102.47319010651742,61.0,244.0,0.0,11078,0.0,12,-37.5,0,10
12,20,2076.9665940450254,102.46505083514887,61.0,244.0,0.0,11016,0.0,12,-37.5,0,11
13,21,2195.533104816886,102.44362258704673,61.0,244.0,0.0,11086,0.0,12,-37.5,0,12
14,44,355.58464602571064,205.39426036574326,102.0,245.0,0.0,11046,0.0,11,-42.5,1,0
15,45,474.6157751586582,205.47470534904804,102.0,245.0,0.0,11030,0.0,11,-42.5,1,1
16,46,593.4506991102234,205.52505901579806,102.0,245.0,0.0,11014,0.0,11,-42.5,1,2
17,47,712.0221044939715,205.5536170990135,102.0,245.0,0.0,10948,0.0,11,-42.5,1,3
18,48,830.9061101470454,205.55731116996986,102.0,245.0,0.0,10949,0.0,11,-42.5,1,4
19,49,949.4713468349833,205.548088275361,102.0,245.0,0.0,11011,0.0,11,-42.5,1,5
20,50,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,6
21,51,1186.9157683171934,205.55234788964006,102.0,245.0,0.0,10946,0.0,11,-42.5,1,7
22,52,1305.4598672847924,205.53013362421598,102.0,245.0,0.0,11001,0.0,11,-42.5,1,8
23,53,1424.0373584216295,205.54229082937522,61.0,244.0,0.0,10948,0.0,12,-37.5,1,9
24,54,1543.04920418372,205.38271941791723,61.0,244.0,0.0,10995,0.0,12,-37.5,1,10
25,41,1661.5036963577354,205.1999639379733,102.0,245.0,0.0,11092,0.0,11,-42.5,1,11
26,42,1780.0580656868083,205.17120304844855,102.0,245.0,0.0,11022,0.0,11,-42.5,1,12
27,55,1898.8454603405883,205.40916127857207,61.0,244.0,0.0,10981,0.0,12,-37.5,1,13
28,56,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,14
29,57,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,15
30,58,2255.0554999545084,205.35492675825677,61.0,244.0,0.0,10991,0.0,12,-37.5,1,16
31,43,2373.516768842409,205.19194013703571,61.0,244.0,0.0,11092,0.0,12,-37.5,1,17
32,59,296.47302190838315,308.1845917074054,102.0,245.0,0.0,11046,0.0,11,-42.5,2,0
33,60,415.4557260920897,308.3481064390155,102.0,245.0,0.0,11011,0.0,11,-42.5,2,1
34,61,534.0137023842149,308.33041015803417,102.0,245.0,0.0,10947,0.0,11,-42.5,2,2
35,62,652.9047227550927,308.3368959532292,102.0,245.0,0.0,10947,0.0,11,-42.5,2,3
36,63,771.4442526124488,308.3123125851886,102.0,245.0,0.0,11005,0.0,11,-42.5,2,4
37,64,890.0382823206944,308.32763819095476,102.0,245.0,0.0,10945,0.0,11,-42.5,2,5
38,65,1008.9128528363935,308.3297707134375,102.0,245.0,0.0,10947,0.0,11,-42.5,2,6
39,66,1127.4716672720667,308.3431710860879,102.0,245.0,0.0,11012,0.0,11,-42.5,2,7
40,67,1246.0212999360087,308.31172867721,102.0,245.0,0.0,10939,0.0,11,-42.5,2,8
41,68,1364.9141552511417,308.3158904109589,61.0,244.0,0.0,10950,0.0,12,-37.5,2,9
42,69,1483.4909668633682,308.35542442124375,61.0,244.0,0.0,11015,0.0,12,-37.5,2,10
43,70,1602.0600493556349,308.3650488986381,102.0,245.0,0.0,10941,0.0,11,-42.5,2,11
44,71,1720.9318534758381,308.3281264273317,102.0,245.0,0.0,10947,0.0,11,-42.5,2,12
45,72,1839.4459153141718,308.39105993290417,61.0,244.0,0.0,11029,0.0,12,-37.5,2,13
