hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,415.4786417411722,102.50555405039285,143.0,246.0,0.0,11073,0.0,10,-47.5,0,0
2,8,534.0341445695605,102.48183799491464,143.0,246.0,0.0,11012,0.0,10,-47.5,0,1
3,9,652.8278501777089,102.64786293629818,143.0,246.0,0.0,10973,0.0,10,-47.5,0,2
4,10,771.4646684831971,102.77284287011807,143.0,246.0,0.0,11010,0.0,10,-47.5,0,3
5,11,890.0242075454462,102.7757376450169,143.0,246.0,0.0,10947,0.0,10,-47.5,0,4
6,12,1008.95474784189,102.67369377555657,102.0,245.0,0.0,11005,0.0,11,-42.5,0,5
7,13,1127.4968854382955,102.4792813938792,102.0,245.0,0.0,11077,0.0,11,-42.5,0,6
8,17,1246.1130963177943,102.410937783421,102.0,245.0,0.0,11026,0.0,11,-42.5,0,7
9,18,1364.9436977842354,102.48029422448238,102.0,245.0,0.0,11012,0.0,11,-42.5,0,8
10,19,1483.4994582881907,102.48365836041893,102.0,245.0,0.0,11076,0.0,11,-42.5,0,9
11,20,1957.7425966052726,102.48239436619718,102.0,245.0,0.0,11076,0.0,11,-42.5,0,10
12,21,2076.9650413148097,102.478979387996,102.0,245.0,0.0,11013,0.0,11,-42.5,0,11
13,22,2195.484780259366,102.35338616714698,102.0,245.0,0.0,11104,0.0,11,-42.5,0,12
14,50,355.58614757808965,205.39927569035763,143.0,246.0,0.0,11045,0.0,10,-47.5,1,0
15,51,474.56583726843445,205.5518525245187,143.0,246.0,0.0,11012,0.0,10,-47.5,1,1
16,52,593.4587230950867,205.538098265371,143.0,246.0,0.0,11011,0.0,10,-47.5,1,2
17,53,712.0221044939715,205.5536170990135,143.0,246.0,0.0,10948,0.0,10,-47.5,1,3
18,54,830.9061101470454,205.55731116996986,143.0,246.0,0.0,10949,0.0,10,-47.5,1,4
19,55,949.1184751805466,205.5324984002194,143.0,246.0,0.0,10939,0.0,10,-47.5,1,5
