hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,2496.899271164268,28.785740982993833,249.0,248.0,247.0,10702,90.91204540653565,7,,0,0
2,12,3412.7995365005795,26.994351100811123,249.0,248.0,247.0,13808,90.91204540653565,7,,0,1
3,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
4,15,1340.2443120260023,110.18627147500386,102.0,245.0,0.0,12922,0.0,11,-42.5,1,1
5,17,1468.493622647379,110.2299735573184,61.0,244.0,0.0,12858,0.0,12,-37.5,1,2
6,18,1596.0518254950496,110.22083849009901,61.0,244.0,0.0,12928,0.0,12,-37.5,1,3
7,20,1723.607840087112,110.21109123434705,61.0,244.0,0.0,12857,0.0,12,-37.5,1,4
8,21,1851.5050544323483,110.2113530326594,61.0,244.0,0.0,12860,0.0,12,-37.5,1,5
9,22,1979.0768159665815,110.22534230679972,61.0,244.0,0.0,12927,0.0,12,-37.5,1,6
10,25,2106.958620156238,110.21556191507464,61.0,244.0,0.0,12929,0.0,12,-37.5,1,7
11,27,2234.5206065318816,110.21189735614308,61.0,244.0,0.0,12860,0.0,12,-37.5,1,8
12,28,2362.0863242574255,110.22772277227723,61.0,244.0,0.0,12928,0.0,12,-37.5,1,9
13,30,2489.947840197821,110.2733946371996,20.0,243.0,0.0,12941,0.0,13,-32.5,1,10
14,32,2617.549307823923,110.22686265360088,20.0,243.0,0.0,12858,0.0,13,-32.5,1,11
15,33,2745.4476834577113,110.22768967661692,20.0,243.0,0.0,12864,0.0,13,-32.5,1,12
16,34,3000.1637431419517,110.23769415037478,143.0,246.0,0.0,12941,0.0,10,-47.5,1,13
17,38,3128.4590074673306,110.22829807093964,143.0,246.0,0.0,12856,0.0,10,-47.5,1,14
18,40,3256.023978960396,110.22269492574257,143.0,246.0,0.0,12928,0.0,10,-47.5,1,15
19,42,3383.5899191039202,110.22759800871188,143.0,246.0,0.0,12856,0.0,10,-47.5,1,16
20,43,3511.4818012132523,110.22087416394463,143.0,246.0,0.0,12858,0.0,10,-47.5,1,17
21,45,3639.0540728707356,110.22480080451767,143.0,246.0,0.0,12927,0.0,10,-47.5,1,18
22,54,255.15364381866007,220.8101500850998,61.0,244.0,0.0,12926,0.0,12,-37.5,2,0
