hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,1323.8953713005178,44.77745151070242,237.0,246.0,235.0,12941,86.70063436907483,7,,0,0
2,9,2496.899271164268,28.785740982993833,249.0,248.0,247.0,10702,90.91204540653565,7,,0,1
3,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
4,15,1340.26584139265,110.22274661508705,143.0,246.0,0.0,12925,0.0,10,-47.5,1,1
5,17,1468.493622647379,110.2299735573184,143.0,246.0,0.0,12858,0.0,10,-47.5,1,2
6,18,1596.051674789201,110.22619323895722,143.0,246.0,0.0,12927,0.0,10,-47.5,1,3
7,20,1723.5636843740292,110.30017086051569,102.0,245.0,0.0,12876,0.0,11,-42.5,1,4
8,21,1851.4908977750117,110.18671230745294,102.0,245.0,0.0,12854,0.0,11,-42.5,1,5
9,22,1979.0846802258138,110.2425953135875,61.0,244.0,0.0,12931,0.0,12,-37.5,1,6
10,25,2106.9538985148515,110.2128712871287,102.0,245.0,0.0,12928,0.0,11,-42.5,1,7
11,27,2234.507235101914,110.1867901042477,102.0,245.0,0.0,12854,0.0,11,-42.5,1,8
12,28,2362.0863242574255,110.22772277227723,61.0,244.0,0.0,12928,0.0,12,-37.5,1,9
13,30,2489.9808941831684,110.22841893564356,61.0,244.0,0.0,12928,0.0,12,-37.5,1,10
14,32,2617.554881369117,110.21369117075068,102.0,245.0,0.0,12855,0.0,11,-42.5,1,11
15,33,2745.4542910447763,110.21921641791045,102.0,245.0,0.0,12864,0.0,11,-42.5,1,12
16,34,3000.1567885016616,110.25399891816707,185.0,247.0,0.0,12941,0.0,9,-52.5,1,13
17,38,3128.4590074673306,110.22829807093964,185.0,247.0,0.0,12856,0.0,9,-52.5,1,14
18,40,3256.3820828144458,110.22758405977584,227.0,248.0,0.0,12848,0.0,8,-57.5,1,15
19,42,3383.5864269592967,110.26344462604094,227.0,248.0,0.0,12849,0.0,8,-57.5,1,16
20,43,3511.4919053549193,110.2618306351183,227.0,248.0,0.0,12848,0.0,8,-57.5,1,17
21,46,3639.00581305224,110.16369555107735,227.0,248.0,0.0,12902,0.0,8,-57.5,1,18
22,55,255.15041782729804,220.81917363045497,143.0,246.0,0.0,12924,0.0,10,-47.5,2,0
23,56,383.04193099179946,220.81896951879932,143.0,246.0,0.0,12926,0.0,10,-47.5,2,1
24,57,510.6015868077162,220.82342874922216,143.0,246.0,0.0,12856,0.0,10,-47.5,2,2
