hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,415.36675724637684,102.64873188405797,102.0,245.0,0.0,11040,0.0,11,-42.5,0,0
2,8,534.0133369873024,102.76477573764501,102.0,245.0,0.0,10947,0.0,11,-42.5,0,1
3,9,652.9019822782498,102.75966018087148,102.0,245.0,0.0,10947,0.0,11,-42.5,0,2
4,10,771.4646684831971,102.77284287011807,102.0,245.0,0.0,11010,0.0,11,-42.5,0,3
5,11,890.1203788016754,102.62374795119285,102.0,245.0,0.0,10982,0.0,11,-42.5,0,4
6,12,1008.9324312051584,102.49169012805376,102.0,245.0,0.0,11011,0.0,11,-42.5,0,5
7,13,1127.4968854382955,102.4792813938792,102.0,245.0,0.0,11077,0.0,11,-42.5,0,6
8,17,1246.1130963177943,102.410937783421,102.0,245.0,0.0,11026,0.0,11,-42.5,0,7
9,18,1364.9436977842354,102.48029422448238,102.0,245.0,0.0,11012,0.0,11,-42.5,0,8
10,19,1957.746885719444,102.47319010651742,61.0,244.0,0.0,11078,0.0,12,-37.5,0,9
11,20,2076.9665940450254,102.46505083514887,61.0,244.0,0.0,11016,0.0,12,-37.5,0,10
12,21,2195.533104816886,102.44362258704673,61.0,244.0,0.0,11086,0.0,12,-37.5,0,11
13,40,237.46460456308054,205.20380557309045,102.0,245.0,0.0,11089,0.0,11,-42.5,1,0
14,45,355.9144053906392,205.3936441449645,102.0,245.0,0.0,10982,0.0,11,-42.5,1,1
15,46,474.56583726843445,205.5518525245187,102.0,245.0,0.0,11012,0.0,11,-42.5,1,2
16,47,593.4587230950867,205.538098265371,102.0,245.0,0.0,11011,0.0,11,-42.5,1,3
17,48,712.0221044939715,205.5536170990135,102.0,245.0,0.0,10948,0.0,11,-42.5,1,4
18,49,830.9061101470454,205.55731116996986,102.0,245.0,0.0,10949,0.0,11,-42.5,1,5
19,50,949.4713468349833,205.548088275361,102.0,245.0,0.0,11011,0.0,11,-42.5,1,6
20,51,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,7
21,52,1186.9157683171934,205.55234788964006,102.0,245.0,0.0,10946,0.0,11,-42.5,1,8
22,53,1305.4831970935513,205.55177111716623,102.0,245.0,0.0,11010,0.0,11,-42.5,1,9
23,54,1424.1488626023659,205.35777979981802,102.0,245.0,0.0,10990,0.0,11,-42.5,1,10
24,41,1542.9297640653358,205.17450090744103,102.0,245.0,0.0,11020,0.0,11,-42.5,1,11
25,42,1661.5044622735059,205.19453709546562,61.0,244.0,0.0,11093,0.0,12,-37.5,1,12
26,43,1780.0749002538992,205.1969532100109,61.0,244.0,0.0,11028,0.0,12,-37.5,1,13
27,55,1898.8454603405883,205.40916127857207,61.0,244.0,0.0,10981,0.0,12,-37.5,1,14
28,56,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,15
29,57,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,16
30,58,2255.0554999545084,205.35492675825677,61.0,244.0,0.0,10991,0.0,12,-37.5,1,17
31,44,2373.516768842409,205.19194013703571,61.0,244.0,0.0,11092,0.0,12,-37.5,1,18
32,59,177.58960427420084,308.1803857647378,102.0,245.0,0.0,11043,0.0,11,-42.5,2,0
33,60,296.56198347107437,308.33920624829716,102.0,245.0,0.0,11011,0.0,11,-42.5,2,1
34,61,415.4557260920897,308.3481064390155,102.0,245.0,0.0,11011,0.0,11,-42.5,2,2
35,62,534.0137023842149,308.33041015803417,102.0,245.0,0.0,10947,0.0,11,-42.5,2,3
36,63,652.9125114155252,308.3501369863014,102.0,245.0,0.0,10950,0.0,11,-42.5,2,4
37,64,771.4190769788739,308.41726357784023,102.0,245.0,0.0,11029,0.0,11,-42.5,2,5
38,65,890.0324289759751,308.3360738101763,102.0,245.0,0.0,10947,0.0,11,-42.5,2,6
39,66,1008.9128528363935,308.3297707134375,102.0,245.0,0.0,10947,0.0,11,-42.5,2,7
40,67,1127.4716672720667,308.3431710860879,102.0,245.0,0.0,11012,0.0,11,-42.5,2,8
41,68,1246.0396491869176,308.3425909007857,102.0,245.0,0.0,10946,0.0,11,-42.5,2,9
42,69,1364.923076923077,308.33446007674036,102.0,245.0,0.0,10946,0.0,11,-42.5,2,10
43,70,1483.4836541954232,308.3419905557574,102.0,245.0,0.0,11012,0.0,11,-42.5,2,11
44,71,1601.9902443471917,308.3873997082422,61.0,244.0,0.0,10968,0.0,12,-37.5,2,12
45,72,1720.9318534758381,308.3281264273317,61.0,244.0,0.0,10947,0.0,12,-37.5,2,13
46,73,1839.491736287686,308.33490737377406,61.0,244.0,0.0,11012,0.0,12,-37.5,2,14
47,74,1958.0555403306842,308.3375353978259,61.0,244.0,0.0,10947,0.0,12,-37.5,2,15
48,75,2076.9440840566467,308.33787117405205,61.0,244.0,0.0,10945,0.0,12,-37.5,2,16
49,76,2195.5020434111343,308.33947870311505,61.0,244.0,0.0,11011,0.0,12,-37.5,2,17
50,77,2314.067598428793,308.3365305563168,61.0,244.0,0.0,10947,0.0,12,-37.5,2,18
51,78,2433.396001085678,308.1466570161947,61.0,244.0,0.0,11053,0.0,12,-37.5,2,19
52,80,118.47393665158371,410.9561085972851,102.0,245.0,0.0,11050,0.0,11,-42.5,3,0
53,87,237.43710834619927,411.12051584778857,102.0,245.0,0.0,11011,0.0,11,-42.5,3,1
54,81,356.0076712328767,411.1116894977169,102.0,245.0,0.0,10950,0.0,11,-42.5,3,2
55,88,474.5750090810025,411.1260443152924,102.0,245.0,0.0,11012,0.0,11,-42.5,3,3
56,89,593.465232389252,411.1421568627451,102.0,245.0,0.0,11016,0.0,11,-42.5,3,4
57,90,712.0234025047994,411.16290337325165,143.0,246.0,0.0,10939,0.0,10,-47.5,3,5
58,91,830.8481474721665,411.1673663077204,102.0,245.0,0.0,10958,0.0,11,-42.5,3,6
59,92,949.4595036814835,411.06481228979186,102.0,245.0,0.0,11001,0.0,11,-42.5,3,7
60,82,1068.0339819128528,411.09728692792544,102.0,245.0,0.0,10947,0.0,11,-42.5,3,8
61,93,1186.9220862257946,411.124497625137,102.0,245.0,0.0,10948,0.0,11,-42.5,3,9
62,94,1305.46118887475,411.0793492092347,102.0,245.0,0.0,11002,0.0,11,-42.5,3,10
63,83,1424.042477391066,411.09746962638167,102.0,245.0,0.0,10947,0.0,11,-42.5,3,11
64,95,1542.904370085939,411.09645273358933,102.0,245.0,0.0,10938,0.0,11,-42.5,3,12
65,96,1661.4882833787467,411.1152588555858,61.0,244.0,0.0,11010,0.0,12,-37.5,3,13
66,84,1780.0463055986847,411.09608183395744,61.0,244.0,0.0,10949,0.0,12,-37.5,3,14
67,97,1898.9404457435148,411.1232188527585,61.0,244.0,0.0,10948,0.0,12,-37.5,3,15
68,98,2017.495867768595,411.12196894015074,61.0,244.0,0.0,11011,0.0,12,-37.5,3,16
69,85,2136.053799780782,411.10275849470224,61.0,244.0,0.0,10948,0.0,12,-37.5,3,17
70,99,2254.947204968944,411.1225794665692,61.0,244.0,0.0,10948,0.0,12,-37.5,3,18
71,100,2373.5042230496774,411.11143402052494,61.0,244.0,0.0,11011,0.0,12,-37.5,3,19
72,86,2492.5933074772256,411.0648507260756,61.0,244.0,0.0,11087,0.0,12,-37.5,3,20
73,101,59.25288704438831,513.9223204619271,102.0,245.0,0.0,11084,0.0,11,-42.5,4,0
74,102,178.0042938059565,513.8681710213776,102.0,245.0,0.0,10946,0.0,11,-42.5,4,1
75,103,296.58373422891896,513.9001543069801,102.0,245.0,0.0,11017,0.0,11,-42.5,4,2
76,104,415.4093917142598,513.9637385549814,102.0,245.0,0.0,11031,0.0,11,-42.5,4,3
77,105,534.0168082579702,513.864437745501,102.0,245.0,0.0,10947,0.0,11,-42.5,4,4
78,106,652.9148293843198,513.8575610648614,143.0,246.0,0.0,10931,0.0,10,-47.5,4,5
