hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,415.3789759855007,102.67104666968736,143.0,246.0,0.0,11035,0.0,10,-47.5,0,0
2,8,534.0133369873024,102.76477573764501,143.0,246.0,0.0,10947,0.0,10,-47.5,0,1
3,9,652.9019822782498,102.75966018087148,143.0,246.0,0.0,10947,0.0,10,-47.5,0,2
4,10,771.4646684831971,102.77284287011807,143.0,246.0,0.0,11010,0.0,10,-47.5,0,3
5,11,890.1203788016754,102.62374795119285,143.0,246.0,0.0,10982,0.0,10,-47.5,0,4
6,12,1008.9294149709302,102.50753997093024,143.0,246.0,0.0,11008,0.0,10,-47.5,0,5
7,13,1127.4453857245855,102.56119322278299,102.0,245.0,0.0,11096,0.0,11,-42.5,0,6
8,17,1246.1130963177943,102.410937783421,102.0,245.0,0.0,11026,0.0,11,-42.5,0,7
9,18,1364.9436977842354,102.48029422448238,102.0,245.0,0.0,11012,0.0,11,-42.5,0,8
10,19,1957.746885719444,102.47319010651742,61.0,244.0,0.0,11078,0.0,12,-37.5,0,9
11,20,2076.9665940450254,102.46505083514887,61.0,244.0,0.0,11016,0.0,12,-37.5,0,10
12,21,2195.533104816886,102.44362258704673,61.0,244.0,0.0,11086,0.0,12,-37.5,0,11
13,40,237.462433480653,205.21214034454766,143.0,246.0,0.0,11087,0.0,10,-47.5,1,0
14,45,355.91594572443313,205.3986886440215,143.0,246.0,0.0,10981,0.0,10,-47.5,1,1
15,46,474.56583726843445,205.5518525245187,143.0,246.0,0.0,11012,0.0,10,-47.5,1,2
16,47,593.4587230950867,205.538098265371,143.0,246.0,0.0,11011,0.0,10,-47.5,1,3
17,48,712.0221044939715,205.5536170990135,143.0,246.0,0.0,10948,0.0,10,-47.5,1,4
18,49,830.9061101470454,205.55731116996986,143.0,246.0,0.0,10949,0.0,10,-47.5,1,5
19,50,949.4713468349833,205.548088275361,143.0,246.0,0.0,11011,0.0,10,-47.5,1,6
20,51,1068.0035652253405,205.52975591918823,143.0,246.0,0.0,10939,0.0,10,-47.5,1,7
21,52,1186.9157683171934,205.55234788964006,102.0,245.0,0.0,10946,0.0,11,-42.5,1,8
22,53,1305.4831970935513,205.55177111716623,102.0,245.0,0.0,11010,0.0,11,-42.5,1,9
23,54,1424.1488626023659,205.35777979981802,102.0,245.0,0.0,10990,0.0,11,-42.5,1,10
24,41,1542.947129772377,205.20576766119524,102.0,245.0,0.0,11027,0.0,11,-42.5,1,11
25,42,1661.5036963577354,205.1999639379733,102.0,245.0,0.0,11092,0.0,11,-42.5,1,12
26,43,1780.0364031513175,205.26324368378158,61.0,244.0,0.0,11043,0.0,12,-37.5,1,13
27,55,1898.8454603405883,205.40916127857207,61.0,244.0,0.0,10981,0.0,12,-37.5,1,14
28,56,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,15
29,57,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,16
30,58,2255.0554999545084,205.35492675825677,61.0,244.0,0.0,10991,0.0,12,-37.5,1,17
31,44,2373.516768842409,205.19194013703571,61.0,244.0,0.0,11092,0.0,12,-37.5,1,18
32,59,177.60498188405796,308.18396739130435,143.0,246.0,0.0,11040,0.0,10,-47.5,2,0
33,60,296.56198347107437,308.33920624829716,143.0,246.0,0.0,11011,0.0,10,-47.5,2,1
34,61,415.4557260920897,308.3481064390155,143.0,246.0,0.0,11011,0.0,10,-47.5,2,2
35,62,534.0137023842149,308.33041015803417,143.0,246.0,0.0,10947,0.0,10,-47.5,2,3
36,63,652.9047227550927,308.3368959532292,143.0,246.0,0.0,10947,0.0,10,-47.5,2,4
37,64,771.4630403196513,308.34262622593536,143.0,246.0,0.0,11012,0.0,10,-47.5,2,5
38,65,890.0273109243698,308.3331202046036,143.0,246.0,0.0,10948,0.0,10,-47.5,2,6
39,66,1008.9128528363935,308.3297707134375,143.0,246.0,0.0,10947,0.0,10,-47.5,2,7
40,67,1127.4191823044148,308.40141419635574,102.0,245.0,0.0,11031,0.0,11,-42.5,2,8
41,68,1246.0396491869176,308.3425909007857,102.0,245.0,0.0,10946,0.0,11,-42.5,2,9
42,69,1364.923076923077,308.33446007674036,102.0,245.0,0.0,10946,0.0,11,-42.5,2,10
43,70,1483.4836541954232,308.3419905557574,102.0,245.0,0.0,11012,0.0,11,-42.5,2,11
44,71,1602.046862154015,308.3371700009135,102.0,245.0,0.0,10947,0.0,11,-42.5,2,12
45,72,1720.908949629765,308.3115458451412,102.0,245.0,0.0,10939,0.0,11,-42.5,2,13
46,73,1839.491736287686,308.33490737377406,61.0,244.0,0.0,11012,0.0,12,-37.5,2,14
47,74,1958.0555403306842,308.3375353978259,61.0,244.0,0.0,10947,0.0,12,-37.5,2,15
48,75,2076.9440840566467,308.33787117405205,61.0,244.0,0.0,10945,0.0,12,-37.5,2,16
49,76,2195.5020434111343,308.33947870311505,61.0,244.0,0.0,11011,0.0,12,-37.5,2,17
50,77,2314.067598428793,308.3365305563168,61.0,244.0,0.0,10947,0.0,12,-37.5,2,18
51,78,2433.396001085678,308.1466570161947,61.0,244.0,0.0,11053,0.0,12,-37.5,2,19
52,80,118.47393665158371,410.9561085972851,143.0,246.0,0.0,11050,0.0,10,-47.5,3,0
53,88,237.44214350590372,411.11752951861945,143.0,246.0,0.0,11010,0.0,10,-47.5,3,1
54,81,356.0076712328767,411.1116894977169,143.0,246.0,0.0,10950,0.0,10,-47.5,3,2
55,89,474.5750090810025,411.1260443152924,143.0,246.0,0.0,11012,0.0,10,-47.5,3,3
56,90,593.453719683895,411.11345262966665,143.0,246.0,0.0,11009,0.0,10,-47.5,3,4
57,82,712.0151584330198,411.1061090311387,143.0,246.0,0.0,10951,0.0,10,-47.5,3,5
58,91,830.9143144240431,411.11765780579157,143.0,246.0,0.0,10947,0.0,10,-47.5,3,6
59,92,949.4623069936422,411.1089918256131,143.0,246.0,0.0,11010,0.0,10,-47.5,3,7
60,83,1068.0058495567132,411.08801754867017,143.0,246.0,0.0,10941,0.0,10,-47.5,3,8
61,93,1186.9220862257946,411.124497625137,102.0,245.0,0.0,10948,0.0,11,-42.5,3,9
62,94,1305.4696157689164,411.1155418294123,102.0,245.0,0.0,11009,0.0,11,-42.5,3,10
63,84,1424.0378116722989,411.10658507626266,102.0,245.0,0.0,10949,0.0,11,-42.5,3,11
