hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,8,2496.899271164268,28.785740982993833,249.0,248.0,247.0,10702,90.91204540653565,7,,0,0
2,12,3412.804184160996,27.008542058780947,249.0,248.0,247.0,13814,90.91204540653565,7,,0,1
3,13,3667.2277464548097,27.381342901076373,249.0,248.0,247.0,11706,90.91204540653565,7,,0,2
4,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
5,17,1213.030483558994,110.22723404255319,102.0,245.0,0.0,12925,0.0,11,-42.5,1,1
6,18,1340.5885372112916,110.2058480441714,102.0,245.0,0.0,12859,0.0,11,-42.5,1,2
7,20,1468.4562398074086,110.31226217286635,61.0,244.0,0.0,12877,0.0,12,-37.5,1,3
8,21,1596.0518254950496,110.22083849009901,61.0,244.0,0.0,12928,0.0,12,-37.5,1,4
9,23,1723.607840087112,110.21109123434705,61.0,244.0,0.0,12857,0.0,12,-37.5,1,5
10,24,1851.5050544323483,110.2113530326594,61.0,244.0,0.0,12860,0.0,12,-37.5,1,6
11,25,1979.0768159665815,110.22534230679972,61.0,244.0,0.0,12927,0.0,12,-37.5,1,7
12,28,2106.958620156238,110.21556191507464,61.0,244.0,0.0,12929,0.0,12,-37.5,1,8
13,30,2234.5206065318816,110.21189735614308,61.0,244.0,0.0,12860,0.0,12,-37.5,1,9
14,31,2362.0863242574255,110.22772277227723,61.0,244.0,0.0,12928,0.0,12,-37.5,1,10
15,33,2489.9808941831684,110.22841893564356,61.0,244.0,0.0,12928,0.0,12,-37.5,1,11
16,35,2617.5495061056235,110.22151357237303,61.0,244.0,0.0,12857,0.0,12,-37.5,1,12
17,36,2745.4476834577113,110.22768967661692,61.0,244.0,0.0,12864,0.0,12,-37.5,1,13
18,37,2873.009279307145,110.24729353541602,102.0,245.0,0.0,12932,0.0,11,-42.5,1,14
19,38,3000.566983040299,110.20950676832115,185.0,247.0,0.0,12854,0.0,9,-52.5,1,15
20,42,3128.4590074673306,110.22829807093964,185.0,247.0,0.0,12856,0.0,9,-52.5,1,16
21,44,3256.02452231763,110.22781774580336,185.0,247.0,0.0,12927,0.0,9,-52.5,1,17
22,46,3383.5854531310774,110.23049397121743,185.0,247.0,0.0,12855,0.0,9,-52.5,1,18
23,47,3511.4751088985686,110.22790914747978,185.0,247.0,0.0,12856,0.0,9,-52.5,1,19
24,49,3639.0540728707356,110.22480080451767,185.0,247.0,0.0,12927,0.0,9,-52.5,1,20
25,51,3766.9394197292067,110.23249516441005,185.0,247.0,0.0,12925,0.0,9,-52.5,1,21
26,53,3884.292024785129,104.83589846092345,249.0,248.0,247.0,15009,90.91204540653565,7,,1,22
27,60,255.15041782729804,220.81917363045497,143.0,246.0,0.0,12924,0.0,10,-47.5,2,0
28,61,383.04193099179946,220.81896951879932,143.0,246.0,0.0,12926,0.0,10,-47.5,2,1
29,62,510.6015868077162,220.82342874922216,143.0,246.0,0.0,12856,0.0,10,-47.5,2,2
30,63,638.5010889856876,220.81386123210953,143.0,246.0,0.0,12856,0.0,10,-47.5,2,3
31,64,766.069090909091,220.82220502901353,143.0,246.0,0.0,12925,0.0,10,-47.5,2,4
32,65,1148.9738272755515,221.01180490835662,102.0,245.0,0.0,12876,0.0,11,-42.5,2,5
33,66,1276.957097251421,221.1522230008565,102.0,245.0,0.0,12843,0.0,11,-42.5,2,6
34,67,1404.494514106583,221.15815047021943,102.0,245.0,0.0,12760,0.0,11,-42.5,2,7
35,68,1532.4033041027246,221.15729721265268,61.0,244.0,0.0,12772,0.0,12,-37.5,2,8
36,69,1659.9725878046881,221.1531033408613,61.0,244.0,0.0,12841,0.0,12,-37.5,2,9
37,70,1787.537509788567,221.17470634299139,61.0,244.0,0.0,12770,0.0,12,-37.5,2,10
38,71,1915.4343979959292,221.15570690465006,61.0,244.0,0.0,12774,0.0,12,-37.5,2,11
39,72,2042.9949380889338,221.16229265633518,61.0,244.0,0.0,12841,0.0,12,-37.5,2,12
40,73,2170.5609240407202,221.17415818324199,61.0,244.0,0.0,12770,0.0,12,-37.5,2,13
41,74,2298.4526736083926,221.15141313708605,61.0,244.0,0.0,12773,0.0,12,-37.5,2,14
42,75,2426.0161968540724,221.15044385609718,61.0,244.0,0.0,12842,0.0,12,-37.5,2,15
