hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,415.44471522700604,102.47089087462767,185.0,247.0,0.0,11079,0.0,9,-52.5,0,0
2,8,533.9046232253368,102.58372770294866,185.0,247.0,0.0,10988,0.0,9,-52.5,0,1
3,9,652.9019822782498,102.75966018087148,185.0,247.0,0.0,10947,0.0,9,-52.5,0,2
4,10,771.4646684831971,102.77284287011807,185.0,247.0,0.0,11010,0.0,9,-52.5,0,3
5,11,890.1375011375011,102.59186459186459,185.0,247.0,0.0,10989,0.0,9,-52.5,0,4
6,12,1008.9137774550735,102.46242512252678,185.0,247.0,0.0,11018,0.0,9,-52.5,0,5
7,13,1127.4607329842931,102.27712583498827,227.0,248.0,0.0,11078,0.0,8,-57.5,0,6
8,17,1246.0221054538865,102.16243884761732,227.0,248.0,0.0,11038,0.0,8,-57.5,0,7
9,18,1364.93836238199,102.46114742193174,185.0,247.0,0.0,11016,0.0,9,-52.5,0,8
10,19,1483.4856524093125,102.4584010106479,185.0,247.0,0.0,11082,0.0,9,-52.5,0,9
11,20,1957.7438396967236,102.44742305262207,143.0,246.0,0.0,11079,0.0,10,-47.5,0,10
12,21,2076.9636792881142,102.47879778443658,143.0,246.0,0.0,11013,0.0,10,-47.5,0,11
13,22,2195.4902278663426,102.35639016482033,143.0,246.0,0.0,11103,0.0,10,-47.5,0,12
14,23,2314.4129631299015,102.41215180744614,143.0,246.0,0.0,11093,0.0,10,-47.5,0,13
15,44,163.7170016689645,174.65096872505623,249.0,248.0,246.0,13781,90.91204540653565,7,,1,0
16,46,237.14258486113633,205.24142312579414,227.0,248.0,0.0,11018,0.0,8,-57.5,1,1
17,49,355.8671697427039,205.4861351031912,185.0,247.0,0.0,10999,0.0,9,-52.5,1,2
18,50,474.56583726843445,205.5518525245187,185.0,247.0,0.0,11012,0.0,9,-52.5,1,3
19,51,593.4587230950867,205.538098265371,185.0,247.0,0.0,11011,0.0,9,-52.5,1,4
20,52,712.0221044939715,205.5536170990135,185.0,247.0,0.0,10948,0.0,9,-52.5,1,5
21,53,830.9061101470454,205.55731116996986,185.0,247.0,0.0,10949,0.0,9,-52.5,1,6
22,54,949.4713468349833,205.548088275361,185.0,247.0,0.0,11011,0.0,9,-52.5,1,7
23,55,1068.090047393365,205.49207072548305,185.0,247.0,0.0,10972,0.0,9,-52.5,1,8
24,56,1186.9008008736803,205.5251183108846,185.0,247.0,0.0,10988,0.0,9,-52.5,1,9
25,57,1305.4673202614379,205.5255991285403,185.0,247.0,0.0,11016,0.0,9,-52.5,1,10
26,58,1424.0373584216295,205.54229082937522,185.0,247.0,0.0,10948,0.0,9,-52.5,1,11
27,59,1543.036669699727,205.37015468607825,185.0,247.0,0.0,10990,0.0,9,-52.5,1,12
