hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,415.4786417411722,102.50555405039285,143.0,246.0,0.0,11073,0.0,10,-47.5,0,0
2,7,533.9357572443959,102.64935301622016,143.0,246.0,0.0,10974,0.0,10,-47.5,0,1
3,8,652.9019822782498,102.75966018087148,143.0,246.0,0.0,10947,0.0,10,-47.5,0,2
4,9,771.4646684831971,102.77284287011807,143.0,246.0,0.0,11010,0.0,10,-47.5,0,3
5,10,890.1203788016754,102.62374795119285,143.0,246.0,0.0,10982,0.0,10,-47.5,0,4
6,11,1008.9294149709302,102.50753997093024,143.0,246.0,0.0,11008,0.0,10,-47.5,0,5
7,12,1127.1761766309287,102.51053970561512,143.0,246.0,0.0,11006,0.0,10,-47.5,0,6
8,16,1246.0665339006066,102.50792070245315,102.0,245.0,0.0,11047,0.0,11,-42.5,0,7
9,17,1364.9436977842354,102.48029422448238,102.0,245.0,0.0,11012,0.0,11,-42.5,0,8
10,18,1483.4994582881907,102.48365836041893,102.0,245.0,0.0,11076,0.0,11,-42.5,0,9
11,19,1957.7425966052726,102.48239436619718,102.0,245.0,0.0,11076,0.0,11,-42.5,0,10
12,20,2076.9650413148097,102.478979387996,102.0,245.0,0.0,11013,0.0,11,-42.5,0,11
13,21,2195.484780259366,102.35338616714698,102.0,245.0,0.0,11104,0.0,11,-42.5,0,12
14,22,2314.4123850730125,102.40661618893095,102.0,245.0,0.0,11094,0.0,11,-42.5,0,13
15,45,237.41202953358544,205.2947055645597,143.0,246.0,0.0,11106,0.0,10,-47.5,1,0
16,48,355.91594572443313,205.3986886440215,143.0,246.0,0.0,10981,0.0,10,-47.5,1,1
17,49,474.56583726843445,205.5518525245187,143.0,246.0,0.0,11012,0.0,10,-47.5,1,2
18,50,593.4587230950867,205.538098265371,143.0,246.0,0.0,11011,0.0,10,-47.5,1,3
19,51,712.0221044939715,205.5536170990135,143.0,246.0,0.0,10948,0.0,10,-47.5,1,4
20,52,830.9061101470454,205.55731116996986,143.0,246.0,0.0,10949,0.0,10,-47.5,1,5
21,53,949.4713468349833,205.548088275361,143.0,246.0,0.0,11011,0.0,10,-47.5,1,6
22,54,1068.0293204238217,205.55316039459262,143.0,246.0,0.0,10948,0.0,10,-47.5,1,7
23,55,1186.8936734320716,205.52486743463157,143.0,246.0,0.0,10938,0.0,10,-47.5,1,8
24,56,1305.4831970935513,205.55177111716623,102.0,245.0,0.0,11010,0.0,11,-42.5,1,9
25,57,1424.0373584216295,205.54229082937522,102.0,245.0,0.0,10948,0.0,11,-42.5,1,10
26,58,1543.0384860340278,205.36529888090254,102.0,245.0,0.0,10991,0.0,11,-42.5,1,11
27,46,1661.5036963577354,205.1999639379733,102.0,245.0,0.0,11092,0.0,11,-42.5,1,12
28,47,1780.0749002538992,205.1969532100109,102.0,245.0,0.0,11028,0.0,11,-42.5,1,13
29,59,1898.8454603405883,205.40916127857207,102.0,245.0,0.0,10981,0.0,11,-42.5,1,14
30,60,2017.5002270869288,205.54746116813516,102.0,245.0,0.0,11009,0.0,11,-42.5,1,15
31,61,2136.0621174751072,205.55613410066684,102.0,245.0,0.0,10947,0.0,11,-42.5,1,16
32,62,2254.9412678114722,205.54338691998538,102.0,245.0,0.0,10948,0.0,11,-42.5,1,17
33,63,2373.6156351791533,205.369073470865,102.0,245.0,0.0,11052,0.0,11,-42.5,1,18
34,64,177.59545166258948,308.1960677720395,185.0,247.0,0.0,11037,0.0,9,-52.5,2,0
35,65,296.5307287889775,308.42947788252354,143.0,246.0,0.0,11032,0.0,10,-47.5,2,1
36,66,415.4090496916939,308.42120058034095,143.0,246.0,0.0,11028,0.0,10,-47.5,2,2
37,67,534.0137023842149,308.33041015803417,143.0,246.0,0.0,10947,0.0,10,-47.5,2,3
38,68,652.9125114155252,308.3501369863014,143.0,246.0,0.0,10950,0.0,10,-47.5,2,4
39,69,771.4190769788739,308.41726357784023,143.0,246.0,0.0,11029,0.0,10,-47.5,2,5
40,70,890.0366143170197,308.3514426588751,143.0,246.0,0.0,10952,0.0,10,-47.5,2,6
41,71,1008.8635658914728,308.40793433652533,143.0,246.0,0.0,10965,0.0,10,-47.5,2,7
42,72,1127.1412130069418,308.34225429302154,143.0,246.0,0.0,10948,0.0,10,-47.5,2,8
43,73,1245.9745646822864,308.3997629683654,102.0,245.0,0.0,10969,0.0,11,-42.5,2,9
44,74,1364.923076923077,308.33446007674036,102.0,245.0,0.0,10946,0.0,11,-42.5,2,10
45,75,1483.4836541954232,308.3419905557574,102.0,245.0,0.0,11012,0.0,11,-42.5,2,11
46,76,1602.046862154015,308.3371700009135,102.0,245.0,0.0,10947,0.0,11,-42.5,2,12
47,77,1720.9318534758381,308.3281264273317,102.0,245.0,0.0,10947,0.0,11,-42.5,2,13
48,78,1839.491736287686,308.33490737377406,102.0,245.0,0.0,11012,0.0,11,-42.5,2,14
49,79,1958.0555403306842,308.3375353978259,102.0,245.0,0.0,10947,0.0,11,-42.5,2,15
50,80,2076.9440840566467,308.33787117405205,102.0,245.0,0.0,10945,0.0,11,-42.5,2,16
51,81,2195.5020434111343,308.33947870311505,102.0,245.0,0.0,11011,0.0,11,-42.5,2,17
52,82,2314.067598428793,308.3365305563168,102.0,245.0,0.0,10947,0.0,11,-42.5,2,18
53,83,2433.380633484163,308.1502262443439,102.0,245.0,0.0,11050,0.0,11,-42.5,2,19
54,85,118.3678088367899,411.1361587015329,185.0,247.0,0.0,11090,0.0,9,-52.5,3,0
55,91,237.43059593023256,411.1401707848837,185.0,247.0,0.0,11008,0.0,9,-52.5,3,1
56,92,356.0124337173158,411.16648381788264,185.0,247.0,0.0,10938,0.0,9,-52.5,3,2
57,93,474.52647325475976,411.20371713508615,143.0,246.0,0.0,11030,0.0,10,-47.5,3,3
58,94,593.4588555858311,411.11634877384193,143.0,246.0,0.0,11010,0.0,10,-47.5,3,4
59,95,712.0227855051245,411.12024158125917,185.0,247.0,0.0,10928,0.0,9,-52.5,3,5
60,96,830.9143144240431,411.11765780579157,143.0,246.0,0.0,10947,0.0,10,-47.5,3,6
61,97,949.1392092257001,411.10241625480506,185.0,247.0,0.0,10926,0.0,9,-52.5,3,7
62,86,1068.0260273972603,411.1104109589041,143.0,246.0,0.0,10950,0.0,10,-47.5,3,8
63,98,1186.890930700311,411.10486377765585,143.0,246.0,0.0,10938,0.0,10,-47.5,3,9
64,99,1305.4696157689164,411.1155418294123,102.0,245.0,0.0,11009,0.0,11,-42.5,3,10
65,87,1424.0378116722989,411.10658507626266,102.0,245.0,0.0,10949,0.0,11,-42.5,3,11
66,100,1542.9304895871392,411.1137194008038,102.0,245.0,0.0,10948,0.0,11,-42.5,3,12
67,101,1661.4831501498775,411.11236261240805,102.0,245.0,0.0,11009,0.0,11,-42.5,3,13
68,88,1780.0463055986847,411.09608183395744,102.0,245.0,0.0,10949,0.0,11,-42.5,3,14
69,102,1898.9404457435148,411.1232188527585,102.0,245.0,0.0,10948,0.0,11,-42.5,3,15
70,103,2017.4958670178944,411.1219910981924,102.0,245.0,0.0,11009,0.0,11,-42.5,3,16
71,89,2136.041030795943,411.0805080873618,102.0,245.0,0.0,10943,0.0,11,-42.5,3,17
72,104,2254.9544084056647,411.1089995431704,102.0,245.0,0.0,10945,0.0,11,-42.5,3,18
73,105,2373.504223816877,411.1114542646925,102.0,245.0,0.0,11009,0.0,11,-42.5,3,19
74,90,2492.5872428726093,411.05927463009743,102.0,245.0,0.0,11084,0.0,11,-42.5,3,20
75,106,177.67293369663943,513.8660308810173,185.0,247.0,0.0,11010,0.0,9,-52.5,4,0
76,107,296.5724144193226,513.8715154817035,185.0,247.0,0.0,11013,0.0,9,-52.5,4,1
77,108,415.11119232526266,513.890726359068,185.0,247.0,0.0,10945,0.0,9,-52.5,4,2
78,109,533.9656272793582,513.9588803792852,143.0,246.0,0.0,10968,0.0,10,-47.5,4,3
79,110,652.9436439905162,513.7967353638519,143.0,246.0,0.0,10966,0.0,10,-47.5,4,4
80,111,771.4540584710369,513.8518249500636,143.0,246.0,0.0,11014,0.0,10,-47.5,4,5
81,112,890.071682626539,513.7860465116279,143.0,246.0,0.0,10965,0.0,10,-47.5,4,6
82,113,1008.9030048406247,513.854963923646,143.0,246.0,0.0,10949,0.0,10,-47.5,4,7
83,114,1127.1465241618707,513.8748515575044,143.0,246.0,0.0,10947,0.0,10,-47.5,4,8
84,115,1245.9825025061514,513.9469607217716,102.0,245.0,0.0,10973,0.0,11,-42.5,4,9
85,116,1364.926457153298,513.8686278092454,102.0,245.0,0.0,10946,0.0,11,-42.5,4,10
86,117,1483.4769775678867,513.8726727817636,102.0,245.0,0.0,11011,0.0,11,-42.5,4,11
87,118,1602.045213737669,513.8685604676654,102.0,245.0,0.0,10948,0.0,11,-42.5,4,12
88,119,1720.9335038363172,513.8808914870295,102.0,245.0,0.0,10948,0.0,11,-42.5,4,13
