hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,296.5772944680083,102.45402039527119,102.0,245.0,0.0,11081,0.0,11,-42.5,0,0
2,8,415.3718633934233,102.64580125011324,102.0,245.0,0.0,11039,0.0,11,-42.5,0,1
3,9,534.0133369873024,102.76477573764501,102.0,245.0,0.0,10947,0.0,11,-42.5,0,2
4,10,652.9019822782498,102.75966018087148,102.0,245.0,0.0,10947,0.0,11,-42.5,0,3
5,11,771.440869011908,102.750113626034,102.0,245.0,0.0,11001,0.0,11,-42.5,0,4
6,12,890.1222798870982,102.61895656924338,61.0,244.0,0.0,10983,0.0,12,-37.5,0,5
7,13,1008.9337267362687,102.47271901951883,61.0,244.0,0.0,11015,0.0,12,-37.5,0,6
8,14,1127.4968854382955,102.4792813938792,61.0,244.0,0.0,11077,0.0,12,-37.5,0,7
9,18,1246.4124615662868,102.56664858021342,61.0,244.0,0.0,11058,0.0,12,-37.5,0,8
10,19,1957.746885719444,102.47319010651742,61.0,244.0,0.0,11078,0.0,12,-37.5,0,9
11,20,2076.9665940450254,102.46505083514887,61.0,244.0,0.0,11016,0.0,12,-37.5,0,10
12,21,2195.5280108254397,102.44068561118628,61.0,244.0,0.0,11085,0.0,12,-37.5,0,11
13,22,2314.4123850730125,102.40661618893095,61.0,244.0,0.0,11094,0.0,12,-37.5,0,12
14,42,237.35971027614306,205.40063377093708,102.0,245.0,0.0,11045,0.0,11,-42.5,1,0
15,43,356.0115110542664,205.55106888361044,102.0,245.0,0.0,10946,0.0,11,-42.5,1,1
16,44,474.56583726843445,205.5518525245187,102.0,245.0,0.0,11012,0.0,11,-42.5,1,2
17,45,593.4587230950867,205.538098265371,102.0,245.0,0.0,11011,0.0,11,-42.5,1,3
18,46,712.0221044939715,205.5536170990135,102.0,245.0,0.0,10948,0.0,11,-42.5,1,4
19,47,830.8556710430342,205.60530634573306,61.0,244.0,0.0,10968,0.0,12,-37.5,1,5
20,48,949.4713468349833,205.548088275361,61.0,244.0,0.0,11011,0.0,12,-37.5,1,6
21,49,1068.0293204238217,205.55316039459262,61.0,244.0,0.0,10948,0.0,12,-37.5,1,7
22,50,1186.9157683171934,205.55234788964006,61.0,244.0,0.0,10946,0.0,12,-37.5,1,8
23,37,1305.595748530077,205.3519674355495,61.0,244.0,0.0,11055,0.0,12,-37.5,1,9
24,38,1424.0542256075444,205.1887014871237,61.0,244.0,0.0,11028,0.0,12,-37.5,1,10
25,39,1542.946046427276,205.20048966267683,61.0,244.0,0.0,11028,0.0,12,-37.5,1,11
26,40,1661.5044622735059,205.19453709546562,61.0,244.0,0.0,11093,0.0,12,-37.5,1,12
27,41,1780.0749002538992,205.1969532100109,61.0,244.0,0.0,11028,0.0,12,-37.5,1,13
28,51,1898.8454603405883,205.40916127857207,61.0,244.0,0.0,10981,0.0,12,-37.5,1,14
29,52,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,15
30,53,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,16
31,54,2254.9412678114722,205.54338691998538,61.0,244.0,0.0,10948,0.0,12,-37.5,1,17
32,55,2373.6156351791533,205.369073470865,61.0,244.0,0.0,11052,0.0,12,-37.5,1,18
33,56,177.58960427420084,308.1803857647378,102.0,245.0,0.0,11043,0.0,11,-42.5,2,0
34,57,296.56198347107437,308.33920624829716,102.0,245.0,0.0,11011,0.0,11,-42.5,2,1
35,58,415.4557260920897,308.3481064390155,102.0,245.0,0.0,11011,0.0,11,-42.5,2,2
36,59,534.0137023842149,308.33041015803417,102.0,245.0,0.0,10947,0.0,11,-42.5,2,3
37,60,652.9047227550927,308.3368959532292,102.0,245.0,0.0,10947,0.0,11,-42.5,2,4
38,61,771.4418393311523,308.3167938931298,102.0,245.0,0.0,11004,0.0,11,-42.5,2,5
39,62,890.0273109243698,308.3331202046036,61.0,244.0,0.0,10948,0.0,12,-37.5,2,6
40,63,1008.9128528363935,308.3297707134375,61.0,244.0,0.0,10947,0.0,12,-37.5,2,7
41,64,1127.4716672720667,308.3431710860879,61.0,244.0,0.0,11012,0.0,12,-37.5,2,8
42,65,1246.0396491869176,308.3425909007857,61.0,244.0,0.0,10946,0.0,12,-37.5,2,9
43,66,1364.923076923077,308.33446007674036,61.0,244.0,0.0,10946,0.0,12,-37.5,2,10
44,67,1483.4836541954232,308.3419905557574,61.0,244.0,0.0,11012,0.0,12,-37.5,2,11
45,68,1602.046862154015,308.3371700009135,61.0,244.0,0.0,10947,0.0,12,-37.5,2,12
46,69,1720.9318534758381,308.3281264273317,61.0,244.0,0.0,10947,0.0,12,-37.5,2,13
47,70,1839.491736287686,308.33490737377406,61.0,244.0,0.0,11012,0.0,12,-37.5,2,14
