hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,7,296.5967538322813,102.412173128945,143.0,246.0,0.0,11090,0.0,10,-47.5,0,0
2,8,415.384085553743,102.66811673010695,143.0,246.0,0.0,11034,0.0,10,-47.5,0,1
3,9,534.0133369873024,102.76477573764501,143.0,246.0,0.0,10947,0.0,10,-47.5,0,2
4,10,652.9019822782498,102.75966018087148,143.0,246.0,0.0,10947,0.0,10,-47.5,0,3
5,11,771.4646684831971,102.77284287011807,143.0,246.0,0.0,11010,0.0,10,-47.5,0,4
6,12,890.0997722095672,102.59425968109339,143.0,246.0,0.0,10975,0.0,10,-47.5,0,5
7,13,1008.9324312051584,102.49169012805376,102.0,245.0,0.0,11011,0.0,11,-42.5,0,6
8,14,1127.4968854382955,102.4792813938792,102.0,245.0,0.0,11077,0.0,11,-42.5,0,7
9,18,1246.379805089334,102.67587078144739,61.0,244.0,0.0,11082,0.0,12,-37.5,0,8
10,19,1957.7438396967236,102.44742305262207,143.0,246.0,0.0,11079,0.0,10,-47.5,0,9
11,20,2076.9636792881142,102.47879778443658,143.0,246.0,0.0,11013,0.0,10,-47.5,0,10
12,21,2195.4902278663426,102.35639016482033,143.0,246.0,0.0,11103,0.0,10,-47.5,0,11
13,22,2314.4129631299015,102.41215180744614,143.0,246.0,0.0,11093,0.0,10,-47.5,0,12
14,41,237.36155378486055,205.40546903295908,143.0,246.0,0.0,11044,0.0,10,-47.5,1,0
15,42,356.0115110542664,205.55106888361044,143.0,246.0,0.0,10946,0.0,10,-47.5,1,1
16,43,474.56583726843445,205.5518525245187,143.0,246.0,0.0,11012,0.0,10,-47.5,1,2
17,44,593.4587230950867,205.538098265371,143.0,246.0,0.0,11011,0.0,10,-47.5,1,3
18,45,712.0221044939715,205.5536170990135,143.0,246.0,0.0,10948,0.0,10,-47.5,1,4
19,46,830.9061101470454,205.55731116996986,143.0,246.0,0.0,10949,0.0,10,-47.5,1,5
20,47,949.4160246533128,205.60853802229676,102.0,245.0,0.0,11033,0.0,11,-42.5,1,6
21,48,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,7
22,49,1186.8936734320716,205.52486743463157,102.0,245.0,0.0,10938,0.0,11,-42.5,1,8
23,50,1305.614938886374,205.38261656858307,102.0,245.0,0.0,11045,0.0,11,-42.5,1,9
24,37,1424.0619669751406,205.19107240065324,143.0,246.0,0.0,11022,0.0,10,-47.5,1,10
25,38,1542.957846070166,205.22318919408937,143.0,246.0,0.0,11031,0.0,10,-47.5,1,11
26,39,1661.1758251722888,205.19822270583967,185.0,247.0,0.0,11028,0.0,9,-52.5,1,12
27,40,1780.0272521502943,205.27976459936622,143.0,246.0,0.0,11045,0.0,10,-47.5,1,13
28,51,1898.8454603405883,205.40916127857207,143.0,246.0,0.0,10981,0.0,10,-47.5,1,14
29,52,2017.5002270869288,205.54746116813516,143.0,246.0,0.0,11009,0.0,10,-47.5,1,15
30,53,2136.0621174751072,205.55613410066684,143.0,246.0,0.0,10947,0.0,10,-47.5,1,16
31,54,2254.9412678114722,205.54338691998538,143.0,246.0,0.0,10948,0.0,10,-47.5,1,17
32,55,2373.6156351791533,205.369073470865,143.0,246.0,0.0,11052,0.0,10,-47.5,1,18
33,56,177.60498188405796,308.18396739130435,143.0,246.0,0.0,11040,0.0,10,-47.5,2,0
34,57,296.56198347107437,308.33920624829716,143.0,246.0,0.0,11011,0.0,10,-47.5,2,1
35,58,415.4557260920897,308.3481064390155,143.0,246.0,0.0,11011,0.0,10,-47.5,2,2
36,59,534.0137023842149,308.33041015803417,143.0,246.0,0.0,10947,0.0,10,-47.5,2,3
37,60,652.9047227550927,308.3368959532292,143.0,246.0,0.0,10947,0.0,10,-47.5,2,4
38,61,771.4630403196513,308.34262622593536,143.0,246.0,0.0,11012,0.0,10,-47.5,2,5
39,62,890.0028338970656,308.3110887649694,143.0,246.0,0.0,10939,0.0,10,-47.5,2,6
40,63,1008.9128528363935,308.3297707134375,102.0,245.0,0.0,10947,0.0,11,-42.5,2,7
41,64,1127.4477462740822,308.3099781897492,102.0,245.0,0.0,11004,0.0,11,-42.5,2,8
42,65,1246.0828472475391,308.25738242799855,61.0,244.0,0.0,10972,0.0,12,-37.5,2,9
43,66,1364.976290351997,308.27275214298743,102.0,245.0,0.0,10966,0.0,11,-42.5,2,10
44,67,1483.4909668633682,308.35542442124375,143.0,246.0,0.0,11015,0.0,10,-47.5,2,11
45,68,1602.0600493556349,308.3650488986381,185.0,247.0,0.0,10941,0.0,9,-52.5,2,12
46,69,1720.9057414518193,308.31559700127997,185.0,247.0,0.0,10938,0.0,9,-52.5,2,13
47,70,1839.491736287686,308.33490737377406,143.0,246.0,0.0,11012,0.0,10,-47.5,2,14
48,71,1958.0504201680671,308.33458165875044,143.0,246.0,0.0,10948,0.0,10,-47.5,2,15
49,72,2076.9440840566467,308.33787117405205,143.0,246.0,0.0,10945,0.0,10,-47.5,2,16
50,73,2195.5020434111343,308.33947870311505,143.0,246.0,0.0,11011,0.0,10,-47.5,2,17
51,74,2314.062477164779,308.3335769090245,143.0,246.0,0.0,10948,0.0,10,-47.5,2,18
52,75,2433.377681238121,308.15440311340393,143.0,246.0,0.0,11049,0.0,10,-47.5,2,19
53,77,118.47393665158371,410.9561085972851,143.0,246.0,0.0,11050,0.0,10,-47.5,3,0
54,84,237.44214350590372,411.11752951861945,143.0,246.0,0.0,11010,0.0,10,-47.5,3,1
55,78,356.0076712328767,411.1116894977169,143.0,246.0,0.0,10950,0.0,10,-47.5,3,2
56,85,474.5750090810025,411.1260443152924,143.0,246.0,0.0,11012,0.0,10,-47.5,3,3
57,86,593.453719683895,411.11345262966665,143.0,246.0,0.0,11009,0.0,10,-47.5,3,4
58,79,712.0151584330198,411.1061090311387,143.0,246.0,0.0,10951,0.0,10,-47.5,3,5
59,87,830.89478976234,411.0875685557587,143.0,246.0,0.0,10940,0.0,10,-47.5,3,6
60,88,949.4658255423436,411.11282563311244,102.0,245.0,0.0,11017,0.0,11,-42.5,3,7
61,80,1067.967518248175,411.15465328467155,102.0,245.0,0.0,10960,0.0,11,-42.5,3,8
62,89,1186.9120708546384,411.10655588020455,61.0,244.0,0.0,10952,0.0,12,-37.5,3,9
63,90,1305.5133539244187,411.1613372093023,102.0,245.0,0.0,11008,0.0,11,-42.5,3,10
64,91,1424.011499498038,411.23099388518756,143.0,246.0,0.0,10957,0.0,10,-47.5,3,11
65,92,1542.951366669714,411.13511289880245,185.0,247.0,0.0,10939,0.0,9,-52.5,3,12
66,93,1661.1578658870822,411.1130093184725,185.0,247.0,0.0,10946,0.0,9,-52.5,3,13
67,81,1779.9922515952599,411.16298997265267,143.0,246.0,0.0,10970,0.0,10,-47.5,3,14
68,94,1898.9404457435148,411.1232188527585,143.0,246.0,0.0,10948,0.0,10,-47.5,3,15
69,95,2017.4958670178944,411.1219910981924,143.0,246.0,0.0,11009,0.0,10,-47.5,3,16
70,82,2136.053799780782,411.10275849470224,143.0,246.0,0.0,10948,0.0,10,-47.5,3,17
71,96,2254.947204968944,411.1225794665692,143.0,246.0,0.0,10948,0.0,10,-47.5,3,18
72,97,2373.504223816877,411.1114542646925,143.0,246.0,0.0,11009,0.0,10,-47.5,3,19
73,83,2492.582513759812,411.0561219886312,143.0,246.0,0.0,11083,0.0,10,-47.5,3,20
74,98,59.25462419922404,513.9174411260489,143.0,246.0,0.0,11083,0.0,10,-47.5,4,0
75,99,178.0042938059565,513.8681710213776,143.0,246.0,0.0,10946,0.0,10,-47.5,4,1
76,100,296.5725183907002,513.8773953319408,143.0,246.0,0.0,11011,0.0,10,-47.5,4,2
77,101,415.45296040682894,513.877224845623,143.0,246.0,0.0,11012,0.0,10,-47.5,4,3
78,102,534.0168082579702,513.864437745501,143.0,246.0,0.0,10947,0.0,10,-47.5,4,4
79,103,652.9030961731665,513.8736870947118,143.0,246.0,0.0,10949,0.0,10,-47.5,4,5
80,104,771.1359400694317,513.8703636031427,143.0,246.0,0.0,10946,0.0,10,-47.5,4,6
81,105,889.9799544419135,513.9642824601367,102.0,245.0,0.0,10975,0.0,11,-42.5,4,7
82,106,1008.9094318909523,513.8734790961486,143.0,246.0,0.0,10931,0.0,10,-47.5,4,8
83,107,1127.4275099673796,513.9488945270025,61.0,244.0,0.0,11036,0.0,12,-37.5,4,9
84,108,1246.4077229876723,513.8129985496737,61.0,244.0,0.0,11032,0.0,12,-37.5,4,10
85,109,1364.9109463664654,513.8581365550064,185.0,247.0,0.0,10926,0.0,9,-52.5,4,11
