hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,16,177.74830791444816,102.4059200433174,102.0,245.0,0.0,11081,0.0,11,-42.5,0,0
2,17,296.48121321865096,102.60995925758262,102.0,245.0,0.0,11045,0.0,11,-42.5,0,1
3,18,415.44955044955043,102.7663245845064,102.0,245.0,0.0,11011,0.0,11,-42.5,0,2
4,19,534.0133369873024,102.76477573764501,102.0,245.0,0.0,10947,0.0,11,-42.5,0,3
5,20,652.9019822782498,102.75966018087148,102.0,245.0,0.0,10947,0.0,11,-42.5,0,4
6,21,771.4646684831971,102.77284287011807,102.0,245.0,0.0,11010,0.0,11,-42.5,0,5
7,22,890.0242075454462,102.7757376450169,102.0,245.0,0.0,10947,0.0,11,-42.5,0,6
8,23,1008.9137742053343,102.76342710997443,102.0,245.0,0.0,10948,0.0,11,-42.5,0,7
9,24,1127.4554293502954,102.73003180372558,102.0,245.0,0.0,11005,0.0,11,-42.5,0,8
10,25,1246.0204566210045,102.75296803652968,61.0,244.0,0.0,10950,0.0,12,-37.5,0,9
11,26,1365.0259468317554,102.60360524399125,61.0,244.0,0.0,10984,0.0,12,-37.5,0,10
12,27,1483.498555695974,102.47436360353855,61.0,244.0,0.0,11078,0.0,12,-37.5,0,11
13,28,1602.060837192409,102.479615000454,61.0,244.0,0.0,11013,0.0,12,-37.5,0,12
14,29,1720.95660463005,102.46890603722197,61.0,244.0,0.0,11015,0.0,12,-37.5,0,13
15,30,1839.413384044191,102.63461016028253,61.0,244.0,0.0,11043,0.0,12,-37.5,0,14
16,31,1958.0513382661916,102.7669681191194,61.0,244.0,0.0,10947,0.0,12,-37.5,0,15
17,32,2076.9471953224925,102.77087520555455,61.0,244.0,0.0,10946,0.0,12,-37.5,0,16
18,33,2195.6105482178396,102.57526687172064,61.0,244.0,0.0,11054,0.0,12,-37.5,0,17
19,34,2314.4123850730125,102.40661618893095,61.0,244.0,0.0,11094,0.0,12,-37.5,0,18
20,41,118.46759007785624,205.40367553865653,102.0,245.0,0.0,11046,0.0,11,-42.5,1,0
21,42,237.4507310870947,205.54872400326946,102.0,245.0,0.0,11011,0.0,11,-42.5,1,1
22,43,356.0115110542664,205.55106888361044,102.0,245.0,0.0,10946,0.0,11,-42.5,1,2
23,44,474.56583726843445,205.5518525245187,102.0,245.0,0.0,11012,0.0,11,-42.5,1,3
24,45,593.4587230950867,205.538098265371,102.0,245.0,0.0,11011,0.0,11,-42.5,1,4
25,46,712.0221044939715,205.5536170990135,102.0,245.0,0.0,10948,0.0,11,-42.5,1,5
26,47,830.9061101470454,205.55731116996986,102.0,245.0,0.0,10949,0.0,11,-42.5,1,6
27,48,949.4713468349833,205.548088275361,102.0,245.0,0.0,11011,0.0,11,-42.5,1,7
28,49,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,8
29,50,1186.8588364034288,205.6037753054897,61.0,244.0,0.0,10966,0.0,12,-37.5,1,9
30,51,1305.4831970935513,205.55177111716623,61.0,244.0,0.0,11010,0.0,12,-37.5,1,10
31,52,1424.0373584216295,205.54229082937522,61.0,244.0,0.0,10948,0.0,12,-37.5,1,11
32,53,1542.9260138838144,205.55471318962367,61.0,244.0,0.0,10948,0.0,12,-37.5,1,12
33,54,1661.490192517254,205.55230657464585,61.0,244.0,0.0,11012,0.0,12,-37.5,1,13
34,55,1780.0500548045304,205.55252100840337,61.0,244.0,0.0,10948,0.0,12,-37.5,1,14
35,56,1898.9332298136646,205.55443916697115,61.0,244.0,0.0,10948,0.0,12,-37.5,1,15
36,57,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,16
37,58,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,17
38,59,2254.9412678114722,205.54338691998538,61.0,244.0,0.0,10948,0.0,12,-37.5,1,18
39,60,2373.6156351791533,205.369073470865,61.0,244.0,0.0,11052,0.0,12,-37.5,1,19
40,61,59.315104402060925,308.26882400795444,102.0,245.0,0.0,11063,0.0,11,-42.5,2,0
41,62,178.00347127066777,308.3198136475747,102.0,245.0,0.0,10947,0.0,11,-42.5,2,1
42,63,296.56198347107437,308.33920624829716,102.0,245.0,0.0,11011,0.0,11,-42.5,2,2
43,64,415.4557260920897,308.3481064390155,102.0,245.0,0.0,11011,0.0,11,-42.5,2,3
44,65,534.0137023842149,308.33041015803417,102.0,245.0,0.0,10947,0.0,11,-42.5,2,4
45,66,652.9047227550927,308.3368959532292,102.0,245.0,0.0,10947,0.0,11,-42.5,2,5
46,67,771.4630403196513,308.34262622593536,102.0,245.0,0.0,11012,0.0,11,-42.5,2,6
47,68,890.0324289759751,308.3360738101763,102.0,245.0,0.0,10947,0.0,11,-42.5,2,7
48,69,1008.8990951466959,308.302257563294,102.0,245.0,0.0,10941,0.0,11,-42.5,2,8
49,70,1127.4448181818182,308.3082727272727,102.0,245.0,0.0,11000,0.0,11,-42.5,2,9
50,71,1246.0345300082215,308.3396364300722,61.0,244.0,0.0,10947,0.0,12,-37.5,2,10
51,72,1364.923076923077,308.33446007674036,61.0,244.0,0.0,10946,0.0,12,-37.5,2,11
52,73,1483.4836541954232,308.3419905557574,61.0,244.0,0.0,11012,0.0,12,-37.5,2,12
53,74,1602.046862154015,308.3371700009135,61.0,244.0,0.0,10947,0.0,12,-37.5,2,13
54,75,1720.9318534758381,308.3281264273317,61.0,244.0,0.0,10947,0.0,12,-37.5,2,14
55,76,1839.491736287686,308.33490737377406,61.0,244.0,0.0,11012,0.0,12,-37.5,2,15
56,77,1958.0555403306842,308.3375353978259,61.0,244.0,0.0,10947,0.0,12,-37.5,2,16
57,78,2076.9440840566467,308.33787117405205,61.0,244.0,0.0,10945,0.0,12,-37.5,2,17
58,79,2195.5020434111343,308.33947870311505,61.0,244.0,0.0,11011,0.0,12,-37.5,2,18
59,80,2314.067598428793,308.3365305563168,61.0,244.0,0.0,10947,0.0,12,-37.5,2,19
60,81,2433.396001085678,308.1466570161947,61.0,244.0,0.0,11053,0.0,12,-37.5,2,20
61,90,118.56787433033688,411.1195859438845,102.0,245.0,0.0,11013,0.0,11,-42.5,3,0
62,91,237.44884248751703,411.1372673626872,102.0,245.0,0.0,11015,0.0,11,-42.5,3,1
63,83,355.96607696516503,411.1822907167609,102.0,245.0,0.0,10966,0.0,11,-42.5,3,2
64,92,474.5750090810025,411.1260443152924,102.0,245.0,0.0,11012,0.0,11,-42.5,3,3
65,93,593.4486830154406,411.1164396003633,102.0,245.0,0.0,11010,0.0,11,-42.5,3,4
66,84,712.0151584330198,411.1061090311387,102.0,245.0,0.0,10951,0.0,11,-42.5,3,5
67,94,830.89478976234,411.0875685557587,102.0,245.0,0.0,10940,0.0,11,-42.5,3,6
68,95,949.468386627907,411.1007449127907,102.0,245.0,0.0,11008,0.0,11,-42.5,3,7
69,85,1068.0151128914786,411.0936817188638,61.0,244.0,0.0,10984,0.0,12,-37.5,3,8
70,96,1186.9120708546384,411.10655588020455,61.0,244.0,0.0,10952,0.0,12,-37.5,3,9
71,97,1305.4747502270664,411.11843778383286,61.0,244.0,0.0,11010,0.0,12,-37.5,3,10
72,86,1424.0378116722989,411.10658507626266,61.0,244.0,0.0,10949,0.0,12,-37.5,3,11
73,98,1542.9304895871392,411.1137194008038,61.0,244.0,0.0,10948,0.0,12,-37.5,3,12
74,99,1661.4882833787467,411.1152588555858,61.0,244.0,0.0,11010,0.0,12,-37.5,3,13
75,87,1780.0404677080478,411.087603909747,61.0,244.0,0.0,10947,0.0,12,-37.5,3,14
76,100,1898.9437237346976,411.11328339119314,61.0,244.0,0.0,10946,0.0,12,-37.5,3,15
77,101,2017.495867768595,411.12196894015074,61.0,244.0,0.0,11011,0.0,12,-37.5,3,16
78,88,2136.053799780782,411.10275849470224,61.0,244.0,0.0,10948,0.0,12,-37.5,3,17
79,102,2254.947204968944,411.1225794665692,61.0,244.0,0.0,10948,0.0,12,-37.5,3,18
80,103,2373.5042230496774,411.11143402052494,61.0,244.0,0.0,11011,0.0,12,-37.5,3,19
81,89,2492.5933074772256,411.0648507260756,61.0,244.0,0.0,11087,0.0,12,-37.5,3,20
82,105,59.383291047480974,513.9483508517579,102.0,245.0,0.0,11036,0.0,11,-42.5,4,0
83,106,178.0042938059565,513.8681710213776,102.0,245.0,0.0,10946,0.0,11,-42.5,4,1
84,107,296.5624601947048,513.8702574833954,143.0,246.0,0.0,10991,0.0,10,-47.5,4,2
85,108,415.45296040682894,513.877224845623,102.0,245.0,0.0,11012,0.0,11,-42.5,4,3
86,109,534.0168082579702,513.864437745501,102.0,245.0,0.0,10947,0.0,11,-42.5,4,4
87,110,652.9030961731665,513.8736870947118,102.0,245.0,0.0,10949,0.0,11,-42.5,4,5
88,111,771.4664850136239,513.8682107175296,102.0,245.0,0.0,11010,0.0,11,-42.5,4,6
89,112,890.0236578707917,513.8889899909008,61.0,244.0,0.0,10990,0.0,12,-37.5,4,7
90,113,1008.9127375730994,513.8773757309941,102.0,245.0,0.0,10944,0.0,11,-42.5,4,8
91,114,1127.4369108049311,513.9670050761422,61.0,244.0,0.0,11032,0.0,12,-37.5,4,9
92,115,1246.0366243492556,513.8747830852133,61.0,244.0,0.0,10949,0.0,12,-37.5,4,10
93,116,1364.926457153298,513.8686278092454,61.0,244.0,0.0,10946,0.0,12,-37.5,4,11
94,117,1483.4821104249909,513.8755902651653,61.0,244.0,0.0,11012,0.0,12,-37.5,4,12
95,118,1602.045213737669,513.8685604676654,61.0,244.0,0.0,10948,0.0,12,-37.5,4,13
96,119,1720.9335038363172,513.8808914870295,61.0,244.0,0.0,10948,0.0,12,-37.5,4,14
97,120,1839.5047558655676,513.8705498686476,20.0,243.0,0.0,11039,0.0,13,-32.5,4,15
98,121,1958.0556215179467,513.8731390994611,61.0,244.0,0.0,10949,0.0,12,-37.5,4,16
99,122,2076.940999178007,513.8875696410631,61.0,244.0,0.0,10949,0.0,12,-37.5,4,17
100,123,2195.5054945054944,513.8706747797656,61.0,244.0,0.0,11011,0.0,12,-37.5,4,18
101,124,2314.0556215179467,513.8731390994611,61.0,244.0,0.0,10949,0.0,12,-37.5,4,19
102,125,2433.2861164078818,513.8821392899301,61.0,244.0,0.0,11013,0.0,12,-37.5,4,20
103,127,118.55722070844686,616.6499545867393,102.0,245.0,0.0,11010,0.0,11,-42.5,5,0
104,128,237.49963728690605,616.5687341313021,102.0,245.0,0.0,11028,0.0,11,-42.5,5,1
105,129,356.0027392257122,616.6322132943754,102.0,245.0,0.0,10952,0.0,11,-42.5,5,2
106,130,474.5735561205957,616.6483835815474,102.0,245.0,0.0,11012,0.0,11,-42.5,5,3
107,131,593.4581289736603,616.6465031789282,102.0,245.0,0.0,11010,0.0,11,-42.5,5,4
108,132,712.0187283025763,616.6585053900968,102.0,245.0,0.0,10946,0.0,11,-42.5,5,5
109,133,830.9041571493833,616.6633165829146,102.0,245.0,0.0,10945,0.0,11,-42.5,5,6
110,134,949.4831848754771,616.6746046173423,102.0,245.0,0.0,11002,0.0,11,-42.5,5,7
