hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,16,177.74830791444816,102.4059200433174,143.0,246.0,0.0,11081,0.0,10,-47.5,0,0
2,17,296.48121321865096,102.60995925758262,143.0,246.0,0.0,11045,0.0,10,-47.5,0,1
3,18,415.44955044955043,102.7663245845064,143.0,246.0,0.0,11011,0.0,10,-47.5,0,2
4,19,534.0133369873024,102.76477573764501,143.0,246.0,0.0,10947,0.0,10,-47.5,0,3
5,20,652.9019822782498,102.75966018087148,143.0,246.0,0.0,10947,0.0,10,-47.5,0,4
6,21,771.4646684831971,102.77284287011807,143.0,246.0,0.0,11010,0.0,10,-47.5,0,5
7,22,889.9989029072957,102.75543975132565,143.0,246.0,0.0,10938,0.0,10,-47.5,0,6
8,23,1008.9137742053343,102.76342710997443,102.0,245.0,0.0,10948,0.0,11,-42.5,0,7
9,24,1127.4726661823465,102.76126044315292,102.0,245.0,0.0,11012,0.0,11,-42.5,0,8
10,25,1246.032340581034,102.76977891467203,102.0,245.0,0.0,10946,0.0,11,-42.5,0,9
11,26,1365.0213986523402,102.61272992169003,102.0,245.0,0.0,10982,0.0,11,-42.5,0,10
12,27,1483.4994582881907,102.48365836041893,102.0,245.0,0.0,11076,0.0,11,-42.5,0,11
13,28,1602.058935706502,102.4843806756266,102.0,245.0,0.0,11012,0.0,11,-42.5,0,12
14,29,1720.9546032322498,102.47357908116942,102.0,245.0,0.0,11014,0.0,11,-42.5,0,13
15,30,1839.4152327476907,102.63946748777396,102.0,245.0,0.0,11042,0.0,11,-42.5,0,14
16,31,1958.0448606669713,102.77505710370032,102.0,245.0,0.0,10945,0.0,11,-42.5,0,15
17,32,2076.9003101058006,102.85041955490696,61.0,244.0,0.0,10964,0.0,12,-37.5,0,16
18,33,2195.6105482178396,102.57526687172064,61.0,244.0,0.0,11054,0.0,12,-37.5,0,17
19,34,2314.4123850730125,102.40661618893095,61.0,244.0,0.0,11094,0.0,12,-37.5,0,18
20,41,118.46862833861476,205.40896333182437,143.0,246.0,0.0,11045,0.0,10,-47.5,1,0
21,42,237.4507310870947,205.54872400326946,143.0,246.0,0.0,11011,0.0,10,-47.5,1,1
22,43,356.0115110542664,205.55106888361044,143.0,246.0,0.0,10946,0.0,10,-47.5,1,2
23,44,474.56583726843445,205.5518525245187,143.0,246.0,0.0,11012,0.0,10,-47.5,1,3
24,45,593.4587230950867,205.538098265371,143.0,246.0,0.0,11011,0.0,10,-47.5,1,4
25,46,712.0221044939715,205.5536170990135,143.0,246.0,0.0,10948,0.0,10,-47.5,1,5
26,47,830.9061101470454,205.55731116996986,143.0,246.0,0.0,10949,0.0,10,-47.5,1,6
27,48,949.4160246533128,205.60853802229676,102.0,245.0,0.0,11033,0.0,11,-42.5,1,7
28,49,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,8
29,50,1186.9157683171934,205.55234788964006,102.0,245.0,0.0,10946,0.0,11,-42.5,1,9
30,51,1305.4831970935513,205.55177111716623,102.0,245.0,0.0,11010,0.0,11,-42.5,1,10
31,52,1424.0373584216295,205.54229082937522,102.0,245.0,0.0,10948,0.0,11,-42.5,1,11
32,53,1542.9260138838144,205.55471318962367,102.0,245.0,0.0,10948,0.0,11,-42.5,1,12
33,54,1661.490192517254,205.55230657464585,102.0,245.0,0.0,11012,0.0,11,-42.5,1,13
34,55,1780.0500548045304,205.55252100840337,102.0,245.0,0.0,10948,0.0,11,-42.5,1,14
35,56,1898.9161868202175,205.52289553057307,102.0,245.0,0.0,10941,0.0,11,-42.5,1,15
36,57,2017.4829560949004,205.52158894645942,102.0,245.0,0.0,11001,0.0,11,-42.5,1,16
37,58,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,17
38,59,2254.9412678114722,205.54338691998538,61.0,244.0,0.0,10948,0.0,12,-37.5,1,18
39,60,2373.6156351791533,205.369073470865,61.0,244.0,0.0,11052,0.0,12,-37.5,1,19
40,61,59.357776570704324,308.19355422777477,143.0,246.0,0.0,11046,0.0,10,-47.5,2,0
41,62,178.00347127066777,308.3198136475747,143.0,246.0,0.0,10947,0.0,10,-47.5,2,1
42,63,296.56198347107437,308.33920624829716,143.0,246.0,0.0,11011,0.0,10,-47.5,2,2
43,64,415.4557260920897,308.3481064390155,143.0,246.0,0.0,11011,0.0,10,-47.5,2,3
44,65,534.0137023842149,308.33041015803417,143.0,246.0,0.0,10947,0.0,10,-47.5,2,4
45,66,652.9047227550927,308.3368959532292,143.0,246.0,0.0,10947,0.0,10,-47.5,2,5
46,67,771.4630403196513,308.34262622593536,143.0,246.0,0.0,11012,0.0,10,-47.5,2,6
47,68,890.0216517449296,308.3416773250502,143.0,246.0,0.0,10946,0.0,10,-47.5,2,7
48,69,1008.8686610726012,308.40496169281283,102.0,245.0,0.0,10964,0.0,11,-42.5,2,8
49,70,1127.4716672720667,308.3431710860879,102.0,245.0,0.0,11012,0.0,11,-42.5,2,9
50,71,1246.0396491869176,308.3425909007857,102.0,245.0,0.0,10946,0.0,11,-42.5,2,10
51,72,1364.923076923077,308.33446007674036,102.0,245.0,0.0,10946,0.0,11,-42.5,2,11
52,73,1483.4836541954232,308.3419905557574,102.0,245.0,0.0,11012,0.0,11,-42.5,2,12
53,74,1602.046862154015,308.3371700009135,102.0,245.0,0.0,10947,0.0,11,-42.5,2,13
54,75,1720.9318534758381,308.3281264273317,102.0,245.0,0.0,10947,0.0,11,-42.5,2,14
