hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,13,3412.796219856615,26.995655007603737,249.0,248.0,247.0,13809,90.91204540653565,7,,0,0
2,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
3,16,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,90.91204540653565,7,,1,1
4,19,1213.0410248471244,110.25946280671879,227.0,248.0,0.0,12919,0.0,8,-57.5,1,2
5,20,1340.5953307392997,110.25338521400778,227.0,248.0,0.0,12850,0.0,8,-57.5,1,3
6,21,1468.5001556178026,110.25513538748832,227.0,248.0,0.0,12852,0.0,8,-57.5,1,4
7,22,1596.0579721362228,110.26153250773994,227.0,248.0,0.0,12920,0.0,8,-57.5,1,5
8,24,1723.6118462017434,110.25972914072229,227.0,248.0,0.0,12848,0.0,8,-57.5,1,6
9,25,1851.4597406630949,110.28915288454073,185.0,247.0,0.0,12879,0.0,9,-52.5,1,7
10,26,1979.0741199226306,110.23466150870406,185.0,247.0,0.0,12925,0.0,9,-52.5,1,8
11,29,2106.95985147366,110.22572909414404,185.0,247.0,0.0,12927,0.0,9,-52.5,1,9
12,31,2234.525587183077,110.21994089282937,185.0,247.0,0.0,12858,0.0,9,-52.5,1,10
13,32,2362.096574653986,110.24905281063945,185.0,247.0,0.0,12933,0.0,9,-52.5,1,11
14,33,2489.9821981424147,110.26261609907121,227.0,248.0,0.0,12920,0.0,8,-57.5,1,12
15,35,2617.560890203097,110.25748968951832,227.0,248.0,0.0,12851,0.0,8,-57.5,1,13
16,36,2745.4852232073417,110.26901539897341,227.0,248.0,0.0,12858,0.0,8,-57.5,1,14
17,38,3128.0382032877983,110.33410511692522,250.0,200.0,0.0,12957,0.0,6,-66.0,1,15
18,40,3256.023978960396,110.22269492574257,250.0,200.0,0.0,12928,0.0,6,-66.0,1,16
19,42,3383.5899191039202,110.22759800871188,250.0,200.0,0.0,12856,0.0,6,-66.0,1,17
20,43,3511.478571984133,110.22446916076845,250.0,200.0,0.0,12857,0.0,6,-66.0,1,18
21,45,3639.0540728707356,110.22480080451767,250.0,200.0,0.0,12927,0.0,6,-66.0,1,19
22,58,383.04193099179946,220.81896951879932,143.0,246.0,0.0,12926,0.0,10,-47.5,3,0
23,59,510.6015868077162,220.82342874922216,143.0,246.0,0.0,12856,0.0,10,-47.5,3,1
24,60,638.5010889856876,220.81386123210953,143.0,246.0,0.0,12856,0.0,10,-47.5,3,2
25,61,766.069090909091,220.82220502901353,143.0,246.0,0.0,12925,0.0,10,-47.5,3,3
26,62,1148.9760758117136,221.02687587385427,227.0,248.0,0.0,12874,0.0,8,-57.5,3,4
27,63,1276.9602927436936,221.1486297103706,227.0,248.0,0.0,12844,0.0,8,-57.5,3,5
28,64,1404.5219229564673,221.1750704666458,227.0,248.0,0.0,12772,0.0,8,-57.5,3,6
29,65,1532.4026929700956,221.15695944888054,227.0,248.0,0.0,12774,0.0,8,-57.5,3,7
30,66,1659.974303068058,221.1486528578103,227.0,248.0,0.0,12842,0.0,8,-57.5,3,8
31,67,1787.474856829058,221.11422295442065,227.0,248.0,0.0,12747,0.0,8,-57.5,3,9
32,68,1915.4343979959292,221.15570690465006,185.0,247.0,0.0,12774,0.0,9,-52.5,3,10
33,69,2042.9949380889338,221.16229265633518,185.0,247.0,0.0,12841,0.0,9,-52.5,3,11
34,70,2170.5609240407202,221.17415818324199,185.0,247.0,0.0,12770,0.0,9,-52.5,3,12
35,71,2298.466233664606,221.17646138195477,185.0,247.0,0.0,12779,0.0,9,-52.5,3,13
36,72,2426.39515370138,221.2491373902133,227.0,248.0,0.0,12752,0.0,8,-57.5,3,14
37,73,2553.5779047917317,221.15455684309427,227.0,248.0,0.0,12772,0.0,8,-57.5,3,15
38,74,2681.4704869265697,221.1633004540473,227.0,248.0,0.0,12774,0.0,8,-57.5,3,16
39,75,2809.1339077782955,220.97376183822388,227.0,248.0,0.0,12882,0.0,8,-57.5,3,17
40,76,2936.9419639402618,220.8306894683897,249.0,228.0,0.0,12923,0.0,7,-62.5,3,18
41,77,3064.3379995307732,220.94877610072731,249.0,228.0,0.0,12787,0.0,7,-62.5,3,19
42,78,3192.0510084884354,221.14726267424655,250.0,200.0,0.0,12841,0.0,6,-66.0,3,20
43,79,3319.9498520479674,221.1495872916991,250.0,200.0,0.0,12842,0.0,6,-66.0,3,21
44,80,3447.5086922474547,221.1744714173845,250.0,200.0,0.0,12770,0.0,6,-66.0,3,22
45,81,3575.402051362355,221.1569057312872,250.0,200.0,0.0,12772,0.0,6,-66.0,3,23
46,82,3703.072559366755,220.9616638212013,250.0,200.0,0.0,12886,0.0,6,-66.0,3,24
47,83,3830.978616643508,220.9523699243477,249.0,228.0,0.0,12954,0.0,7,-62.5,3,25
48,99,191.23480684369434,331.3904931485639,143.0,246.0,0.0,12917,0.0,10,-47.5,4,0
49,100,318.9794983303565,331.57622116952706,143.0,246.0,0.0,12877,0.0,10,-47.5,4,1
50,101,446.9628562529201,331.73695686030214,143.0,246.0,0.0,12842,0.0,10,-47.5,4,2
51,102,574.5327695560254,331.7317359642941,143.0,246.0,0.0,12771,0.0,10,-47.5,4,3
52,103,702.4286273588599,331.7326755931407,143.0,246.0,0.0,12771,0.0,10,-47.5,4,4
53,104,830.0977501939487,331.56027928626844,143.0,246.0,0.0,12890,0.0,10,-47.5,4,5
