hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3790.929608206919,27.50529302630143,242.0,240.0,239.0,9163,88.6904729945669,6,,0,0
2,4,1492.9999112137086,103.07981887596556,185.0,247.0,0.0,11263,0.0,9,-52.5,1,0
3,5,1612.5138032699008,103.08460645046011,185.0,247.0,0.0,11193,0.0,9,-52.5,1,1
4,6,1731.9909413854352,103.09360568383659,185.0,247.0,0.0,11260,0.0,9,-52.5,1,2
5,7,1851.4674767691208,103.08720514653324,185.0,247.0,0.0,11192,0.0,9,-52.5,1,3
6,8,1970.6268203341374,103.08675064772626,185.0,247.0,0.0,11193,0.0,9,-52.5,1,4
7,9,2090.43808077198,103.07764474624732,185.0,247.0,0.0,11192,0.0,9,-52.5,1,5
8,10,2209.584025730367,103.0815688376664,185.0,247.0,0.0,11193,0.0,9,-52.5,1,6
9,11,2329.3480470840022,103.17834849295524,143.0,246.0,0.0,11214,0.0,10,-47.5,1,7
10,12,2448.5489635453896,103.08452466047177,143.0,246.0,0.0,11192,0.0,10,-47.5,1,8
11,13,2568.0494495738635,103.09827769886364,143.0,246.0,0.0,11264,0.0,10,-47.5,1,9
12,14,2807.1457798246392,103.11823576299707,249.0,228.0,0.0,11291,0.0,7,-62.5,1,10
13,15,3045.588603072526,103.08074312254377,249.0,228.0,0.0,11196,0.0,7,-62.5,1,11
14,16,3165.4277673545967,103.08067542213884,249.0,228.0,0.0,11193,0.0,7,-62.5,1,12
15,17,3284.5801090161735,103.0833705656331,249.0,228.0,0.0,11191,0.0,7,-62.5,1,13
16,18,3404.061741709356,103.08429945178395,249.0,228.0,0.0,11127,0.0,7,-62.5,1,14
17,19,3523.4852377129605,103.17491749174917,250.0,200.0,0.0,11211,0.0,6,-66.0,1,15
18,20,3643.0191863563687,103.08731568662284,250.0,200.0,0.0,11258,0.0,6,-66.0,1,16
19,85,1433.011949349028,206.73515248796147,185.0,247.0,0.0,11214,0.0,9,-52.5,2,0
20,86,1552.5824858248582,206.88263882638827,185.0,247.0,0.0,11111,0.0,9,-52.5,2,1
21,87,1672.4008457800971,206.88653949973008,185.0,247.0,0.0,11114,0.0,9,-52.5,2,2
22,88,1791.5470747074708,206.8867686768677,185.0,247.0,0.0,11110,0.0,9,-52.5,2,3
23,89,1911.0299722644718,206.88717902836183,185.0,247.0,0.0,11177,0.0,9,-52.5,2,4
24,90,2030.509089272858,206.88633909287256,185.0,247.0,0.0,11112,0.0,9,-52.5,2,5
25,91,2149.984251968504,206.8715103793844,185.0,247.0,0.0,11176,0.0,9,-52.5,2,6
26,92,2269.4411023054754,206.87851224783861,185.0,247.0,0.0,11104,0.0,9,-52.5,2,7
27,93,2388.6133561335614,206.88236882368824,143.0,246.0,0.0,11111,0.0,10,-47.5,2,8
28,94,2508.4435048578625,206.90338251169484,143.0,246.0,0.0,11116,0.0,10,-47.5,2,9
29,95,2627.7216245293166,206.73910704679935,185.0,247.0,0.0,11154,0.0,9,-52.5,2,10
30,96,2747.273387096774,206.77455197132616,249.0,228.0,0.0,11160,0.0,7,-62.5,2,11
31,97,2866.660453445649,206.67882426740746,249.0,228.0,0.0,11159,0.0,7,-62.5,2,12
32,98,2985.9211559043883,206.72904031394933,249.0,228.0,0.0,11212,0.0,7,-62.5,2,13
33,99,3105.502790279028,206.8852385238524,249.0,228.0,0.0,11110,0.0,7,-62.5,2,14
34,100,3224.9731567644953,206.87553686471009,249.0,228.0,0.0,11176,0.0,7,-62.5,2,15
35,101,3344.4676084218104,206.89580709015655,249.0,228.0,0.0,11114,0.0,7,-62.5,2,16
36,102,3463.5579801623085,206.81577998196573,249.0,228.0,0.0,11090,0.0,7,-62.5,2,17
37,103,3583.4258975974085,206.88167011608027,250.0,200.0,0.0,11113,0.0,6,-66.0,2,18
38,104,3702.701612903226,206.72132616487454,250.0,200.0,0.0,11160,0.0,6,-66.0,2,19
39,105,3822.409683759157,206.5279614078971,249.0,228.0,0.0,11194,0.0,7,-62.5,2,20
40,106,1373.1142627776292,310.1519043796271,185.0,247.0,0.0,11211,0.0,9,-52.5,3,0
41,107,1493.0059949892627,310.3069971367215,185.0,247.0,0.0,11176,0.0,9,-52.5,3,1
42,108,1612.4906407487401,310.30444564434845,185.0,247.0,0.0,11112,0.0,9,-52.5,3,2
43,109,1731.954887218045,310.28097028285,185.0,247.0,0.0,11172,0.0,9,-52.5,3,3
44,110,1851.4660666066607,310.3080108010801,185.0,247.0,0.0,11110,0.0,9,-52.5,3,4
45,111,1970.6030060300602,310.3081630816308,185.0,247.0,0.0,11111,0.0,9,-52.5,3,5
46,112,2090.4113200755874,310.3098173310537,185.0,247.0,0.0,11113,0.0,9,-52.5,3,6
47,113,2209.566414686825,310.3143448524118,185.0,247.0,0.0,11112,0.0,9,-52.5,3,7
48,114,2329.3124102011493,310.38451867816093,143.0,246.0,0.0,11136,0.0,10,-47.5,3,8
49,115,2448.5236252362524,310.3121231212312,143.0,246.0,0.0,11111,0.0,10,-47.5,3,9
50,116,2568.374684911775,310.3485776017285,185.0,247.0,0.0,11108,0.0,9,-52.5,3,10
51,117,2687.5227272727275,310.4130591630592,227.0,248.0,0.0,11088,0.0,8,-57.5,3,11
52,118,2806.642040853055,310.3183658778008,249.0,228.0,0.0,11113,0.0,7,-62.5,3,12
53,119,2926.4494240460763,310.31416486681064,249.0,228.0,0.0,11112,0.0,7,-62.5,3,13
54,120,3045.59805598056,310.3087030870309,249.0,228.0,0.0,11111,0.0,7,-62.5,3,14
