hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3790.929608206919,27.50529302630143,242.0,240.0,239.0,9163,88.6904729945669,6,,0,0
2,4,1493.0404085257549,103.06403197158082,68.0,68.0,68.0,11260,0.0,5,-68.5,1,0
3,5,1612.5180421579134,103.06359414076456,68.0,68.0,68.0,11196,0.0,5,-68.5,1,1
4,6,1732.0683790965456,103.18759964570417,68.0,68.0,68.0,11290,0.0,5,-68.5,1,2
5,7,1851.8024447240698,103.08475642638864,250.0,200.0,0.0,11126,0.0,6,-66.0,1,3
6,8,1970.6317576624074,103.07791975694755,249.0,228.0,0.0,11191,0.0,7,-62.5,1,4
7,9,2090.3899230356183,103.00017898693396,249.0,228.0,0.0,11174,0.0,7,-62.5,1,5
8,10,2209.597872720772,103.06033249910618,249.0,228.0,0.0,11188,0.0,7,-62.5,1,6
9,11,2329.4025196568978,103.08675839885633,249.0,228.0,0.0,11192,0.0,7,-62.5,1,7
10,12,2448.5489635453896,103.08452466047177,249.0,228.0,0.0,11192,0.0,7,-62.5,1,8
11,13,2568.3326302838564,103.61534405483786,249.0,228.0,0.0,11379,0.0,7,-62.5,1,9
12,14,2806.9399946661924,103.07102853586986,107.0,107.0,107.0,11249,0.0,2,-82.5,1,10
13,15,3045.626429592566,103.06915654038599,107.0,107.0,107.0,11192,0.0,2,-82.5,1,11
14,16,3165.430766482044,103.07655887082366,107.0,107.0,107.0,11194,0.0,2,-82.5,1,12
15,17,3284.583221656392,103.07343875636559,107.0,107.0,107.0,11193,0.0,2,-82.5,1,13
16,18,3404.391459710559,103.07736287296765,107.0,107.0,107.0,11194,0.0,2,-82.5,1,14
17,19,3523.5439113731795,103.0742428303404,107.0,107.0,107.0,11193,0.0,2,-82.5,1,15
18,20,3643.020339284128,103.0821564970246,107.0,107.0,107.0,11259,0.0,2,-82.5,1,16
19,85,1433.011949349028,206.73515248796147,68.0,68.0,68.0,11214,0.0,5,-68.5,2,0
20,86,1552.5824858248582,206.88263882638827,68.0,68.0,68.0,11111,0.0,5,-68.5,2,1
21,87,1672.4008457800971,206.88653949973008,68.0,68.0,68.0,11114,0.0,5,-68.5,2,2
22,88,1790.2136082833028,206.86200295832245,250.0,200.0,0.0,11493,0.0,6,-66.0,2,3
23,89,1911.0905276314616,206.82760467815373,250.0,200.0,0.0,11201,0.0,6,-66.0,2,4
24,90,2030.509089272858,206.88633909287256,249.0,228.0,0.0,11112,0.0,7,-62.5,2,5
25,91,2149.9691594616274,206.861663249844,250.0,200.0,0.0,11219,0.0,6,-66.0,2,6
26,92,2269.4797911603205,206.8735259699343,249.0,228.0,0.0,11109,0.0,7,-62.5,2,7
27,93,2388.6133561335614,206.88236882368824,249.0,228.0,0.0,11111,0.0,7,-62.5,2,8
28,94,2508.1034670046165,206.88340725988957,249.0,228.0,0.0,11047,0.0,7,-62.5,2,9
29,95,2627.5247419010325,206.72748309006764,68.0,68.0,68.0,11236,0.0,5,-68.5,2,10
30,96,2747.3203082989785,206.69636135508156,93.0,93.0,93.0,11158,0.0,3,-77.5,2,11
31,97,2866.6640379962364,206.66914598082266,107.0,107.0,107.0,11159,0.0,2,-82.5,2,12
32,98,2985.9211559043883,206.72904031394933,107.0,107.0,107.0,11212,0.0,2,-82.5,2,13
33,99,3105.502790279028,206.8852385238524,107.0,107.0,107.0,11110,0.0,2,-82.5,2,14
34,100,3224.9731567644953,206.87553686471009,107.0,107.0,107.0,11176,0.0,2,-82.5,2,15
35,101,3344.4676084218104,206.89580709015655,107.0,107.0,107.0,11114,0.0,2,-82.5,2,16
36,102,3463.610296102961,206.88119881198813,107.0,107.0,107.0,11111,0.0,2,-82.5,2,17
37,103,3583.4258975974085,206.88167011608027,107.0,107.0,107.0,11113,0.0,2,-82.5,2,18
38,104,3702.690149681814,206.69059783095815,107.0,107.0,107.0,11157,0.0,2,-82.5,2,19
39,105,3822.4122901036085,206.51777420507324,107.0,107.0,107.0,11196,0.0,2,-82.5,2,20
40,107,1373.1142627776292,310.1519043796271,68.0,68.0,68.0,11211,0.0,5,-68.5,3,0
41,108,1493.0059949892627,310.3069971367215,68.0,68.0,68.0,11176,0.0,5,-68.5,3,1
42,109,1612.4906407487401,310.30444564434845,68.0,68.0,68.0,11112,0.0,5,-68.5,3,2
43,110,1732.1218405126378,310.27358490566036,68.0,68.0,68.0,11236,0.0,5,-68.5,3,3
44,111,1851.8019542205736,310.3449742151452,250.0,200.0,0.0,11053,0.0,6,-66.0,3,4
45,112,1970.6527226830149,310.3907320591417,249.0,228.0,0.0,11092,0.0,7,-62.5,3,5
46,113,2090.352416155788,310.2534258925352,249.0,228.0,0.0,11092,0.0,7,-62.5,3,6
47,114,2209.610117710486,310.23973402821457,250.0,200.0,0.0,11129,0.0,6,-66.0,3,7
48,115,2329.3829116773204,310.29161789862246,249.0,228.0,0.0,11107,0.0,7,-62.5,3,8
49,116,2448.5236252362524,310.3121231212312,249.0,228.0,0.0,11111,0.0,7,-62.5,3,9
50,106,2568.9678851174936,310.3187119234117,249.0,228.0,0.0,11490,0.0,7,-62.5,3,10
51,117,2687.19074471894,310.3466702470462,93.0,93.0,93.0,11172,0.0,3,-77.5,3,11
52,118,2806.6471433704637,310.3200682716493,93.0,93.0,93.0,11132,0.0,3,-77.5,3,12
53,119,2926.448564485645,310.3087930879309,107.0,107.0,107.0,11111,0.0,2,-82.5,3,13
54,120,3045.59805598056,310.3087030870309,107.0,107.0,107.0,11111,0.0,2,-82.5,3,14
55,121,3165.40194401944,310.3093330933309,107.0,107.0,107.0,11111,0.0,2,-82.5,3,15
56,122,3284.5629049676027,310.3046256299496,107.0,107.0,107.0,11112,0.0,2,-82.5,3,16
57,123,3404.364528030235,310.3097273463511,107.0,107.0,107.0,11113,0.0,2,-82.5,3,17
58,124,3523.5193484521237,310.3155147588193,107.0,107.0,107.0,11112,0.0,2,-82.5,3,18
59,125,3642.9952581193525,310.30866958933524,107.0,107.0,107.0,11177,0.0,2,-82.5,3,19
60,126,3762.4780887249167,310.31908575542155,107.0,107.0,107.0,11113,0.0,2,-82.5,3,20
61,127,3882.089556228836,310.123685617537,107.0,107.0,107.0,11222,0.0,2,-82.5,3,21
62,135,597.0967140319716,413.41163410301954,143.0,246.0,0.0,11260,0.0,10,-47.5,4,0
63,136,1313.4050361639431,413.81060809000803,68.0,68.0,68.0,11199,0.0,5,-68.5,4,1
64,140,1433.4393953027986,413.76801943669574,68.0,68.0,68.0,11113,0.0,5,-68.5,4,2
65,141,1552.5853504904167,413.766849635562,68.0,68.0,68.0,11113,0.0,5,-68.5,4,3
66,142,1672.3921533339333,413.76909925312697,68.0,68.0,68.0,11113,0.0,5,-68.5,4,4
67,137,1791.2554208337021,413.7990972652447,250.0,200.0,0.0,11299,0.0,6,-66.0,4,5
68,143,1911.4049765596826,413.8528669311215,249.0,228.0,0.0,11092,0.0,7,-62.5,4,6
69,144,2030.5094475436385,413.78126687061365,249.0,228.0,0.0,11114,0.0,7,-62.5,4,7
70,145,2150.234437086093,414.3637086092715,250.0,200.0,0.0,11325,0.0,6,-66.0,4,8
71,146,2269.2018991835284,414.2857649982251,250.0,200.0,0.0,11268,0.0,6,-66.0,4,9
72,147,2388.951661084457,413.77297003711413,249.0,228.0,0.0,11047,0.0,7,-62.5,4,10
73,148,2508.4068236769053,414.296140413719,249.0,228.0,0.0,11167,0.0,7,-62.5,4,11
74,138,2627.5333871112307,413.5990857757462,79.0,79.0,79.0,11157,0.0,4,-72.5,4,12
75,149,2747.396236607545,413.76771405420004,107.0,107.0,107.0,11107,0.0,2,-82.5,4,13
76,150,2866.5455445544553,413.7717371737174,107.0,107.0,107.0,11110,0.0,2,-82.5,4,14
77,151,2986.0405683138238,413.7235278348673,93.0,93.0,93.0,11191,0.0,3,-77.5,4,15
78,152,3105.5059384560013,413.7715493971567,107.0,107.0,107.0,11114,0.0,2,-82.5,4,16
79,153,3224.985416480272,413.7600429453342,107.0,107.0,107.0,11177,0.0,2,-82.5,4,17
80,154,3344.464362850972,413.7751079913607,107.0,107.0,107.0,11112,0.0,2,-82.5,4,18
81,155,3463.610566105661,413.7678876788768,107.0,107.0,107.0,11111,0.0,2,-82.5,4,19
82,156,3583.4220802591326,413.7796472917042,107.0,107.0,107.0,11114,0.0,2,-82.5,4,20
83,157,3702.576403887689,413.77276817854573,107.0,107.0,107.0,11112,0.0,2,-82.5,4,21
84,158,3822.385799136069,413.763588912887,107.0,107.0,107.0,11112,0.0,2,-82.5,4,22
85,139,3942.073370047966,413.7166459406644,107.0,107.0,107.0,11258,0.0,2,-82.5,4,23
86,159,298.5588918677391,516.8521000893655,143.0,246.0,0.0,11190,0.0,10,-47.5,5,0
87,160,418.0451154529307,516.836944937833,143.0,246.0,0.0,11260,0.0,10,-47.5,5,1
88,161,537.403157800305,517.0383062707455,143.0,246.0,0.0,11147,0.0,10,-47.5,5,2
89,162,657.0940285204991,517.0113190730838,143.0,246.0,0.0,11220,0.0,10,-47.5,5,3
90,163,776.4834301027245,516.8569004019652,143.0,246.0,0.0,11195,0.0,10,-47.5,5,4
91,164,895.6272775991425,516.8386030725259,185.0,247.0,0.0,11196,0.0,9,-52.5,5,5
92,165,1015.4424984362435,516.8463944240908,185.0,247.0,0.0,11191,0.0,9,-52.5,5,6
93,166,1134.9167555081733,516.8502132196162,185.0,247.0,0.0,11256,0.0,9,-52.5,5,7
94,167,1373.1427174975563,517.5306140584732,68.0,68.0,68.0,11253,0.0,5,-68.5,5,8
95,168,1492.9884310759098,517.465248731868,68.0,68.0,68.0,11237,0.0,5,-68.5,5,9
96,169,1612.4758367639163,517.4553427599785,68.0,68.0,68.0,11174,0.0,5,-68.5,5,10
97,170,1732.0505677785663,517.3301100070972,68.0,68.0,68.0,11272,0.0,5,-68.5,5,11
98,188,1851.833560090703,517.28589569161,249.0,228.0,0.0,11025,0.0,7,-62.5,5,12
99,171,1970.6015477368846,517.193287141186,249.0,228.0,0.0,11113,0.0,7,-62.5,5,13
100,172,2090.069184098524,517.2114461649913,249.0,228.0,0.0,11043,0.0,7,-62.5,5,14
101,173,2209.869680615766,517.2547111386358,68.0,68.0,68.0,11303,0.0,5,-68.5,5,15
102,174,2328.7772131585984,517.2514041187484,249.0,228.0,0.0,11217,0.0,7,-62.5,5,16
103,175,2448.1876357711803,517.1994931209268,249.0,228.0,0.0,11048,0.0,7,-62.5,5,17
104,176,2567.856026290079,517.2265742961187,68.0,68.0,68.0,11259,0.0,5,-68.5,5,18
105,177,2687.513127135407,517.147905053048,93.0,93.0,93.0,11122,0.0,3,-77.5,5,19
106,178,2806.6375585163846,517.1931040691394,107.0,107.0,107.0,11108,0.0,2,-82.5,5,20
107,179,2926.4382760482276,517.1743746625878,93.0,93.0,93.0,11114,0.0,3,-77.5,5,21
108,180,3045.6010260102603,517.1871118711188,107.0,107.0,107.0,11111,0.0,2,-82.5,5,22
109,181,3165.4073074154066,517.201403887689,107.0,107.0,107.0,11112,0.0,2,-82.5,5,23
110,182,3284.562944299469,517.18788805903,107.0,107.0,107.0,11113,0.0,2,-82.5,5,24
111,183,3404.3728737287374,517.1971019710197,107.0,107.0,107.0,11111,0.0,2,-82.5,5,25
112,184,3523.5164222082244,517.1886079366508,107.0,107.0,107.0,11113,0.0,2,-82.5,5,26
113,185,3643.0020577972623,517.195848617697,107.0,107.0,107.0,11177,0.0,2,-82.5,5,27
114,186,3762.477994779948,517.1890918909189,107.0,107.0,107.0,11111,0.0,2,-82.5,5,28
115,187,3881.960533381063,517.2090567388581,107.0,107.0,107.0,11174,0.0,2,-82.5,5,29
116,196,238.54174513496548,620.4781633934176,143.0,246.0,0.0,11151,0.0,10,-47.5,6,0
117,197,358.439654396544,620.6568265682657,143.0,246.0,0.0,11111,0.0,10,-47.5,6,1
118,198,477.60064788985875,620.646540088185,143.0,246.0,0.0,11113,0.0,10,-47.5,6,2
119,199,597.4018178545716,620.6519078473722,143.0,246.0,0.0,11112,0.0,10,-47.5,6,3
120,200,716.5480561555075,620.6505579553635,143.0,246.0,0.0,11112,0.0,10,-47.5,6,4
121,201,836.3894992795389,620.6617435158502,185.0,247.0,0.0,11104,0.0,9,-52.5,6,5
122,202,955.513138948884,620.6600071994241,185.0,247.0,0.0,11112,0.0,9,-52.5,6,6
123,203,1074.9783367648374,620.6299346522245,185.0,247.0,0.0,11171,0.0,9,-52.5,6,7
124,204,1194.8808780226643,620.3763719104131,185.0,247.0,0.0,11207,0.0,9,-52.5,6,8
125,190,1433.0660040108119,619.6302205946464,250.0,200.0,0.0,11469,0.0,6,-66.0,6,9
126,191,1552.566239691174,619.6132654851729,250.0,200.0,0.0,11398,0.0,6,-66.0,6,10
127,192,1672.3861542511188,619.6009476177942,250.0,200.0,0.0,11397,0.0,6,-66.0,6,11
128,193,1791.248287518904,620.1217863179432,249.0,228.0,0.0,11241,0.0,7,-62.5,6,12
129,205,1911.0090243030736,620.7194424588993,249.0,228.0,0.0,11192,0.0,7,-62.5,6,13
130,206,2030.4877325424643,620.7160959827447,249.0,228.0,0.0,11127,0.0,7,-62.5,6,14
131,207,2149.9434364994663,620.1647990039132,249.0,228.0,0.0,11244,0.0,7,-62.5,6,15
132,194,2269.1649530225136,620.119393724517,250.0,200.0,0.0,11282,0.0,6,-66.0,6,16
133,208,2388.9487690079654,620.6518826937003,249.0,228.0,0.0,11048,0.0,7,-62.5,6,17
134,195,2509.7206995562515,620.6336900722179,249.0,228.0,0.0,11493,0.0,7,-62.5,6,18
135,209,2627.594976593446,620.6693374144761,93.0,93.0,93.0,11108,0.0,3,-77.5,6,19
136,210,2747.417370976443,620.6063657615537,93.0,93.0,93.0,11122,0.0,3,-77.5,6,20
137,211,2866.5349464783667,620.6378519384726,93.0,93.0,93.0,11117,0.0,3,-77.5,6,21
138,212,2986.0524481772695,620.6191029306648,93.0,93.0,93.0,11192,0.0,3,-77.5,6,22
139,213,3105.5031944569423,620.644740394133,107.0,107.0,107.0,11113,0.0,2,-82.5,6,23
140,214,3224.987652111668,620.6504115962778,107.0,107.0,107.0,11176,0.0,2,-82.5,6,24
141,215,3344.4637198415558,620.6405293482175,107.0,107.0,107.0,11108,0.0,2,-82.5,6,25
142,216,3463.6164851975163,620.6476199046162,107.0,107.0,107.0,11113,0.0,2,-82.5,6,26
143,217,3583.4222982093042,620.6561684513632,107.0,107.0,107.0,11113,0.0,2,-82.5,6,27
144,218,3702.5784216683164,620.6491496445605,107.0,107.0,107.0,11113,0.0,2,-82.5,6,28
145,219,3822.385619150468,620.6506479481642,107.0,107.0,107.0,11112,0.0,2,-82.5,6,29
146,220,3942.0688338218315,620.5992539301892,107.0,107.0,107.0,11259,0.0,2,-82.5,6,30
147,224,178.84950248756218,724.1169154228855,143.0,246.0,0.0,11256,0.0,10,-47.5,7,0
148,225,298.5334293170161,724.0727076397012,143.0,246.0,0.0,11113,0.0,10,-47.5,7,1
149,226,418.02335361488906,724.0892090193271,143.0,246.0,0.0,11176,0.0,10,-47.5,7,2
150,227,537.496670865575,724.0793593665647,143.0,246.0,0.0,11114,0.0,10,-47.5,7,3
151,228,656.9855954191644,724.0773016015031,143.0,246.0,0.0,11177,0.0,10,-47.5,7,4
152,229,776.5207042127009,724.0138327494835,143.0,246.0,0.0,11133,0.0,10,-47.5,7,5
153,230,895.6006478898587,724.0817061099613,185.0,247.0,0.0,11113,0.0,9,-52.5,7,6
154,231,1015.4113251710479,724.0456427799784,185.0,247.0,0.0,11108,0.0,9,-52.5,7,7
155,232,1134.5893081761005,723.9566936208446,143.0,246.0,0.0,11130,0.0,10,-47.5,7,8
156,222,1254.5787970729966,723.573175084776,143.0,246.0,0.0,11206,0.0,10,-47.5,7,9
157,223,1372.2287536029348,724.254956764783,227.0,248.0,0.0,11449,0.0,8,-57.5,7,10
158,233,1493.0607635777021,724.1789747266536,249.0,228.0,0.0,11158,0.0,7,-62.5,7,11
159,234,1612.5013513513513,724.2272072072072,249.0,228.0,0.0,11100,0.0,7,-62.5,7,12
160,235,1732.0359254613868,724.1771187959147,249.0,228.0,0.0,11162,0.0,7,-62.5,7,13
161,236,1851.4494958588405,724.1042491897731,227.0,248.0,0.0,11108,0.0,8,-57.5,7,14
162,237,1970.6018543523269,724.099198847781,227.0,248.0,0.0,11109,0.0,8,-57.5,7,15
163,238,2090.4165466330574,724.1045192653943,227.0,248.0,0.0,11108,0.0,8,-57.5,7,16
164,239,2209.518345323741,724.1389388489208,249.0,228.0,0.0,11120,0.0,7,-62.5,7,17
165,240,2329.4214890932035,724.1558500090139,249.0,228.0,0.0,11094,0.0,7,-62.5,7,18
166,241,2449.504839845125,724.6049806406195,249.0,228.0,0.0,11364,0.0,7,-62.5,7,19
167,242,2567.959351042967,723.9258334819041,79.0,79.0,79.0,11218,0.0,4,-72.5,7,20
168,243,2687.4914080071976,724.0744939271256,93.0,93.0,93.0,11115,0.0,3,-77.5,7,21
169,244,2806.631422658148,724.08269594169,93.0,93.0,93.0,11113,0.0,3,-77.5,7,22
170,245,2926.459787693415,724.0865419215545,93.0,93.0,93.0,11116,0.0,3,-77.5,7,23
171,246,3045.5928192207325,724.0822460181769,107.0,107.0,107.0,11113,0.0,2,-82.5,7,24
172,247,3165.413246940245,724.0796436285098,107.0,107.0,107.0,11112,0.0,2,-82.5,7,25
173,248,3284.554705776498,724.0701817527442,107.0,107.0,107.0,11114,0.0,2,-82.5,7,26
174,249,3404.3763498920084,724.0875629949604,107.0,107.0,107.0,11112,0.0,2,-82.5,7,27
175,250,3523.517052101143,724.0836857734186,107.0,107.0,107.0,11113,0.0,2,-82.5,7,28
176,251,3643.0013420416926,724.0783752348573,107.0,107.0,107.0,11177,0.0,2,-82.5,7,29
177,252,3762.4790316774656,724.0786537077034,107.0,107.0,107.0,11112,0.0,2,-82.5,7,30
178,253,3881.851828612406,724.0605951954105,107.0,107.0,107.0,11156,0.0,2,-82.5,7,31
179,272,238.63324633246333,827.5324453244532,143.0,246.0,0.0,11111,0.0,10,-47.5,8,0
180,273,358.4350526600054,827.531550994689,143.0,246.0,0.0,11109,0.0,10,-47.5,8,1
181,274,477.59593232541397,827.5385169186466,143.0,246.0,0.0,11112,0.0,10,-47.5,8,2
182,259,597.3992439924399,827.509945099451,143.0,246.0,0.0,11111,0.0,10,-47.5,8,3
183,275,716.5582755827559,827.5337053370533,143.0,246.0,0.0,11111,0.0,10,-47.5,8,4
184,276,836.371405390787,827.5046425673848,185.0,247.0,0.0,11093,0.0,9,-52.5,8,5
185,277,955.495089647716,827.4783313812055,185.0,247.0,0.0,11099,0.0,9,-52.5,8,6
186,260,1074.6395463954639,827.4789847898479,143.0,246.0,0.0,11111,0.0,10,-47.5,8,7
187,261,1194.5134285457648,827.4198329291296,102.0,245.0,0.0,11133,0.0,11,-42.5,8,8
188,262,1313.6844655837745,827.4258278740016,102.0,245.0,0.0,11143,0.0,11,-42.5,8,9
189,263,1433.4668883098211,827.3959924521521,185.0,247.0,0.0,11129,0.0,9,-52.5,8,10
190,278,1552.6014949567723,827.5393551873199,227.0,248.0,0.0,11104,0.0,8,-57.5,8,11
191,264,1672.3660706262917,827.5920567885704,249.0,228.0,0.0,11129,0.0,7,-62.5,8,12
192,279,1791.5075299846694,827.4522499774552,227.0,248.0,0.0,11089,0.0,8,-57.5,8,13
193,265,1911.043587219189,827.4924371252125,227.0,248.0,0.0,11173,0.0,8,-57.5,8,14
194,280,2030.508279337653,827.52654787617,227.0,248.0,0.0,11112,0.0,8,-57.5,8,15
195,281,2149.9889923035616,827.5460891354932,227.0,248.0,0.0,11174,0.0,8,-57.5,8,16
196,282,2269.434505079565,827.5946237525848,249.0,228.0,0.0,11123,0.0,7,-62.5,8,17
197,283,2389.3002757271192,827.5338432802632,249.0,228.0,0.0,11243,0.0,7,-62.5,8,18
198,266,2507.9449378330373,827.5441385435169,68.0,68.0,68.0,11260,0.0,5,-68.5,8,19
199,284,2627.5883729301654,827.5311375089993,93.0,93.0,93.0,11112,0.0,3,-77.5,8,20
200,267,2747.3862143435617,827.4987852065149,93.0,93.0,93.0,11113,0.0,3,-77.5,8,21
201,285,2866.5547754073273,827.5123773516968,93.0,93.0,93.0,11109,0.0,3,-77.5,8,22
202,268,2986.0234430923406,827.5258589835362,107.0,107.0,107.0,11176,0.0,2,-82.5,8,23
203,286,3105.4986498649864,827.5250225022502,107.0,107.0,107.0,11110,0.0,2,-82.5,8,24
204,269,3224.9826413743735,827.5102899069434,107.0,107.0,107.0,11176,0.0,2,-82.5,8,25
205,287,3344.4583595930494,827.5128297470064,107.0,107.0,107.0,11107,0.0,2,-82.5,8,26
206,288,3463.619476194762,827.5262352623527,107.0,107.0,107.0,11111,0.0,2,-82.5,8,27
207,289,3583.4229522952296,827.5275427542754,107.0,107.0,107.0,11110,0.0,2,-82.5,8,28
208,290,3702.579141545937,827.5438675425178,107.0,107.0,107.0,11113,0.0,2,-82.5,8,29
209,270,3822.381693816938,827.5078750787508,107.0,107.0,107.0,11111,0.0,2,-82.5,8,30
210,271,3942.0777156052936,827.4867217337242,107.0,107.0,107.0,11259,0.0,2,-82.5,8,31
211,291,178.83405919473824,930.975824371167,143.0,246.0,0.0,11251,0.0,10,-47.5,9,0
212,292,298.52444844664564,930.9235479513733,143.0,246.0,0.0,11105,0.0,10,-47.5,9,1
213,293,418.00197009044507,930.9202113369751,143.0,246.0,0.0,11167,0.0,10,-47.5,9,2
214,294,537.4895073403585,930.9359632531748,143.0,246.0,0.0,11103,0.0,10,-47.5,9,3
215,295,656.9639115250291,930.9228082743799,143.0,246.0,0.0,11167,0.0,10,-47.5,9,4
216,296,776.4987860803884,930.856128046039,143.0,246.0,0.0,11121,0.0,10,-47.5,9,5
217,297,895.6314039187489,930.8258134100306,143.0,246.0,0.0,11126,0.0,10,-47.5,9,6
218,298,1015.4018901890189,930.904500450045,143.0,246.0,0.0,11110,0.0,10,-47.5,9,7
219,299,1134.553216374269,930.9506072874494,102.0,245.0,0.0,11115,0.0,11,-42.5,9,8
220,300,1254.3811195104392,930.9554535637149,102.0,245.0,0.0,11112,0.0,11,-42.5,9,9
221,301,1373.5976443085776,930.903524545945,143.0,246.0,0.0,11122,0.0,10,-47.5,9,10
222,302,1493.399838231329,930.8728318504538,185.0,247.0,0.0,11127,0.0,9,-52.5,9,11
223,303,1612.4463383838383,930.877886002886,227.0,248.0,0.0,11088,0.0,8,-57.5,9,12
224,304,1731.61047979798,930.8788780663781,227.0,248.0,0.0,11088,0.0,8,-57.5,9,13
225,305,1851.4997307485191,930.8882606354335,185.0,247.0,0.0,11142,0.0,9,-52.5,9,14
226,306,1970.591776138204,930.9643692639913,227.0,248.0,0.0,11114,0.0,8,-57.5,9,15
227,307,2090.4190064794816,930.9577933765298,227.0,248.0,0.0,11112,0.0,8,-57.5,9,16
228,308,2209.555785682125,930.9524538496173,227.0,248.0,0.0,11105,0.0,8,-57.5,9,17
229,309,2329.326392644673,930.8762394086893,249.0,228.0,0.0,11094,0.0,7,-62.5,9,18
230,310,2449.8311563915013,930.9479275513759,249.0,228.0,0.0,11484,0.0,7,-62.5,9,19
231,311,2568.0329876631504,930.925889504738,79.0,79.0,79.0,11186,0.0,4,-72.5,9,20
232,312,2687.491854918549,930.9542795427955,93.0,93.0,93.0,11111,0.0,3,-77.5,9,21
233,313,2806.6544996853368,930.9105457160838,79.0,79.0,79.0,11123,0.0,4,-72.5,9,22
234,314,2926.4734286485027,930.9150256271918,93.0,93.0,93.0,11121,0.0,3,-77.5,9,23
235,315,3045.5962559625596,930.9535595355953,107.0,107.0,107.0,11111,0.0,2,-82.5,9,24
236,316,3165.425721218657,930.907612114676,93.0,93.0,93.0,11127,0.0,3,-77.5,9,25
237,317,3284.5682696629215,930.9130786516854,93.0,93.0,93.0,11125,0.0,3,-77.5,9,26
238,318,3404.388134831461,930.9086741573034,93.0,93.0,93.0,11125,0.0,3,-77.5,9,27
239,319,3523.5180451804517,930.9596795967959,107.0,107.0,107.0,11111,0.0,2,-82.5,9,28
240,320,3642.9920365068,930.9622405153901,107.0,107.0,107.0,11176,0.0,2,-82.5,9,29
241,321,3762.479614796148,930.9706597065971,107.0,107.0,107.0,11111,0.0,2,-82.5,9,30
242,322,3881.943793072586,930.9667949521167,107.0,107.0,107.0,11173,0.0,2,-82.5,9,31
243,325,238.66253591954023,1034.3083692528735,102.0,245.0,0.0,11136,0.0,11,-42.5,10,0
244,326,358.4775033677593,1034.2913336326897,102.0,245.0,0.0,11135,0.0,11,-42.5,10,1
245,327,477.62559497081276,1034.29151324652,102.0,245.0,0.0,11135,0.0,11,-42.5,10,2
246,328,597.434075803844,1034.295581102928,102.0,245.0,0.0,11134,0.0,11,-42.5,10,3
247,329,716.5991557391773,1034.2971079576073,102.0,245.0,0.0,11134,0.0,11,-42.5,10,4
248,330,836.0659163987139,1034.3040371561272,102.0,245.0,0.0,11196,0.0,11,-42.5,10,5
249,331,955.5485899047961,1034.2901922040596,102.0,245.0,0.0,11134,0.0,11,-42.5,10,6
250,332,1074.9700143215182,1034.3494450411745,102.0,245.0,0.0,11172,0.0,11,-42.5,10,7
251,333,1194.4660063034669,1034.3547951373255,102.0,245.0,0.0,11105,0.0,11,-42.5,10,8
252,334,1313.6924458816131,1034.3286625348064,102.0,245.0,0.0,11133,0.0,11,-42.5,10,9
253,335,1433.4770930650377,1034.3127021200144,143.0,246.0,0.0,11132,0.0,10,-47.5,10,10
254,336,1552.639917325665,1034.3052659956866,185.0,247.0,0.0,11128,0.0,9,-52.5,10,11
