hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,9,1723.4181201093618,28.852267370604316,249.0,248.0,247.0,10607,90.91204540653565,7,,0,0
2,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
3,14,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,90.91204540653565,7,,1,1
4,17,1213.0358855375096,110.20781129157,68.0,68.0,68.0,12930,0.0,5,-68.5,1,2
5,18,1340.5888664282381,110.1950707510496,68.0,68.0,68.0,12862,0.0,5,-68.5,1,3
6,19,1468.4966182072612,110.20702790950789,68.0,68.0,68.0,12863,0.0,5,-68.5,1,4
7,20,1595.0381413652187,110.82072044800968,250.0,200.0,0.0,13214,0.0,6,-66.0,1,5
8,22,1723.6233089721661,110.24972788057845,250.0,200.0,0.0,12862,0.0,6,-66.0,1,6
9,23,1851.5068439881786,110.22064084616581,249.0,228.0,0.0,12858,0.0,7,-62.5,1,7
10,24,1979.0717270194987,110.23870318786753,249.0,228.0,0.0,12924,0.0,7,-62.5,1,8
11,26,2362.016268311488,110.36106399383192,68.0,68.0,68.0,12970,0.0,5,-68.5,1,9
12,27,2489.988556406093,110.20985076934973,68.0,68.0,68.0,12933,0.0,5,-68.5,1,10
13,29,2617.5580003109935,110.2086767221272,68.0,68.0,68.0,12862,0.0,5,-68.5,1,11
14,30,2745.441688695382,110.21132016793656,79.0,79.0,79.0,12862,0.0,4,-72.5,1,12
15,31,2873.009665197557,110.22469651279673,79.0,79.0,79.0,12933,0.0,4,-72.5,1,13
16,32,3000.5634865096026,110.20884845657415,93.0,93.0,93.0,12861,0.0,3,-77.5,1,14
17,36,3128.471667314419,110.21469102215313,93.0,93.0,93.0,12865,0.0,3,-77.5,1,15
18,38,3256.0292343387473,110.21484918793503,107.0,107.0,107.0,12930,0.0,2,-82.5,1,16
19,40,3383.5886149778366,110.21541332918578,107.0,107.0,107.0,12859,0.0,2,-82.5,1,17
