hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,0,0
2,13,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,90.91204540653565,7,,0,1
3,16,1213.0317116559672,110.21084383943074,107.0,107.0,107.0,12929,0.0,2,-82.5,0,2
4,17,1340.5804244732956,110.20003109694473,93.0,93.0,93.0,12863,0.0,3,-77.5,0,3
5,18,1468.4952573472244,110.21170890996734,93.0,93.0,93.0,12862,0.0,3,-77.5,0,4
6,19,1596.0520494972932,110.22095901005414,93.0,93.0,93.0,12930,0.0,3,-77.5,0,5
7,21,1723.6033745431926,110.20612705077366,93.0,93.0,93.0,12861,0.0,3,-77.5,0,6
8,22,1851.506414742244,110.20667133193375,93.0,93.0,93.0,12861,0.0,3,-77.5,0,7
9,23,1979.0711523588554,110.2200309358082,93.0,93.0,93.0,12930,0.0,3,-77.5,0,8
10,26,2106.9558391337973,110.21399845320958,93.0,93.0,93.0,12930,0.0,3,-77.5,0,9
11,28,2234.520018658167,110.20811630257327,93.0,93.0,93.0,12863,0.0,3,-77.5,0,10
12,29,2362.0934962493234,110.21552857474286,93.0,93.0,93.0,12931,0.0,3,-77.5,0,11
13,30,2489.976103936277,110.21900858402289,93.0,93.0,93.0,12931,0.0,3,-77.5,0,12
14,32,2617.545136459062,110.21335821475779,93.0,93.0,93.0,12861,0.0,3,-77.5,0,13
15,33,2745.447924762941,110.21863827141303,93.0,93.0,93.0,12866,0.0,3,-77.5,0,14
16,34,2873.011214230472,110.21399845320958,121.0,121.0,121.0,12930,0.0,1,-87.5,0,15
17,57,383.0518867924528,220.7948499845345,68.0,68.0,68.0,12932,0.0,5,-68.5,2,0
18,58,510.61012205550804,220.79374951411023,68.0,68.0,68.0,12863,0.0,5,-68.5,2,1
19,59,638.5047426527756,220.78829109003266,68.0,68.0,68.0,12862,0.0,5,-68.5,2,2
20,60,766.0760188693837,220.80001546670792,68.0,68.0,68.0,12931,0.0,5,-68.5,2,3
21,61,1148.9607112353444,220.99208013044492,107.0,107.0,107.0,12879,0.0,2,-82.5,2,4
22,62,1276.9523624192418,221.13684128590333,93.0,93.0,93.0,12847,0.0,3,-77.5,2,5
23,63,1404.5219229564673,221.1750704666458,93.0,93.0,93.0,12772,0.0,3,-77.5,2,6
24,64,1532.4026929700956,221.15695944888054,93.0,93.0,93.0,12774,0.0,3,-77.5,2,7
25,65,1659.974303068058,221.1486528578103,93.0,93.0,93.0,12842,0.0,3,-77.5,2,8
26,66,1787.5367992483557,221.17428750391483,93.0,93.0,93.0,12772,0.0,3,-77.5,2,9
27,67,1915.4319373776907,221.15976516634052,93.0,93.0,93.0,12775,0.0,3,-77.5,2,10
28,68,2042.9951720915744,221.1569848933188,93.0,93.0,93.0,12842,0.0,3,-77.5,2,11
29,69,2170.564560332002,221.17077754287055,93.0,93.0,93.0,12771,0.0,3,-77.5,2,12
30,70,2298.4507593549397,221.15578518866448,93.0,93.0,93.0,12774,0.0,3,-77.5,2,13
31,71,2426.0164279040796,221.15057614450328,93.0,93.0,93.0,12844,0.0,3,-77.5,2,14
32,72,2553.5779047917317,221.15455684309427,93.0,93.0,93.0,12772,0.0,3,-77.5,2,15
33,73,2681.4767942396493,221.17609767551068,93.0,93.0,93.0,12777,0.0,3,-77.5,2,16
34,74,2809.071095208463,221.1238332296204,107.0,107.0,107.0,12856,0.0,2,-82.5,2,17
35,75,2937.139939661174,221.1180474974859,128.0,128.0,128.0,12927,0.0,0,-90.0,2,18
36,97,3440.939950980392,230.02790346907994,246.0,245.0,244.0,10608,90.1665126307988,6,,2,19
37,77,3846.850518006907,228.55063781802804,249.0,248.0,247.0,14189,90.91204540653565,7,,2,20
38,78,3218.9956560153146,263.8048888234428,249.0,248.0,247.0,13582,90.91204540653565,7,,3,0
39,101,191.20617121645657,331.3609929626479,68.0,68.0,68.0,12931,0.0,5,-68.5,4,0
40,102,318.9767044572138,331.57237148625563,68.0,68.0,68.0,12878,0.0,5,-68.5,4,1
41,103,446.9628562529201,331.73695686030214,68.0,68.0,68.0,12842,0.0,5,-68.5,4,2
42,104,574.5327695560254,331.7317359642941,68.0,68.0,68.0,12771,0.0,5,-68.5,4,3
43,105,702.4286273588599,331.7326755931407,68.0,68.0,68.0,12771,0.0,5,-68.5,4,4
44,106,830.1060265260219,331.548669820833,68.0,68.0,68.0,12893,0.0,5,-68.5,4,5
45,122,957.3643553915107,323.99736356446084,249.0,248.0,247.0,15172,90.91204540653565,7,,4,6
46,107,1085.0241515881028,331.5699308845228,107.0,107.0,107.0,12877,0.0,2,-82.5,4,7
47,108,1213.000311332503,331.728595890411,93.0,93.0,93.0,12848,0.0,3,-77.5,4,8
48,109,1340.5743132190655,331.76152461454177,93.0,93.0,93.0,12777,0.0,3,-77.5,4,9
49,110,1468.4443401392475,331.78393178440115,93.0,93.0,93.0,12783,0.0,3,-77.5,4,10
50,111,1596.0281086973448,331.7475667678891,93.0,93.0,93.0,12843,0.0,3,-77.5,4,11
51,112,1723.5849706457925,331.7530332681018,93.0,93.0,93.0,12775,0.0,3,-77.5,4,12
52,113,1851.4844166014095,331.72826938136257,93.0,93.0,93.0,12770,0.0,3,-77.5,4,13
53,114,1979.0462580795888,331.72790281130756,93.0,93.0,93.0,12841,0.0,3,-77.5,4,14
54,115,2106.942619121769,331.74548427281223,93.0,93.0,93.0,12844,0.0,3,-77.5,4,15
55,116,2234.498355778265,331.7287034137175,93.0,93.0,93.0,12772,0.0,3,-77.5,4,16
56,117,2362.0707943925236,331.73271028037385,93.0,93.0,93.0,12840,0.0,3,-77.5,4,17
57,118,2489.9574120211773,331.7447056991591,93.0,93.0,93.0,12844,0.0,3,-77.5,4,18
58,119,2617.5263075477606,331.72956467272155,93.0,93.0,93.0,12772,0.0,3,-77.5,4,19
59,120,2745.4244204260654,331.7298715538847,107.0,107.0,107.0,12768,0.0,2,-82.5,4,20
60,121,2872.9606667185917,331.7055845470831,121.0,121.0,121.0,12839,0.0,1,-87.5,4,21
61,174,127.13679062184613,442.15387004114586,68.0,68.0,68.0,12881,0.0,5,-68.5,6,0
62,183,255.4610806577917,442.32059514487077,68.0,68.0,68.0,12770,0.0,5,-68.5,6,1
63,175,383.02460292743694,442.3131423232638,68.0,68.0,68.0,12844,0.0,5,-68.5,6,2
64,184,510.58123874402946,442.33184558765953,68.0,68.0,68.0,12771,0.0,5,-68.5,6,3
65,185,638.4758809710258,442.3215348472984,68.0,68.0,68.0,12770,0.0,5,-68.5,6,4
