hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3792.7245660294443,27.623709074928588,242.0,240.0,239.0,9102,88.6904729945669,6,,0,0
2,6,1493.0168783867816,103.10437949720175,227.0,248.0,0.0,11257,0.0,8,-57.5,1,0
3,7,1612.5298113882184,103.11906677393404,227.0,248.0,0.0,11187,0.0,8,-57.5,1,1
4,8,1732.0039093736118,103.11523767214571,227.0,248.0,0.0,11255,0.0,8,-57.5,1,2
5,9,1851.4843987483237,103.1184622261958,227.0,248.0,0.0,11185,0.0,8,-57.5,1,3
6,10,1970.6375011171685,103.11341496112253,227.0,248.0,0.0,11189,0.0,8,-57.5,1,4
7,11,2090.4450303897033,103.10350375402217,227.0,248.0,0.0,11188,0.0,8,-57.5,1,5
8,12,2209.558996786862,103.13147090324884,249.0,228.0,0.0,11204,0.0,7,-62.5,1,6
9,13,2329.4025196568978,103.08675839885633,249.0,228.0,0.0,11192,0.0,7,-62.5,1,7
10,14,2448.5489635453896,103.08452466047177,249.0,228.0,0.0,11192,0.0,7,-62.5,1,8
11,15,2568.021144278607,103.0747157071784,249.0,228.0,0.0,11256,0.0,7,-62.5,1,9
12,16,2688.1455935330814,103.62920657235743,249.0,228.0,0.0,11381,0.0,7,-62.5,1,10
13,17,3045.626429592566,103.06915654038599,79.0,79.0,79.0,11192,0.0,4,-72.5,1,11
14,18,3165.430766482044,103.07655887082366,79.0,79.0,79.0,11194,0.0,4,-72.5,1,12
15,19,3284.4730420741007,103.26733650309501,93.0,93.0,93.0,11147,0.0,3,-77.5,1,13
16,20,3404.370163757423,103.42486953392118,93.0,93.0,93.0,11114,0.0,3,-77.5,1,14
17,21,3523.6374473424758,103.23061754952047,93.0,93.0,93.0,11157,0.0,3,-77.5,1,15
18,22,3643.0179396092362,103.08658969804618,93.0,93.0,93.0,11260,0.0,3,-77.5,1,16
19,100,1433.0287320424734,206.7599714464174,227.0,248.0,0.0,11207,0.0,8,-57.5,2,0
20,101,1552.581931071718,206.88230000899847,227.0,248.0,0.0,11113,0.0,8,-57.5,2,1
21,102,1672.4008457800971,206.88653949973008,227.0,248.0,0.0,11114,0.0,8,-57.5,2,2
22,103,1791.5486861051115,206.8876889848812,227.0,248.0,0.0,11112,0.0,8,-57.5,2,3
23,104,1911.0212023617821,206.88217928073,227.0,248.0,0.0,11178,0.0,8,-57.5,2,4
24,105,2030.509089272858,206.88633909287256,227.0,248.0,0.0,11112,0.0,8,-57.5,2,5
25,106,2149.969119226638,206.87423916935194,227.0,248.0,0.0,11172,0.0,8,-57.5,2,6
26,107,2269.4676084218104,206.89580709015655,249.0,228.0,0.0,11114,0.0,7,-62.5,2,7
27,108,2388.6133561335614,206.88236882368824,249.0,228.0,0.0,11111,0.0,7,-62.5,2,8
28,109,2508.436285097192,206.88408927285818,249.0,228.0,0.0,11112,0.0,7,-62.5,2,9
29,110,2628.1866310160426,206.81488413547237,249.0,228.0,0.0,11220,0.0,7,-62.5,2,10
30,111,2747.0306411618844,206.6811016648955,68.0,68.0,68.0,11292,0.0,5,-68.5,2,11
31,112,2866.5673841207467,206.51308386174867,79.0,79.0,79.0,11197,0.0,4,-72.5,2,12
32,113,2985.9211559043883,206.72904031394933,79.0,79.0,79.0,11212,0.0,4,-72.5,2,13
33,114,3105.502790279028,206.8852385238524,79.0,79.0,79.0,11110,0.0,4,-72.5,2,14
34,115,3225.013851653262,206.8394995531725,79.0,79.0,79.0,11190,0.0,4,-72.5,2,15
35,116,3344.4676084218104,206.89580709015655,93.0,93.0,93.0,11114,0.0,3,-77.5,2,16
36,117,3463.610996130658,206.88158013137766,93.0,93.0,93.0,11113,0.0,3,-77.5,2,17
37,118,3583.416989111851,206.88158013137766,93.0,93.0,93.0,11113,0.0,3,-77.5,2,18
38,119,3702.679301075269,206.6853046594982,79.0,79.0,79.0,11160,0.0,4,-72.5,2,19
39,120,3822.4122901036085,206.51777420507324,79.0,79.0,79.0,11196,0.0,4,-72.5,2,20
40,121,1373.1294726510216,310.1788168109218,227.0,248.0,0.0,11207,0.0,8,-57.5,3,0
41,122,1493.001431511139,310.3101905699204,227.0,248.0,0.0,11177,0.0,8,-57.5,3,1
42,123,1612.489786736255,310.3098173310537,227.0,248.0,0.0,11113,0.0,8,-57.5,3,2
43,124,1731.9662760533142,310.31120851596745,227.0,248.0,0.0,11179,0.0,8,-57.5,3,3
44,125,1851.4575722127238,310.3207054800684,227.0,248.0,0.0,11113,0.0,8,-57.5,3,4
45,126,1970.6073614110871,310.3048056155508,227.0,248.0,0.0,11112,0.0,8,-57.5,3,5
46,127,2090.4129926219184,310.30493071801334,227.0,248.0,0.0,11114,0.0,8,-57.5,3,6
47,128,2209.524712437096,310.34094176851187,249.0,228.0,0.0,11128,0.0,7,-62.5,3,7
48,129,2329.370713707137,310.3080730807308,249.0,228.0,0.0,11111,0.0,7,-62.5,3,8
49,130,2448.5347728295096,310.32919478182635,249.0,228.0,0.0,11115,0.0,7,-62.5,3,9
50,131,2567.648840553658,310.36904547905806,249.0,228.0,0.0,11126,0.0,7,-62.5,3,10
51,132,2687.727609962904,310.3736089030207,250.0,200.0,0.0,11322,0.0,6,-66.0,3,11
52,133,2806.6429471032748,310.3237675422814,79.0,79.0,79.0,11116,0.0,4,-72.5,3,12
53,134,2926.4273896232353,310.3542846866289,79.0,79.0,79.0,11121,0.0,4,-72.5,3,13
54,135,3045.59805598056,310.3087030870309,79.0,79.0,79.0,11111,0.0,4,-72.5,3,14
55,136,3165.407037437005,310.30642548596114,79.0,79.0,79.0,11112,0.0,4,-72.5,3,15
56,137,3284.567776777678,310.3053105310531,93.0,93.0,93.0,11110,0.0,3,-77.5,3,16
57,138,3404.3632928475035,310.3090418353576,93.0,93.0,93.0,11115,0.0,3,-77.5,3,17
58,139,3523.5166051660517,310.3112231122311,93.0,93.0,93.0,11111,0.0,3,-77.5,3,18
59,140,3642.9884605063066,310.3009213704267,79.0,79.0,79.0,11179,0.0,4,-72.5,3,19
60,141,3762.4780887249167,310.31908575542155,79.0,79.0,79.0,11113,0.0,4,-72.5,3,20
61,142,3882.160995113283,310.2749000444247,79.0,79.0,79.0,11255,0.0,4,-72.5,3,21
62,150,477.612917634447,413.4122744327318,185.0,247.0,0.0,11194,0.0,9,-52.5,4,0
63,151,597.4282268870031,413.40821795444396,185.0,247.0,0.0,11195,0.0,9,-52.5,4,1
64,153,1313.4318405291856,413.8296236703316,227.0,248.0,0.0,11187,0.0,8,-57.5,4,2
65,154,1433.4390858376821,413.77370883570273,227.0,248.0,0.0,11114,0.0,8,-57.5,4,3
66,155,1552.5310556206616,413.6774542504282,227.0,248.0,0.0,11093,0.0,8,-57.5,4,4
67,156,1672.36191506627,413.6716256424128,227.0,248.0,0.0,11091,0.0,8,-57.5,4,5
68,157,1791.5658084263594,413.7482895210659,227.0,248.0,0.0,11108,0.0,8,-57.5,4,6
69,158,1911.0194131329397,413.76409017713365,227.0,248.0,0.0,11178,0.0,8,-57.5,4,7
70,159,2030.5044542427788,413.77827769279224,227.0,248.0,0.0,11113,0.0,8,-57.5,4,8
71,160,2149.982820329277,413.7720114531138,227.0,248.0,0.0,11176,0.0,8,-57.5,4,9
72,161,2269.437342682488,413.82560230133043,249.0,228.0,0.0,11124,0.0,7,-62.5,4,10
73,162,2388.6185205183583,413.7742980561555,249.0,228.0,0.0,11112,0.0,7,-62.5,4,11
74,163,2508.4351860192774,413.7670480136925,227.0,248.0,0.0,11101,0.0,8,-57.5,4,12
