hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,1304.867190422746,47.40086045641601,249.0,248.0,247.0,10692,90.91204540653565,7,,0,0
2,7,1508.4361443692521,26.73841749089016,249.0,248.0,247.0,11526,90.91204540653565,7,,0,1
3,8,1723.4189991518235,28.863914805390632,249.0,248.0,247.0,10611,90.91204540653565,7,,0,2
4,9,1960.2291281467785,27.10944389133836,249.0,248.0,247.0,14062,90.91204540653565,7,,0,3
5,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,1,0
6,14,1340.278814149702,110.23268054803003,249.0,228.0,0.0,12919,0.0,7,-62.5,1,1
7,15,1468.4902769135035,110.23895457373989,249.0,228.0,0.0,12856,0.0,7,-62.5,1,2
8,16,1596.0492805198824,110.23023363762958,249.0,228.0,0.0,12926,0.0,7,-62.5,1,3
9,18,1723.601696234049,110.23350451291628,249.0,228.0,0.0,12852,0.0,7,-62.5,1,4
10,19,1851.5068439881786,110.22064084616581,249.0,228.0,0.0,12858,0.0,7,-62.5,1,5
11,20,1979.0795946782177,110.25595606435644,249.0,228.0,0.0,12928,0.0,7,-62.5,1,6
12,22,2106.6425959069334,110.25507742588125,227.0,248.0,0.0,12851,0.0,8,-57.5,1,7
13,24,2234.4814009474258,110.2983614195853,185.0,247.0,0.0,12877,0.0,9,-52.5,1,8
14,25,2362.0863242574255,110.22772277227723,185.0,247.0,0.0,12928,0.0,9,-52.5,1,9
15,26,2489.6263839076873,110.16443162326524,227.0,248.0,0.0,12826,0.0,8,-57.5,1,10
16,28,2617.5651632970453,110.25077760497668,185.0,247.0,0.0,12860,0.0,9,-52.5,1,11
17,29,2745.4852232073417,110.26901539897341,227.0,248.0,0.0,12858,0.0,8,-57.5,1,12
18,30,3000.3457306679065,110.17333023399969,79.0,79.0,79.0,12906,0.0,4,-72.5,1,13
19,34,3128.4486482287134,110.23617153511498,68.0,68.0,68.0,12872,0.0,5,-68.5,1,14
