hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,12,296.48121321865096,102.60995925758262,102.0,245.0,0.0,11045,0.0,11,-42.5,0,0
2,13,415.44955044955043,102.7663245845064,102.0,245.0,0.0,11011,0.0,11,-42.5,0,1
3,14,534.0133369873024,102.76477573764501,102.0,245.0,0.0,10947,0.0,11,-42.5,0,2
4,15,652.9019822782498,102.75966018087148,102.0,245.0,0.0,10947,0.0,11,-42.5,0,3
5,16,771.4646684831971,102.77284287011807,102.0,245.0,0.0,11010,0.0,11,-42.5,0,4
6,17,890.1203788016754,102.62374795119285,102.0,245.0,0.0,10982,0.0,11,-42.5,0,5
7,18,1008.9324312051584,102.49169012805376,102.0,245.0,0.0,11011,0.0,11,-42.5,0,6
8,19,1127.4968854382955,102.4792813938792,102.0,245.0,0.0,11077,0.0,11,-42.5,0,7
9,23,1246.1130963177943,102.410937783421,102.0,245.0,0.0,11026,0.0,11,-42.5,0,8
10,24,1364.9216719672877,102.45170377101317,102.0,245.0,0.0,11005,0.0,11,-42.5,0,9
11,25,1483.498555695974,102.47436360353855,61.0,244.0,0.0,11078,0.0,12,-37.5,0,10
12,26,1839.5141671178487,102.49350297780184,20.0,243.0,0.0,11082,0.0,13,-32.5,0,11
13,27,1957.9753052669946,102.65071988336067,61.0,244.0,0.0,10974,0.0,12,-37.5,0,12
14,28,2076.9471953224925,102.77087520555455,61.0,244.0,0.0,10946,0.0,12,-37.5,0,13
15,29,2195.501452960407,102.75953505266982,61.0,244.0,0.0,11012,0.0,12,-37.5,0,14
16,30,2314.507145441389,102.57489146164978,61.0,244.0,0.0,11056,0.0,12,-37.5,0,15
17,45,118.58469304967096,205.19570900567925,102.0,245.0,0.0,11093,0.0,11,-42.5,1,0
18,47,237.35971027614306,205.40063377093708,102.0,245.0,0.0,11045,0.0,11,-42.5,1,1
19,48,356.0115110542664,205.55106888361044,102.0,245.0,0.0,10946,0.0,11,-42.5,1,2
20,49,474.56583726843445,205.5518525245187,102.0,245.0,0.0,11012,0.0,11,-42.5,1,3
21,50,593.4587230950867,205.538098265371,102.0,245.0,0.0,11011,0.0,11,-42.5,1,4
22,51,712.0221044939715,205.5536170990135,102.0,245.0,0.0,10948,0.0,11,-42.5,1,5
23,52,830.9061101470454,205.55731116996986,102.0,245.0,0.0,10949,0.0,11,-42.5,1,6
24,53,949.4713468349833,205.548088275361,102.0,245.0,0.0,11011,0.0,11,-42.5,1,7
25,54,1068.0293204238217,205.55316039459262,102.0,245.0,0.0,10948,0.0,11,-42.5,1,8
26,55,1186.9157683171934,205.55234788964006,102.0,245.0,0.0,10946,0.0,11,-42.5,1,9
27,56,1305.4647823320913,205.52122148504952,102.0,245.0,0.0,11003,0.0,11,-42.5,1,10
28,57,1424.0288558122545,205.52944936535476,61.0,244.0,0.0,10951,0.0,12,-37.5,1,11
29,58,1543.0384860340278,205.36529888090254,61.0,244.0,0.0,10991,0.0,12,-37.5,1,12
30,46,1661.5044622735059,205.19453709546562,61.0,244.0,0.0,11093,0.0,12,-37.5,1,13
31,59,1779.931787175989,205.44156434743064,20.0,243.0,0.0,10995,0.0,13,-32.5,1,14
32,60,1898.9543003381775,205.55844986747098,61.0,244.0,0.0,10941,0.0,12,-37.5,1,15
33,61,2017.5002270869288,205.54746116813516,61.0,244.0,0.0,11009,0.0,12,-37.5,1,16
34,62,2136.0621174751072,205.55613410066684,61.0,244.0,0.0,10947,0.0,12,-37.5,1,17
35,63,2254.9412678114722,205.54338691998538,61.0,244.0,0.0,10948,0.0,12,-37.5,1,18
36,64,2373.6156351791533,205.369073470865,61.0,244.0,0.0,11052,0.0,12,-37.5,1,19
37,65,59.357776570704324,308.19355422777477,102.0,245.0,0.0,11046,0.0,11,-42.5,2,0
38,66,178.00347127066777,308.3198136475747,102.0,245.0,0.0,10947,0.0,11,-42.5,2,1
39,67,296.56198347107437,308.33920624829716,102.0,245.0,0.0,11011,0.0,11,-42.5,2,2
40,68,415.4557260920897,308.3481064390155,102.0,245.0,0.0,11011,0.0,11,-42.5,2,3
41,69,534.0137023842149,308.33041015803417,102.0,245.0,0.0,10947,0.0,11,-42.5,2,4
42,70,652.9047227550927,308.3368959532292,102.0,245.0,0.0,10947,0.0,11,-42.5,2,5
43,71,771.4630403196513,308.34262622593536,102.0,245.0,0.0,11012,0.0,11,-42.5,2,6
44,72,890.0324289759751,308.3360738101763,102.0,245.0,0.0,10947,0.0,11,-42.5,2,7
45,73,1008.9128528363935,308.3297707134375,102.0,245.0,0.0,10947,0.0,11,-42.5,2,8
46,74,1127.4716672720667,308.3431710860879,102.0,245.0,0.0,11012,0.0,11,-42.5,2,9
47,75,1246.0396491869176,308.3425909007857,102.0,245.0,0.0,10946,0.0,11,-42.5,2,10
