hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,12,296.4773673728046,102.60628281730943,61.0,244.0,0.0,11046,0.0,12,-37.5,0,0
2,13,415.44955044955043,102.7663245845064,61.0,244.0,0.0,11011,0.0,12,-37.5,0,1
3,14,534.0133369873024,102.76477573764501,61.0,244.0,0.0,10947,0.0,12,-37.5,0,2
4,15,652.9019822782498,102.75966018087148,61.0,244.0,0.0,10947,0.0,12,-37.5,0,3
5,16,771.4646684831971,102.77284287011807,61.0,244.0,0.0,11010,0.0,12,-37.5,0,4
6,17,890.1222798870982,102.61895656924338,61.0,244.0,0.0,10983,0.0,12,-37.5,0,5
7,18,1008.9228114783872,102.46131492916818,61.0,244.0,0.0,11012,0.0,12,-37.5,0,6
8,19,1127.4937268706562,102.47937539489124,20.0,243.0,0.0,11079,0.0,13,-32.5,0,7
9,23,1246.07222121157,102.56148808440967,20.0,243.0,0.0,10994,0.0,13,-32.5,0,8
10,24,1364.9449891067538,102.46132897603486,20.0,243.0,0.0,11016,0.0,13,-32.5,0,9
11,25,1483.4968860005415,102.46944670096579,20.0,243.0,0.0,11079,0.0,13,-32.5,0,10
12,26,1839.4939585211903,102.50171325518485,0.0,242.0,0.0,11090,0.0,14,-30.0,0,11
13,27,1957.9733029612755,102.64601366742596,0.0,242.0,0.0,10975,0.0,14,-30.0,0,12
14,28,2076.9471953224925,102.77087520555455,0.0,242.0,0.0,10946,0.0,14,-30.0,0,13
15,29,2195.501452960407,102.75953505266982,0.0,242.0,0.0,11012,0.0,14,-30.0,0,14
16,30,2314.5109885140637,102.5712218504115,0.0,242.0,0.0,11057,0.0,14,-30.0,0,15
17,45,118.58469304967096,205.19570900567925,61.0,244.0,0.0,11093,0.0,12,-37.5,1,0
18,47,237.35971027614306,205.40063377093708,61.0,244.0,0.0,11045,0.0,12,-37.5,1,1
19,48,356.0115110542664,205.55106888361044,61.0,244.0,0.0,10946,0.0,12,-37.5,1,2
20,49,474.56583726843445,205.5518525245187,61.0,244.0,0.0,11012,0.0,12,-37.5,1,3
21,50,593.4696323195642,205.55533363595097,61.0,244.0,0.0,11015,0.0,12,-37.5,1,4
22,51,711.9870473410563,205.62209249293076,61.0,244.0,0.0,10963,0.0,12,-37.5,1,5
23,52,830.9061101470454,205.55731116996986,61.0,244.0,0.0,10949,0.0,12,-37.5,1,6
24,53,949.4713468349833,205.548088275361,61.0,244.0,0.0,11011,0.0,12,-37.5,1,7
25,54,1067.9966247035213,205.5876664842182,20.0,243.0,0.0,10962,0.0,13,-32.5,1,8
26,55,1186.9165144318597,205.5527950310559,20.0,243.0,0.0,10948,0.0,13,-32.5,1,9
27,56,1305.4871492144218,205.54817909363365,20.0,243.0,0.0,11011,0.0,13,-32.5,1,10
28,57,1424.0365330167137,205.54772125308247,20.0,243.0,0.0,10949,0.0,13,-32.5,1,11
29,58,1543.0384860340278,205.36529888090254,20.0,243.0,0.0,10991,0.0,13,-32.5,1,12
30,46,1661.5044622735059,205.19453709546562,20.0,243.0,0.0,11093,0.0,13,-32.5,1,13
31,59,1779.9535688273852,205.4010378732702,20.0,243.0,0.0,10984,0.0,13,-32.5,1,14
32,60,1898.9126506024097,205.58990507484484,0.0,242.0,0.0,10956,0.0,14,-30.0,1,15
33,61,2017.5002270869288,205.54746116813516,0.0,242.0,0.0,11009,0.0,14,-30.0,1,16
34,62,2136.0621174751072,205.55613410066684,0.0,242.0,0.0,10947,0.0,14,-30.0,1,17
35,63,2254.9412678114722,205.54338691998538,0.0,242.0,0.0,10948,0.0,14,-30.0,1,18
36,64,2373.6244798263074,205.3624027501357,0.0,242.0,0.0,11054,0.0,14,-30.0,1,19
37,65,59.35273352643012,308.1846488052136,61.0,244.0,0.0,11048,0.0,12,-37.5,2,0
38,66,178.00347127066777,308.3198136475747,61.0,244.0,0.0,10947,0.0,12,-37.5,2,1
39,67,296.56198347107437,308.33920624829716,61.0,244.0,0.0,11011,0.0,12,-37.5,2,2
40,68,415.4557260920897,308.3481064390155,61.0,244.0,0.0,11011,0.0,12,-37.5,2,3
41,69,534.0137023842149,308.33041015803417,61.0,244.0,0.0,10947,0.0,12,-37.5,2,4
42,70,652.9053893311374,308.32692835575074,102.0,245.0,0.0,10929,0.0,11,-42.5,2,5
43,71,771.4630403196513,308.34262622593536,61.0,244.0,0.0,11012,0.0,12,-37.5,2,6
44,72,890.0324289759751,308.3360738101763,61.0,244.0,0.0,10947,0.0,12,-37.5,2,7
45,73,1008.9088168113294,308.33924166285976,61.0,244.0,0.0,10945,0.0,12,-37.5,2,8
46,74,1127.4461580332033,308.38138437811847,20.0,243.0,0.0,11023,0.0,13,-32.5,2,9
47,75,1246.0326970499589,308.3385697323956,20.0,243.0,0.0,10949,0.0,13,-32.5,2,10
48,76,1364.9243697478992,308.3352210449397,20.0,243.0,0.0,10948,0.0,13,-32.5,2,11
49,77,1483.4857454149264,308.343199564191,20.0,243.0,0.0,11014,0.0,13,-32.5,2,12
50,78,1602.0463969312266,308.33098913142754,20.0,243.0,0.0,10949,0.0,13,-32.5,2,13
51,79,1720.9318534758381,308.3281264273317,20.0,243.0,0.0,10947,0.0,13,-32.5,2,14
52,80,1839.491736287686,308.33490737377406,20.0,243.0,0.0,11012,0.0,13,-32.5,2,15
53,81,1958.0504201680671,308.33458165875044,0.0,242.0,0.0,10948,0.0,14,-30.0,2,16
54,82,2076.947103964919,308.34204275534444,0.0,242.0,0.0,10946,0.0,14,-30.0,2,17
55,83,2195.4823081110508,308.3868626383596,0.0,242.0,0.0,11022,0.0,14,-30.0,2,18
56,84,2314.0484665936474,308.3762322015334,0.0,242.0,0.0,10956,0.0,14,-30.0,2,19
57,85,2433.37518076645,308.1862798264642,0.0,242.0,0.0,11064,0.0,14,-30.0,2,20
58,94,118.56787433033688,411.1195859438845,61.0,244.0,0.0,11013,0.0,12,-37.5,3,0
59,95,237.44727999273454,411.12042502951596,61.0,244.0,0.0,11011,0.0,12,-37.5,3,1
60,87,356.0076712328767,411.1116894977169,61.0,244.0,0.0,10950,0.0,12,-37.5,3,2
61,96,474.5750090810025,411.1260443152924,61.0,244.0,0.0,11012,0.0,12,-37.5,3,3
62,97,593.5050331005714,411.0430760859708,61.0,244.0,0.0,11027,0.0,12,-37.5,3,4
63,88,712.008490049297,411.09220376118316,61.0,244.0,0.0,10954,0.0,12,-37.5,3,5
64,98,830.9143144240431,411.11765780579157,61.0,244.0,0.0,10947,0.0,12,-37.5,3,6
65,99,949.4674416492599,411.1118881118881,61.0,244.0,0.0,11011,0.0,12,-37.5,3,7
66,89,1068.0158976701691,411.105893101873,61.0,244.0,0.0,10945,0.0,12,-37.5,3,8
67,100,1186.9226413371084,411.1189149694036,20.0,243.0,0.0,10949,0.0,13,-32.5,3,9
68,101,1305.4705294705295,411.1218781218781,20.0,243.0,0.0,11011,0.0,13,-32.5,3,10
69,90,1424.036526344626,411.10583508355404,20.0,243.0,0.0,10951,0.0,13,-32.5,3,11
70,102,1542.9323287671232,411.11479452054795,20.0,243.0,0.0,10950,0.0,13,-32.5,3,12
71,103,1661.4909189974574,411.11678169269885,20.0,243.0,0.0,11012,0.0,13,-32.5,3,13
72,91,1780.0460273972603,411.10182648401826,20.0,243.0,0.0,10950,0.0,13,-32.5,3,14
73,104,1898.9177844693859,411.15329865863674,0.0,242.0,0.0,10959,0.0,14,-30.0,3,15
74,105,2017.473230490018,411.1617967332123,0.0,242.0,0.0,11020,0.0,14,-30.0,3,16
75,92,2136.053799780782,411.10275849470224,20.0,243.0,0.0,10948,0.0,13,-32.5,3,17
76,106,2254.9443784820533,411.1268609005389,20.0,243.0,0.0,10949,0.0,13,-32.5,3,18
77,107,2373.5070384161295,411.120152574698,20.0,243.0,0.0,11011,0.0,13,-32.5,3,19
78,93,2492.5957965000903,411.069276565037,20.0,243.0,0.0,11086,0.0,13,-32.5,3,20
79,109,59.39579367237784,513.9534946967636,61.0,244.0,0.0,11031,0.0,12,-37.5,4,0
80,110,178.0042938059565,513.8681710213776,61.0,244.0,0.0,10946,0.0,12,-37.5,4,1
81,111,296.5673810388667,513.8745005448601,61.0,244.0,0.0,11012,0.0,12,-37.5,4,2
82,112,415.45296040682894,513.877224845623,61.0,244.0,0.0,11012,0.0,12,-37.5,4,3
83,113,534.0168082579702,513.864437745501,61.0,244.0,0.0,10947,0.0,12,-37.5,4,4
84,114,652.9081110705151,513.8706613080014,61.0,244.0,0.0,10948,0.0,12,-37.5,4,5
85,115,771.4716192898011,513.8711288711289,61.0,244.0,0.0,11011,0.0,12,-37.5,4,6
86,116,890.023933497762,513.8649858408696,61.0,244.0,0.0,10947,0.0,12,-37.5,4,7
87,117,1008.9141160347191,513.8722704431248,61.0,244.0,0.0,10945,0.0,12,-37.5,4,8
88,118,1127.440243017773,513.9093217265143,20.0,243.0,0.0,11028,0.0,13,-32.5,4,9
89,119,1246.0366243492556,513.8747830852133,20.0,243.0,0.0,10949,0.0,13,-32.5,4,10
90,120,1364.9220791084315,513.8720197314333,20.0,243.0,0.0,10947,0.0,13,-32.5,4,11
91,121,1483.4833378734222,513.8704258603468,20.0,243.0,0.0,11013,0.0,13,-32.5,4,12
92,122,1602.0444748858447,513.8681278538813,20.0,243.0,0.0,10950,0.0,13,-32.5,4,13
93,123,1720.9315005936614,513.8856516576857,20.0,243.0,0.0,10949,0.0,13,-32.5,4,14
94,124,1839.4929615838707,513.8798474253019,20.0,243.0,0.0,11011,0.0,13,-32.5,4,15
95,125,1958.052338326635,513.8691085129705,20.0,243.0,0.0,10948,0.0,13,-32.5,4,16
96,126,2076.97098540146,513.8571167883212,0.0,242.0,0.0,10960,0.0,14,-30.0,4,17
97,127,2195.506130233403,513.876850422305,20.0,243.0,0.0,11011,0.0,13,-32.5,4,18
98,128,2314.056712328767,513.8678538812785,20.0,243.0,0.0,10950,0.0,13,-32.5,4,19
99,129,2433.2798256764117,513.8844198293082,20.0,243.0,0.0,11014,0.0,13,-32.5,4,20
100,131,118.50616612259702,616.7262422923468,61.0,244.0,0.0,11028,0.0,12,-37.5,5,0
101,132,237.45086285195276,616.6463215258856,61.0,244.0,0.0,11010,0.0,12,-37.5,5,1
102,133,356.01443317803967,616.655065314698,61.0,244.0,0.0,10947,0.0,12,-37.5,5,2
103,134,474.5735561205957,616.6483835815474,61.0,244.0,0.0,11012,0.0,12,-37.5,5,3
104,135,593.4581289736603,616.6465031789282,61.0,244.0,0.0,11010,0.0,12,-37.5,5,4
105,136,712.0187283025763,616.6585053900968,61.0,244.0,0.0,10946,0.0,12,-37.5,5,5
106,137,830.9113993423456,616.6497990500548,61.0,244.0,0.0,10948,0.0,12,-37.5,5,6
107,138,949.4674781976744,616.6483466569767,61.0,244.0,0.0,11008,0.0,12,-37.5,5,7
108,139,1068.0254934210527,616.6665752923976,61.0,244.0,0.0,10944,0.0,12,-37.5,5,8
109,140,1186.889588466101,616.6987863856191,20.0,243.0,0.0,10959,0.0,13,-32.5,5,9
110,141,1305.4782490237035,616.6437199164471,20.0,243.0,0.0,11011,0.0,13,-32.5,5,10
111,142,1424.0370911748585,616.6572263840673,20.0,243.0,0.0,10946,0.0,13,-32.5,5,11
112,143,1542.9251073157366,616.6537583340944,20.0,243.0,0.0,10949,0.0,13,-32.5,5,12
113,144,1661.4843366929992,616.6436938163988,20.0,243.0,0.0,11013,0.0,13,-32.5,5,13
114,145,1780.0465923625068,616.6591448931116,20.0,243.0,0.0,10946,0.0,13,-32.5,5,14
115,146,1898.9335951772014,616.6503470953598,20.0,243.0,0.0,10948,0.0,13,-32.5,5,15
116,147,2017.494007626657,616.6380061739604,0.0,242.0,0.0,11014,0.0,14,-30.0,5,16
117,148,2136.060204640965,616.6586881052439,20.0,243.0,0.0,10946,0.0,13,-32.5,5,17
118,149,2254.946474241871,616.6553708439898,20.0,243.0,0.0,10948,0.0,13,-32.5,5,18
119,150,2373.5088069729436,616.6481750499364,20.0,243.0,0.0,11014,0.0,13,-32.5,5,19
120,151,2492.5829349688825,616.6385857310363,20.0,243.0,0.0,11087,0.0,13,-32.5,5,20
121,153,59.97208303507516,719.6039727988547,102.0,245.0,0.0,11176,0.0,11,-42.5,6,0
122,154,178.0021010322463,719.4346396272952,61.0,244.0,0.0,10947,0.0,12,-37.5,6,1
123,155,296.5613477431659,719.4347470711107,61.0,244.0,0.0,11011,0.0,12,-37.5,6,2
124,156,415.4611333091173,719.4282600799128,61.0,244.0,0.0,11012,0.0,12,-37.5,6,3
125,157,534.0095011876484,719.4291065229307,61.0,244.0,0.0,10946,0.0,12,-37.5,6,4
126,158,652.9033436871916,719.4384249954321,61.0,244.0,0.0,10946,0.0,12,-37.5,6,5
127,159,771.4673083908464,719.4482382855067,61.0,244.0,0.0,11012,0.0,12,-37.5,6,6
128,160,890.0395433789954,719.4567123287671,61.0,244.0,0.0,10950,0.0,12,-37.5,6,7
129,161,1008.8651705893085,719.5069330414158,61.0,244.0,0.0,10962,0.0,12,-37.5,6,8
130,162,1127.477846377338,719.4656800435808,61.0,244.0,0.0,11014,0.0,12,-37.5,6,9
131,163,1245.981763472235,719.5108051427009,20.0,243.0,0.0,10967,0.0,13,-32.5,6,10
132,164,1364.9233509957976,719.429837383519,20.0,243.0,0.0,10946,0.0,13,-32.5,6,11
133,165,1483.4826991190628,719.4427390791027,20.0,243.0,0.0,11011,0.0,13,-32.5,6,12
134,166,1602.0460358056266,719.4402630617465,20.0,243.0,0.0,10948,0.0,13,-32.5,6,13
135,167,1720.93094629156,719.437522835221,20.0,243.0,0.0,10948,0.0,13,-32.5,6,14
136,168,1839.4879687641878,719.4417506583129,20.0,243.0,0.0,11013,0.0,13,-32.5,6,15
137,169,1958.0496849027309,719.4250616494658,0.0,242.0,0.0,10949,0.0,14,-30.0,6,16
138,170,2076.9627601314346,719.3849945235487,0.0,242.0,0.0,10956,0.0,14,-30.0,6,17
139,171,2195.50258832077,719.4342021614749,20.0,243.0,0.0,11011,0.0,13,-32.5,6,18
140,172,2314.0667701863354,719.4376141761052,20.0,243.0,0.0,10948,0.0,13,-32.5,6,19
141,173,2433.2815110788233,719.441699963676,20.0,243.0,0.0,11012,0.0,13,-32.5,6,20
