hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3792.7245660294443,27.623709074928588,242.0,240.0,239.0,9102,88.6904729945669,6,,0,0
2,5,1492.9999112137086,103.07981887596556,185.0,247.0,0.0,11263,0.0,9,-52.5,1,0
3,6,1612.5138032699008,103.08460645046011,185.0,247.0,0.0,11193,0.0,9,-52.5,1,1
4,7,1731.9909413854352,103.09360568383659,185.0,247.0,0.0,11260,0.0,9,-52.5,1,2
5,8,1851.4674767691208,103.08720514653324,185.0,247.0,0.0,11192,0.0,9,-52.5,1,3
6,9,1970.644376899696,103.09985696406223,227.0,248.0,0.0,11186,0.0,8,-57.5,1,4
7,10,2090.4450303897033,103.10350375402217,227.0,248.0,0.0,11188,0.0,8,-57.5,1,5
8,11,2209.5997497318554,103.1124419020379,227.0,248.0,0.0,11188,0.0,8,-57.5,1,6
9,12,2329.0372838616713,103.03827449567723,227.0,248.0,0.0,11104,0.0,8,-57.5,1,7
10,13,2448.5489635453896,103.08452466047177,185.0,247.0,0.0,11192,0.0,9,-52.5,1,8
11,14,2568.037204759368,103.10042621204049,185.0,247.0,0.0,11262,0.0,9,-52.5,1,9
12,15,2687.5119377626756,103.10033085934008,227.0,248.0,0.0,11183,0.0,8,-57.5,1,10
13,16,2807.1457798246392,103.11823576299707,249.0,228.0,0.0,11291,0.0,7,-62.5,1,11
14,17,3164.7657464486733,103.08067542213884,250.0,200.0,0.0,11193,0.0,6,-66.0,1,12
15,18,3284.5019590382904,103.21959038290294,68.0,68.0,68.0,11230,0.0,5,-68.5,1,13
16,19,3404.2749125482105,103.27249080635035,68.0,68.0,68.0,11149,0.0,5,-68.5,1,14
17,20,3523.7126385412944,103.35296746514122,68.0,68.0,68.0,11188,0.0,5,-68.5,1,15
18,21,3642.356283481163,103.0891367348731,250.0,200.0,0.0,11387,0.0,6,-66.0,1,16
19,86,1433.011949349028,206.73515248796147,185.0,247.0,0.0,11214,0.0,9,-52.5,2,0
20,87,1552.5824858248582,206.88263882638827,185.0,247.0,0.0,11111,0.0,9,-52.5,2,1
21,88,1672.4008457800971,206.88653949973008,185.0,247.0,0.0,11114,0.0,9,-52.5,2,2
22,89,1791.5470747074708,206.8867686768677,185.0,247.0,0.0,11110,0.0,9,-52.5,2,3
23,90,1911.0794033583422,206.80484101464808,185.0,247.0,0.0,11196,0.0,9,-52.5,2,4
24,91,2030.5206157724162,206.869553474973,227.0,248.0,0.0,11108,0.0,8,-57.5,2,5
25,92,2149.9822850496557,206.87044824192537,227.0,248.0,0.0,11177,0.0,8,-57.5,2,6
26,93,2269.4198810382118,206.80740807498196,227.0,248.0,0.0,11096,0.0,8,-57.5,2,7
27,94,2388.6036344008635,206.85867218423894,185.0,247.0,0.0,11116,0.0,9,-52.5,2,8
28,95,2508.436285097192,206.88408927285818,185.0,247.0,0.0,11112,0.0,9,-52.5,2,9
29,96,2627.6358881875562,206.9468890892696,227.0,248.0,0.0,11090,0.0,8,-57.5,2,10
30,97,2747.354389433013,206.91041423308474,249.0,228.0,0.0,11129,0.0,7,-62.5,2,11
31,98,2866.660453445649,206.67882426740746,249.0,228.0,0.0,11159,0.0,7,-62.5,2,12
32,99,2985.70493121315,206.5251027336073,249.0,228.0,0.0,11194,0.0,7,-62.5,2,13
33,100,3105.3574563367665,206.81253918495298,250.0,200.0,0.0,11165,0.0,6,-66.0,2,14
34,101,3225.9965041076734,206.30178290508653,250.0,200.0,0.0,11442,0.0,6,-66.0,2,15
35,102,3344.388784208165,207.0323912068192,68.0,68.0,68.0,11145,0.0,5,-68.5,2,16
36,103,3464.009106329792,206.99035800374966,68.0,68.0,68.0,11201,0.0,5,-68.5,2,17
37,104,3582.4498416050687,206.42581837381204,250.0,200.0,0.0,11364,0.0,6,-66.0,2,18
38,105,3702.657273215244,206.8011272141707,250.0,200.0,0.0,11178,0.0,6,-66.0,2,19
39,106,3822.409683759157,206.5279614078971,249.0,228.0,0.0,11194,0.0,7,-62.5,2,20
40,108,1373.1142627776292,310.1519043796271,185.0,247.0,0.0,11211,0.0,9,-52.5,3,0
41,109,1493.0059949892627,310.3069971367215,185.0,247.0,0.0,11176,0.0,9,-52.5,3,1
42,110,1612.4906407487401,310.30444564434845,185.0,247.0,0.0,11112,0.0,9,-52.5,3,2
43,111,1731.969762032564,310.307389515119,185.0,247.0,0.0,11178,0.0,9,-52.5,3,3
44,112,1851.4575722127238,310.3207054800684,185.0,247.0,0.0,11113,0.0,9,-52.5,3,4
45,113,1970.6524395722886,310.230928205589,185.0,247.0,0.0,11129,0.0,9,-52.5,3,5
46,114,2090.4226822682267,310.2870387038704,227.0,248.0,0.0,11110,0.0,8,-57.5,3,6
47,115,2209.5173532858557,310.2310466059677,227.0,248.0,0.0,11093,0.0,8,-57.5,3,7
48,116,2329.358312342569,310.2858042461317,185.0,247.0,0.0,11116,0.0,9,-52.5,3,8
49,117,2448.5236252362524,310.3121231212312,185.0,247.0,0.0,11111,0.0,9,-52.5,3,9
50,118,2568.0554464285715,310.25125,185.0,247.0,0.0,11200,0.0,9,-52.5,3,10
51,119,2687.4698469846985,310.3145814581458,227.0,248.0,0.0,11110,0.0,8,-57.5,3,11
52,120,2806.642040853055,310.3183658778008,249.0,228.0,0.0,11113,0.0,7,-62.5,3,12
53,121,2926.4494240460763,310.31416486681064,249.0,228.0,0.0,11112,0.0,7,-62.5,3,13
54,122,3045.592942659105,310.3174903231614,249.0,228.0,0.0,11109,0.0,7,-62.5,3,14
55,123,3165.3545054352708,310.3993351900099,250.0,200.0,0.0,11131,0.0,6,-66.0,3,15
56,124,3285.8866086956523,310.3239130434783,250.0,200.0,0.0,11500,0.0,6,-66.0,3,16
57,125,3404.094706774971,310.41738819958937,68.0,68.0,68.0,11203,0.0,5,-68.5,3,17
58,107,3523.5695103392713,309.8007340435055,250.0,200.0,0.0,11171,0.0,6,-66.0,3,18
59,126,3643.360504959423,310.4092876465284,249.0,228.0,0.0,11090,0.0,7,-62.5,3,19
60,127,3762.529931482149,310.41227912008657,249.0,228.0,0.0,11092,0.0,7,-62.5,3,20
61,128,3882.0836898395723,310.1319964349376,249.0,228.0,0.0,11220,0.0,7,-62.5,3,21
62,136,1313.4142920946852,413.79249665029033,185.0,247.0,0.0,11195,0.0,9,-52.5,4,0
63,140,1433.4393953027986,413.76801943669574,185.0,247.0,0.0,11113,0.0,9,-52.5,4,1
64,141,1552.5853504904167,413.766849635562,185.0,247.0,0.0,11113,0.0,9,-52.5,4,2
65,142,1672.3773296119564,413.7425047267489,185.0,247.0,0.0,11107,0.0,9,-52.5,4,3
66,143,1791.5528850481592,413.75839409487804,185.0,247.0,0.0,11109,0.0,9,-52.5,4,4
67,144,1911.0267513644092,413.7682741343831,185.0,247.0,0.0,11177,0.0,9,-52.5,4,5
68,145,2030.5574919151995,413.70337765001796,185.0,247.0,0.0,11132,0.0,9,-52.5,4,6
69,146,2150.257135164243,414.1768084724466,227.0,248.0,0.0,11142,0.0,8,-57.5,4,7
70,147,2269.4612685560055,413.7344129554656,185.0,247.0,0.0,11115,0.0,9,-52.5,4,8
71,148,2388.6185205183583,413.7742980561555,185.0,247.0,0.0,11112,0.0,9,-52.5,4,9
72,149,2508.442525634107,413.79042993344126,185.0,247.0,0.0,11118,0.0,9,-52.5,4,10
73,150,2627.617991707229,413.8324319451956,227.0,248.0,0.0,11094,0.0,8,-57.5,4,11
74,151,2747.377743792731,413.74802087081684,249.0,228.0,0.0,11116,0.0,7,-62.5,4,12
75,152,2866.541265412654,413.76833768337684,249.0,228.0,0.0,11111,0.0,7,-62.5,4,13
76,153,2986.021653543307,413.76539012168934,249.0,228.0,0.0,11176,0.0,7,-62.5,4,14
77,154,3105.8054145516076,414.3148098673079,249.0,228.0,0.0,11229,0.0,7,-62.5,4,15
78,155,3225.315674447067,414.3288749016522,250.0,200.0,0.0,11439,0.0,6,-66.0,4,16
79,137,3344.3912344907612,413.914487190931,68.0,68.0,68.0,11203,0.0,5,-68.5,4,17
80,138,3463.5973561986425,413.3161843515541,250.0,200.0,0.0,11196,0.0,6,-66.0,4,18
81,156,3583.470752591257,413.86318161333935,249.0,228.0,0.0,11095,0.0,7,-62.5,4,19
82,157,3702.576403887689,413.77276817854573,249.0,228.0,0.0,11112,0.0,7,-62.5,4,20
83,158,3822.385799136069,413.763588912887,249.0,228.0,0.0,11112,0.0,7,-62.5,4,21
84,139,3942.06865008881,413.7310834813499,249.0,228.0,0.0,11260,0.0,7,-62.5,4,22
85,159,418.0451154529307,516.836944937833,143.0,246.0,0.0,11260,0.0,10,-47.5,5,0
