hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3792.7245660294443,27.623709074928588,242.0,240.0,239.0,9102,88.6904729945669,6,,0,0
2,5,1492.9999112137086,103.07981887596556,185.0,247.0,0.0,11263,0.0,9,-52.5,1,0
3,6,1612.5138032699008,103.08460645046011,185.0,247.0,0.0,11193,0.0,9,-52.5,1,1
4,7,1731.9909413854352,103.09360568383659,185.0,247.0,0.0,11260,0.0,9,-52.5,1,2
5,8,1851.4674767691208,103.08720514653324,185.0,247.0,0.0,11192,0.0,9,-52.5,1,3
6,9,1970.6268203341374,103.08675064772626,185.0,247.0,0.0,11193,0.0,9,-52.5,1,4
7,10,2090.43808077198,103.07764474624732,185.0,247.0,0.0,11192,0.0,9,-52.5,1,5
8,11,2209.5973214285714,103.11482142857143,185.0,247.0,0.0,11200,0.0,9,-52.5,1,6
9,12,2329.4129793510324,103.11772593188522,227.0,248.0,0.0,11187,0.0,8,-57.5,1,7
10,13,2448.5641873770783,103.11085285177901,227.0,248.0,0.0,11186,0.0,8,-57.5,1,8
11,14,2568.0307555555555,103.10391111111112,227.0,248.0,0.0,11250,0.0,8,-57.5,1,9
12,15,2687.1284544063374,102.99918984607075,249.0,228.0,0.0,11109,0.0,7,-62.5,1,10
13,16,2806.9147636749867,103.22269428217383,68.0,68.0,68.0,11298,0.0,5,-68.5,1,11
14,17,3165.099209521272,103.07611688427036,79.0,79.0,79.0,11259,0.0,4,-72.5,1,12
15,18,3284.583221656392,103.07343875636559,79.0,79.0,79.0,11193,0.0,4,-72.5,1,13
16,19,3404.2749125482105,103.27249080635035,79.0,79.0,79.0,11149,0.0,4,-72.5,1,14
17,20,3523.6323951237005,103.2276801721047,79.0,79.0,79.0,11156,0.0,4,-72.5,1,15
18,21,3643.020339284128,103.0821564970246,79.0,79.0,79.0,11259,0.0,4,-72.5,1,16
19,86,1433.011949349028,206.73515248796147,185.0,247.0,0.0,11214,0.0,9,-52.5,2,0
20,87,1552.5824858248582,206.88263882638827,185.0,247.0,0.0,11111,0.0,9,-52.5,2,1
21,88,1672.4008457800971,206.88653949973008,185.0,247.0,0.0,11114,0.0,9,-52.5,2,2
22,89,1791.5470747074708,206.8867686768677,185.0,247.0,0.0,11110,0.0,9,-52.5,2,3
23,90,1911.0299722644718,206.88717902836183,185.0,247.0,0.0,11177,0.0,9,-52.5,2,4
24,91,2030.509089272858,206.88633909287256,185.0,247.0,0.0,11112,0.0,9,-52.5,2,5
25,92,2149.984251968504,206.8715103793844,185.0,247.0,0.0,11176,0.0,9,-52.5,2,6
26,93,2269.5289397764154,206.94626758023801,227.0,248.0,0.0,11092,0.0,8,-57.5,2,7
27,94,2388.618250539957,206.87931965442763,227.0,248.0,0.0,11112,0.0,8,-57.5,2,8
28,95,2508.4312966795646,206.88113020786466,227.0,248.0,0.0,11113,0.0,8,-57.5,2,9
29,96,2627.4896471011884,206.8429960388909,249.0,228.0,0.0,11108,0.0,7,-62.5,2,10
30,97,2747.684536447275,206.828025477707,250.0,200.0,0.0,11304,0.0,6,-66.0,2,11
31,98,2866.6676222899123,206.6652929582512,68.0,68.0,68.0,11162,0.0,5,-68.5,2,12
32,99,2986.0452850293022,206.51589415734327,68.0,68.0,68.0,11262,0.0,5,-68.5,2,13
33,100,3105.406064956038,206.72931993540283,79.0,79.0,79.0,11146,0.0,4,-72.5,2,14
34,101,3224.9731567644953,206.87553686471009,79.0,79.0,79.0,11176,0.0,4,-72.5,2,15
35,102,3344.4676084218104,206.89580709015655,79.0,79.0,79.0,11114,0.0,4,-72.5,2,16
36,103,3463.609630963096,206.87569756975697,79.0,79.0,79.0,11110,0.0,4,-72.5,2,17
37,104,3583.4258975974085,206.88167011608027,79.0,79.0,79.0,11113,0.0,4,-72.5,2,18
38,105,3703.017107725207,206.69535774748286,79.0,79.0,79.0,11223,0.0,4,-72.5,2,19
39,106,1373.1142627776292,310.1519043796271,185.0,247.0,0.0,11211,0.0,9,-52.5,3,0
40,107,1493.0059949892627,310.3069971367215,185.0,247.0,0.0,11176,0.0,9,-52.5,3,1
41,108,1612.4906407487401,310.30444564434845,185.0,247.0,0.0,11112,0.0,9,-52.5,3,2
42,109,1731.969762032564,310.307389515119,185.0,247.0,0.0,11178,0.0,9,-52.5,3,3
43,110,1851.4575722127238,310.3207054800684,185.0,247.0,0.0,11113,0.0,9,-52.5,3,4
44,111,1970.6030060300602,310.3081630816308,185.0,247.0,0.0,11111,0.0,9,-52.5,3,5
45,112,2090.4113200755874,310.3098173310537,185.0,247.0,0.0,11113,0.0,9,-52.5,3,6
46,113,2209.6244835638586,310.2608227052272,185.0,247.0,0.0,11134,0.0,9,-52.5,3,7
47,114,2329.3718167911456,310.3087375146225,227.0,248.0,0.0,11113,0.0,8,-57.5,3,8
48,115,2448.519481688113,310.3097273463511,227.0,248.0,0.0,11113,0.0,8,-57.5,3,9
49,116,2567.657695769577,310.3052205220522,227.0,248.0,0.0,11110,0.0,8,-57.5,3,10
50,117,2687.4012681968384,310.9240868089667,250.0,200.0,0.0,11197,0.0,6,-66.0,3,11
51,118,2806.5683123877916,310.20260323159783,68.0,68.0,68.0,11140,0.0,5,-68.5,3,12
52,119,2926.4494240460763,310.31416486681064,68.0,68.0,68.0,11112,0.0,5,-68.5,3,13
53,120,3045.622032374101,310.2696942446043,68.0,68.0,68.0,11120,0.0,5,-68.5,3,14
54,121,3165.407037437005,310.30642548596114,79.0,79.0,79.0,11112,0.0,4,-72.5,3,15
55,122,3284.5629049676027,310.3046256299496,79.0,79.0,79.0,11112,0.0,4,-72.5,3,16
56,123,3404.364528030235,310.3097273463511,79.0,79.0,79.0,11113,0.0,4,-72.5,3,17
57,124,3523.51567412198,310.3107877481362,68.0,68.0,68.0,11133,0.0,5,-68.5,3,18
58,125,3642.9952581193525,310.30866958933524,79.0,79.0,79.0,11177,0.0,4,-72.5,3,19
59,126,3762.5954834662602,310.11676673537056,79.0,79.0,79.0,11159,0.0,4,-72.5,3,20
60,127,3881.9907629451995,309.96553868016696,79.0,79.0,79.0,11259,0.0,4,-72.5,3,21
61,135,1313.4142920946852,413.79249665029033,185.0,247.0,0.0,11195,0.0,9,-52.5,4,0
62,137,1433.4393953027986,413.76801943669574,185.0,247.0,0.0,11113,0.0,9,-52.5,4,1
63,138,1552.5853504904167,413.766849635562,185.0,247.0,0.0,11113,0.0,9,-52.5,4,2
64,139,1672.3921533339333,413.76909925312697,185.0,247.0,0.0,11113,0.0,9,-52.5,4,3
65,140,1791.5481054810548,413.7673476734767,185.0,247.0,0.0,11111,0.0,9,-52.5,4,4
66,141,1911.0267513644092,413.7682741343831,185.0,247.0,0.0,11177,0.0,9,-52.5,4,5
67,142,2030.5094475436385,413.78126687061365,185.0,247.0,0.0,11114,0.0,9,-52.5,4,6
68,143,2149.9950787401576,413.761542591267,185.0,247.0,0.0,11176,0.0,9,-52.5,4,7
69,144,2269.526144969347,413.83285250631087,227.0,248.0,0.0,11092,0.0,8,-57.5,4,8
70,145,2388.6185205183583,413.7742980561555,227.0,248.0,0.0,11112,0.0,8,-57.5,4,9
71,146,2508.4254859611233,413.75503959683226,227.0,248.0,0.0,11112,0.0,8,-57.5,4,10
72,147,2628.517207992254,414.3145849837162,249.0,228.0,0.0,11361,0.0,7,-62.5,4,11
73,148,2746.9970548862116,413.67157518964746,68.0,68.0,68.0,11205,0.0,5,-68.5,4,12
74,149,2866.518794964029,413.80809352517986,68.0,68.0,68.0,11120,0.0,5,-68.5,4,13
75,150,2986.026751364409,413.7682741343831,68.0,68.0,68.0,11177,0.0,5,-68.5,4,14
76,151,3105.529173784051,413.732176571069,68.0,68.0,68.0,11123,0.0,5,-68.5,4,15
77,152,3224.985416480272,413.7600429453342,79.0,79.0,79.0,11177,0.0,4,-72.5,4,16
78,153,3344.464362850972,413.7751079913607,79.0,79.0,79.0,11112,0.0,4,-72.5,4,17
79,154,3463.610566105661,413.7678876788768,79.0,79.0,79.0,11111,0.0,4,-72.5,4,18
80,155,3583.427067398542,413.7766579681454,79.0,79.0,79.0,11113,0.0,4,-72.5,4,19
81,156,3702.576403887689,413.77276817854573,79.0,79.0,79.0,11112,0.0,4,-72.5,4,20
82,157,3822.385799136069,413.763588912887,79.0,79.0,79.0,11112,0.0,4,-72.5,4,21
83,136,3942.073370047966,413.7166459406644,79.0,79.0,79.0,11258,0.0,4,-72.5,4,22
84,158,418.0451154529307,516.836944937833,102.0,245.0,0.0,11260,0.0,11,-42.5,5,0
