hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,17,177.73806731029504,102.40774158621312,61.0,244.0,0.0,11083,0.0,12,-37.5,0,0
2,18,296.4773673728046,102.60628281730943,61.0,244.0,0.0,11046,0.0,12,-37.5,0,1
3,19,415.44955044955043,102.7663245845064,61.0,244.0,0.0,11011,0.0,12,-37.5,0,2
4,20,534.0133369873024,102.76477573764501,61.0,244.0,0.0,10947,0.0,12,-37.5,0,3
5,21,652.9019822782498,102.75966018087148,61.0,244.0,0.0,10947,0.0,12,-37.5,0,4
6,22,771.4646684831971,102.77284287011807,61.0,244.0,0.0,11010,0.0,12,-37.5,0,5
7,23,890.0242075454462,102.7757376450169,61.0,244.0,0.0,10947,0.0,12,-37.5,0,6
8,24,1008.9137742053343,102.76342710997443,61.0,244.0,0.0,10948,0.0,12,-37.5,0,7
9,25,1127.4726661823465,102.76126044315292,61.0,244.0,0.0,11012,0.0,12,-37.5,0,8
10,26,1246.032340581034,102.76977891467203,61.0,244.0,0.0,10946,0.0,12,-37.5,0,9
11,27,1365.0139331572716,102.59284218195064,61.0,244.0,0.0,10981,0.0,12,-37.5,0,10
12,28,1483.4968860005415,102.46944670096579,20.0,243.0,0.0,11079,0.0,13,-32.5,0,11
13,29,1602.059362802941,102.4694562948171,20.0,243.0,0.0,11017,0.0,13,-32.5,0,12
14,30,1720.9512615719732,102.47177346160828,20.0,243.0,0.0,11018,0.0,13,-32.5,0,13
15,31,1839.4151575516116,102.63944223107569,20.0,243.0,0.0,11044,0.0,13,-32.5,0,14
16,32,1958.0496894409937,102.77192181220315,20.0,243.0,0.0,10948,0.0,13,-32.5,0,15
17,33,2076.951128162967,102.7672421668037,20.0,243.0,0.0,10947,0.0,13,-32.5,0,16
18,34,2195.501452960407,102.75953505266982,20.0,243.0,0.0,11012,0.0,13,-32.5,0,17
19,35,2314.507145441389,102.57489146164978,20.0,243.0,0.0,11056,0.0,13,-32.5,0,18
20,42,118.42442596275538,205.47260893147714,61.0,244.0,0.0,11062,0.0,12,-37.5,1,0
21,43,237.4507310870947,205.54872400326946,61.0,244.0,0.0,11011,0.0,12,-37.5,1,1
22,44,356.0115110542664,205.55106888361044,61.0,244.0,0.0,10946,0.0,12,-37.5,1,2
23,45,474.56583726843445,205.5518525245187,61.0,244.0,0.0,11012,0.0,12,-37.5,1,3
24,46,593.4587230950867,205.538098265371,61.0,244.0,0.0,11011,0.0,12,-37.5,1,4
25,47,712.0221044939715,205.5536170990135,61.0,244.0,0.0,10948,0.0,12,-37.5,1,5
26,48,830.9061101470454,205.55731116996986,61.0,244.0,0.0,10949,0.0,12,-37.5,1,6
27,49,949.4713468349833,205.548088275361,61.0,244.0,0.0,11011,0.0,12,-37.5,1,7
