hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,90.91204540653565,7,,0,0
2,14,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,90.91204540653565,7,,0,1
3,17,1213.1036425374286,110.32126871430776,68.0,68.0,68.0,12958,0.0,5,-68.5,0,2
4,18,1339.921058705855,110.21905055012695,250.0,200.0,0.0,12997,0.0,6,-66.0,0,3
5,20,1468.5073072139303,110.2548973880597,250.0,200.0,0.0,12864,0.0,6,-66.0,0,4
6,21,1596.3816894835097,110.22876477909148,249.0,228.0,0.0,12856,0.0,7,-62.5,0,5
7,23,1723.5621747572816,110.30477669902912,250.0,200.0,0.0,12875,0.0,6,-66.0,0,6
8,24,1851.5050544323483,110.2113530326594,250.0,200.0,0.0,12860,0.0,6,-66.0,0,7
9,25,1978.74235705951,110.23321664721898,250.0,200.0,0.0,12855,0.0,6,-66.0,0,8
10,28,2106.8868753855645,110.35387106724244,68.0,68.0,68.0,12968,0.0,5,-68.5,0,9
11,30,2234.520758824444,110.20307883688385,68.0,68.0,68.0,12862,0.0,5,-68.5,0,10
12,31,2362.0990489445603,110.20784040825795,68.0,68.0,68.0,12933,0.0,5,-68.5,0,11
13,32,2489.988556406093,110.20985076934973,68.0,68.0,68.0,12933,0.0,5,-68.5,0,12
14,34,2617.555089028847,110.20488297955058,68.0,68.0,68.0,12861,0.0,5,-68.5,0,13
15,35,2745.4555063340326,110.21582342426362,68.0,68.0,68.0,12867,0.0,5,-68.5,0,14
16,36,3000.3504843084074,110.17086400619915,107.0,107.0,107.0,12905,0.0,2,-82.5,0,15
17,40,3128.465282637431,110.20744887644818,107.0,107.0,107.0,12861,0.0,2,-82.5,0,16
18,42,3256.0292343387473,110.21484918793503,107.0,107.0,107.0,12930,0.0,2,-82.5,0,17
19,44,3383.5886149778366,110.21541332918578,107.0,107.0,107.0,12859,0.0,2,-82.5,0,18
20,45,3511.487209392738,110.20760438535106,107.0,107.0,107.0,12861,0.0,2,-82.5,0,19
21,47,3639.0532910511256,110.21687678861474,107.0,107.0,107.0,12929,0.0,2,-82.5,0,20
