hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,415.4703707044286,102.43663750338234,0,107,17,11087,0.0,11,980.0,0,0
2,7,534.0400108873163,102.43494828524769,0,107,17,11022,0.0,11,980.0,0,1
3,8,652.814646142636,102.62000182165953,0,107,17,10979,0.0,11,980.0,0,2
4,9,771.4646684831971,102.77284287011807,0,107,17,11010,0.0,11,980.0,0,3
5,10,890.0242075454462,102.7757376450169,0,107,17,10947,0.0,11,980.0,0,4
6,11,1009.0216599927194,102.58918820531488,0,107,17,10988,0.0,11,980.0,0,5
7,12,1127.4993234100136,102.44366260712675,0,107,17,11085,0.0,11,980.0,0,6
8,16,1246.0608537693006,102.49019073569482,0,107,17,11010,0.0,11,980.0,0,7
9,17,1364.951642170205,102.43531119579023,0,107,17,11022,0.0,11,980.0,0,8
10,18,1483.5009922424679,102.43875157856756,0,107,17,11086,0.0,11,980.0,0,9
11,19,1957.7497520064928,102.4236630895482,0,107,17,11089,0.0,11,980.0,0,10
12,20,2076.9714233874624,102.43200580604191,0,107,17,11023,0.0,11,980.0,0,11
13,21,2195.551073813391,102.46498826926548,0,107,17,11082,0.0,11,980.0,0,12
14,44,355.58359735674844,205.3889743821852,0,107,17,11047,0.0,11,980.0,1,0
15,45,474.56583726843445,205.5518525245187,0,107,17,11012,0.0,11,980.0,1,1
16,46,593.4587230950867,205.538098265371,0,107,17,11011,0.0,11,980.0,1,2
17,47,712.0221044939715,205.5536170990135,0,107,17,10948,0.0,11,980.0,1,3
18,48,830.9061101470454,205.55731116996986,0,107,17,10949,0.0,11,980.0,1,4
19,49,949.4713468349833,205.548088275361,0,107,17,11011,0.0,11,980.0,1,5
20,50,1068.0293204238217,205.55316039459262,0,107,17,10948,0.0,11,980.0,1,6
21,51,1186.9157683171934,205.55234788964006,0,107,17,10946,0.0,11,980.0,1,7
22,52,1305.4831970935513,205.55177111716623,0,107,17,11010,0.0,11,980.0,1,8
23,53,1424.0373584216295,205.54229082937522,0,107,17,10948,0.0,11,980.0,1,9
24,54,1543.0423944687045,205.3616266375546,0,107,17,10992,0.0,11,980.0,1,10
25,41,1661.5070739839596,205.1790574029017,0,107,17,11097,0.0,11,980.0,1,11
26,42,1780.0775994923397,205.18384552624423,0,107,17,11031,0.0,11,980.0,1,12
27,55,1898.8431211872894,205.3986160429755,0,107,17,10983,0.0,11,980.0,1,13
28,56,2017.5002270869288,205.54746116813516,0,107,17,11009,0.0,11,980.0,1,14
29,57,2136.0621174751072,205.55613410066684,0,107,17,10947,0.0,11,980.0,1,15
30,58,2255.062221413627,205.346948057855,0,107,17,10993,0.0,11,980.0,1,16
31,43,2373.5269941415054,205.18026137899955,0,107,17,11095,0.0,11,980.0,1,17
32,59,296.4653814824871,308.1713277219658,0,107,17,11049,0.0,11,980.0,2,0
33,60,415.4557260920897,308.3481064390155,0,107,17,11011,0.0,11,980.0,2,1
34,61,534.0137023842149,308.33041015803417,0,107,17,10947,0.0,11,980.0,2,2
35,62,652.9047227550927,308.3368959532292,0,107,17,10947,0.0,11,980.0,2,3
36,63,771.4630403196513,308.34262622593536,0,107,17,11012,0.0,11,980.0,2,4
37,64,890.0273109243698,308.3331202046036,0,107,17,10948,0.0,11,980.0,2,5
38,65,1008.9128528363935,308.3297707134375,0,107,17,10947,0.0,11,980.0,2,6
39,66,1127.4716672720667,308.3431710860879,0,107,17,11012,0.0,11,980.0,2,7
40,67,1246.0345300082215,308.3396364300722,0,107,17,10947,0.0,11,980.0,2,8
41,68,1364.923076923077,308.33446007674036,0,107,17,10946,0.0,11,980.0,2,9
42,69,1483.4836541954232,308.3419905557574,0,107,17,11012,0.0,11,980.0,2,10
43,70,1602.04174278407,308.33421629521376,0,107,17,10948,0.0,11,980.0,2,11
44,71,1720.9318534758381,308.3281264273317,0,107,17,10947,0.0,11,980.0,2,12
45,72,1839.491736287686,308.33490737377406,0,107,17,11012,0.0,11,980.0,2,13
46,73,1958.0504201680671,308.33458165875044,0,107,17,10948,0.0,11,980.0,2,14
47,74,2076.9440840566467,308.33787117405205,0,107,17,10945,0.0,11,980.0,2,15
48,75,2195.5020434111343,308.33947870311505,0,107,17,11011,0.0,11,980.0,2,16
49,76,2314.062477164779,308.3335769090245,0,107,17,10948,0.0,11,980.0,2,17
50,77,2433.3972317713046,308.1414872444364,0,107,17,11054,0.0,11,980.0,2,18
51,79,237.34802679217958,410.9478638667632,0,107,17,11048,0.0,11,980.0,3,0
52,80,356.0076712328767,411.1116894977169,0,107,17,10950,0.0,11,980.0,3,1
53,87,474.5750090810025,411.1260443152924,0,107,17,11012,0.0,11,980.0,3,2
54,88,593.453719683895,411.11345262966665,0,107,17,11009,0.0,11,980.0,3,3
55,81,712.0151584330198,411.1061090311387,0,107,17,10951,0.0,11,980.0,3,4
56,89,830.9143144240431,411.11765780579157,0,107,17,10947,0.0,11,980.0,3,5
57,90,949.4623069936422,411.1089918256131,0,107,17,11010,0.0,11,980.0,3,6
58,82,1068.0260273972603,411.1104109589041,0,107,17,10950,0.0,11,980.0,3,7
59,91,1186.9220862257946,411.124497625137,0,107,17,10948,0.0,11,980.0,3,8
60,92,1305.4696157689164,411.1155418294123,0,107,17,11009,0.0,11,980.0,3,9
61,83,1424.0378116722989,411.10658507626266,0,107,17,10949,0.0,11,980.0,3,10
62,93,1542.9304895871392,411.1137194008038,0,107,17,10948,0.0,11,980.0,3,11
63,94,1661.4831501498775,411.11236261240805,0,107,17,11009,0.0,11,980.0,3,12
64,84,1780.0463055986847,411.09608183395744,0,107,17,10949,0.0,11,980.0,3,13
65,95,1898.9404457435148,411.1232188527585,0,107,17,10948,0.0,11,980.0,3,14
66,96,2017.4958670178944,411.1219910981924,0,107,17,11009,0.0,11,980.0,3,15
67,85,2136.053799780782,411.10275849470224,0,107,17,10948,0.0,11,980.0,3,16
68,97,2254.947204968944,411.1225794665692,0,107,17,10948,0.0,11,980.0,3,17
69,98,2373.504223816877,411.1114542646925,0,107,17,11009,0.0,11,980.0,3,18
70,86,2492.6098440457945,411.06355359235556,0,107,17,11093,0.0,11,980.0,3,19
71,99,177.46403461330448,513.9228411754101,0,107,17,11094,0.0,11,980.0,4,0
72,100,296.5725183907002,513.8773953319408,0,107,17,11011,0.0,11,980.0,4,1
73,101,415.45296040682894,513.877224845623,0,107,17,11012,0.0,11,980.0,4,2
74,102,534.0168082579702,513.864437745501,0,107,17,10947,0.0,11,980.0,4,3
75,103,652.9081110705151,513.8706613080014,0,107,17,10948,0.0,11,980.0,4,4
