hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.19893992436502,5,,0,0
2,9,1213.0317116559672,110.21084383943074,0.0,107.0,17.0,12929,0.0,11,980.0,0,1
3,10,1340.5815580780593,110.19522624786192,0.0,107.0,17.0,12862,0.0,11,980.0,0,2
4,11,1468.4948301329393,110.2064837129752,0.0,107.0,17.0,12863,0.0,11,980.0,0,3
5,12,1596.055998143708,110.21780493464306,0.0,107.0,17.0,12929,0.0,11,980.0,0,4
6,14,1723.603965785381,110.20101088646967,0.0,107.0,17.0,12860,0.0,11,980.0,0,5
7,15,1851.506414742244,110.20667133193375,0.0,107.0,17.0,12861,0.0,11,980.0,0,6
8,16,1979.0745610642741,110.21656740660531,0.0,107.0,17.0,12929,0.0,11,980.0,0,7
9,19,2106.9579240467165,110.20976100239771,0.0,107.0,17.0,12929,0.0,11,980.0,0,8
10,21,2234.520758824444,110.20307883688385,0.0,107.0,17.0,12862,0.0,11,980.0,0,9
11,22,2362.0934962493234,110.21552857474286,0.0,107.0,17.0,12931,0.0,11,980.0,0,10
12,23,2489.97965970611,110.21562258313999,0.0,107.0,17.0,12930,0.0,11,980.0,0,11
13,25,2617.54533437014,110.20800933125972,0.0,107.0,17.0,12860,0.0,11,980.0,0,12
14,26,2745.440177252585,110.20671694006064,0.0,107.0,17.0,12863,0.0,11,980.0,0,13
15,27,2873.008120649652,110.21461716937355,0.0,107.0,17.0,12930,0.0,11,980.0,0,14
16,28,3000.5651632970453,110.20435458786936,0.0,107.0,17.0,12860,0.0,11,980.0,0,15
17,32,3128.4643134815738,110.20253459804074,0.0,107.0,7.0,12862,0.0,11,932.8342,0,16
18,34,3256.0292343387473,110.21484918793503,0.0,107.0,7.0,12930,0.0,11,932.8342,0,17
19,36,3383.57891463225,110.20463380500699,0.0,107.0,7.0,12862,0.0,11,932.8342,0,18
20,37,3511.487209392738,110.20760438535106,0.0,107.0,7.0,12861,0.0,11,932.8342,0,19
21,39,3639.0522041763343,110.21206496519721,0.0,107.0,7.0,12930,0.0,11,932.8342,0,20
22,41,3766.937504834094,110.21587129708408,0.0,107.0,7.0,12929,0.0,11,932.8342,0,21
23,49,255.1548456957228,220.79805089334056,0.0,107.0,17.0,12929,0.0,11,980.0,1,0
24,50,383.04415745108656,220.79699945866523,0.0,107.0,17.0,12931,0.0,11,980.0,1,1
25,51,510.604152087707,220.80125962211338,0.0,107.0,17.0,12861,0.0,11,980.0,1,2
26,52,638.498328279294,220.79216235129462,0.0,107.0,17.0,12861,0.0,11,980.0,1,3
27,53,766.0676051980198,220.81149443069307,0.0,107.0,17.0,12928,0.0,11,980.0,1,4
28,54,1148.9558298400868,220.99487657196087,0.0,107.0,17.0,12882,0.0,11,980.0,1,5
29,55,1276.957097251421,221.1522230008565,0.0,107.0,17.0,12843,0.0,11,980.0,1,6
30,56,1404.5196554424433,221.17376664056383,0.0,107.0,17.0,12770,0.0,11,980.0,1,7
31,57,1532.4033041027246,221.15729721265268,0.0,107.0,17.0,12772,0.0,11,980.0,1,8
32,58,1659.9725878046881,221.1531033408613,0.0,107.0,17.0,12841,0.0,11,980.0,1,9
33,59,1787.537509788567,221.17470634299139,0.0,107.0,17.0,12770,0.0,11,980.0,1,10
34,60,1915.4343979959292,221.15570690465006,0.0,107.0,17.0,12774,0.0,11,980.0,1,11
35,61,2042.9949380889338,221.16229265633518,0.0,107.0,17.0,12841,0.0,11,980.0,1,12
36,62,2170.5609240407202,221.17415818324199,0.0,107.0,17.0,12770,0.0,11,980.0,1,13
37,63,2298.4526736083926,221.15141313708605,0.0,107.0,17.0,12773,0.0,11,980.0,1,14
38,64,2426.0161968540724,221.15044385609718,0.0,107.0,17.0,12842,0.0,11,980.0,1,15
39,65,2553.5757575757575,221.15879727507635,0.0,107.0,17.0,12771,0.0,11,980.0,1,16
40,66,2681.470404008769,221.16324772940808,0.0,107.0,17.0,12772,0.0,11,980.0,1,17
41,67,2809.0332528619265,221.1463281675882,0.0,107.0,17.0,12841,0.0,11,980.0,1,18
42,68,2936.928198738416,221.16166965189626,0.0,107.0,17.0,12841,0.0,11,980.0,1,19
43,69,3064.48946997573,221.16566194316135,0.0,107.0,17.0,12773,0.0,11,980.0,1,20
44,70,3192.0510084884354,221.14726267424655,0.0,107.0,7.0,12841,0.0,11,932.8342,1,21
45,71,3319.9498520479674,221.1495872916991,0.0,107.0,7.0,12842,0.0,11,932.8342,1,22
46,72,3447.5086922474547,221.1744714173845,0.0,107.0,7.0,12770,0.0,11,932.8342,1,23
47,73,3575.402051362355,221.1569057312872,0.0,107.0,7.0,12772,0.0,11,932.8342,1,24
48,74,3702.9665135114087,221.1457051631493,0.0,107.0,7.0,12841,0.0,11,932.8342,1,25
49,75,3830.982547316165,220.9692832764505,0.0,107.0,7.0,12892,0.0,11,932.8342,1,26
50,84,191.0833268618467,331.58398695348296,0.0,107.0,17.0,12877,0.0,11,980.0,2,0
51,85,319.07399906527496,331.73438230253936,0.0,107.0,17.0,12838,0.0,11,980.0,2,1
52,86,446.9628562529201,331.73695686030214,0.0,107.0,17.0,12842,0.0,11,980.0,2,2
53,87,574.5327695560254,331.7317359642941,0.0,107.0,17.0,12771,0.0,11,980.0,2,3
54,88,702.4286273588599,331.7326755931407,0.0,107.0,17.0,12771,0.0,11,980.0,2,4
55,89,830.1025442134658,331.55212534905365,0.0,107.0,17.0,12892,0.0,11,980.0,2,5
56,113,957.3523790694609,323.9986819559773,249.0,248.0,247.0,15174,113.19893992436502,5,,2,6
57,90,1085.0182467582888,331.577374019722,0.0,107.0,17.0,12879,0.0,11,980.0,2,7
58,91,1213.0117592087843,331.74744957557823,0.0,107.0,17.0,12841,0.0,11,980.0,2,8
59,92,1340.565925461948,331.74044785468215,0.0,107.0,17.0,12772,0.0,11,980.0,2,9
60,93,1468.466092404072,331.7363351605325,0.0,107.0,17.0,12770,0.0,11,980.0,2,10
