hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,6,415.4703707044286,102.43663750338234,0,107,16,11087,0.0,11,570.3877,0,0
2,7,533.928493350337,102.62998724722172,0,107,16,10978,0.0,11,570.3877,0,1
3,8,652.9019822782498,102.75966018087148,0,107,16,10947,0.0,11,570.3877,0,2
4,9,771.4646684831971,102.77284287011807,0,107,16,11010,0.0,11,570.3877,0,3
5,10,890.1356934838005,102.59719694211867,0,107,16,10988,0.0,11,570.3877,0,4
6,11,1008.9335087082728,102.42761248185776,0,107,16,11024,0.0,11,570.3877,0,5
7,12,1127.4993234100136,102.44366260712675,0,107,16,11085,0.0,11,570.3877,0,6
8,16,1246.0608537693006,102.49019073569482,0,107,16,11010,0.0,11,570.3877,0,7
9,17,1364.951642170205,102.43531119579023,0,107,16,11022,0.0,11,570.3877,0,8
10,18,1483.5009922424679,102.43875157856756,0,107,16,11086,0.0,11,570.3877,0,9
11,19,1957.7497520064928,102.4236630895482,0,107,16,11089,0.0,11,570.3877,0,10
12,20,2076.9714233874624,102.43200580604191,0,107,16,11023,0.0,11,570.3877,0,11
13,21,2195.545979604729,102.46205216135728,0,107,16,11081,0.0,11,570.3877,0,12
14,22,2314.41622352411,102.40297431275349,0,107,16,11095,0.0,11,570.3877,0,13
15,41,237.4763406940063,205.17773771969357,0,107,16,11095,0.0,11,570.3877,1,0
16,44,355.9133205863607,205.38832741509606,0,107,16,10983,0.0,11,570.3877,1,1
17,45,474.56583726843445,205.5518525245187,0,107,16,11012,0.0,11,570.3877,1,2
18,46,593.4587230950867,205.538098265371,0,107,16,11011,0.0,11,570.3877,1,3
19,47,712.0221044939715,205.5536170990135,0,107,16,10948,0.0,11,570.3877,1,4
20,48,830.9061101470454,205.55731116996986,0,107,16,10949,0.0,11,570.3877,1,5
21,49,949.4713468349833,205.548088275361,0,107,16,11011,0.0,11,570.3877,1,6
22,50,1068.0293204238217,205.55316039459262,0,107,16,10948,0.0,11,570.3877,1,7
23,51,1186.9157683171934,205.55234788964006,0,107,16,10946,0.0,11,570.3877,1,8
24,52,1305.4831970935513,205.55177111716623,0,107,16,11010,0.0,11,570.3877,1,9
25,53,1424.0373584216295,205.54229082937522,0,107,16,10948,0.0,11,570.3877,1,10
26,54,1543.0423944687045,205.3616266375546,0,107,16,10992,0.0,11,570.3877,1,11
27,42,1661.5070739839596,205.1790574029017,0,107,16,11097,0.0,11,570.3877,1,12
28,43,1780.0775994923397,205.18384552624423,0,107,16,11031,0.0,11,570.3877,1,13
29,55,1898.8431211872894,205.3986160429755,0,107,16,10983,0.0,11,570.3877,1,14
30,56,2017.5002270869288,205.54746116813516,0,107,16,11009,0.0,11,570.3877,1,15
31,57,2136.0621174751072,205.55613410066684,0,107,16,10947,0.0,11,570.3877,1,16
32,58,2254.9412678114722,205.54338691998538,0,107,16,10948,0.0,11,570.3877,1,17
33,59,2373.625870646766,205.35730438715512,0,107,16,11055,0.0,11,570.3877,1,18
34,60,177.58649407078846,308.1587761383181,0,107,16,11047,0.0,11,570.3877,2,0
35,61,296.56198347107437,308.33920624829716,0,107,16,11011,0.0,11,570.3877,2,1
36,62,415.4557260920897,308.3481064390155,0,107,16,11011,0.0,11,570.3877,2,2
37,63,534.0137023842149,308.33041015803417,0,107,16,10947,0.0,11,570.3877,2,3
38,64,652.9047227550927,308.3368959532292,0,107,16,10947,0.0,11,570.3877,2,4
39,65,771.4630403196513,308.34262622593536,0,107,16,11012,0.0,11,570.3877,2,5
40,66,890.0273109243698,308.3331202046036,0,107,16,10948,0.0,11,570.3877,2,6
41,67,1008.9128528363935,308.3297707134375,0,107,16,10947,0.0,11,570.3877,2,7
42,68,1127.4716672720667,308.3431710860879,0,107,16,11012,0.0,11,570.3877,2,8
43,69,1246.0345300082215,308.3396364300722,0,107,16,10947,0.0,11,570.3877,2,9
44,70,1364.923076923077,308.33446007674036,0,107,16,10946,0.0,11,570.3877,2,10
45,71,1483.4836541954232,308.3419905557574,0,107,16,11012,0.0,11,570.3877,2,11
46,72,1602.04174278407,308.33421629521376,0,107,16,10948,0.0,11,570.3877,2,12
47,73,1720.9318534758381,308.3281264273317,0,107,16,10947,0.0,11,570.3877,2,13
48,74,1839.491736287686,308.33490737377406,0,107,16,11012,0.0,11,570.3877,2,14
49,75,1958.0504201680671,308.33458165875044,0,107,16,10948,0.0,11,570.3877,2,15
50,76,2076.9440840566467,308.33787117405205,0,107,16,10945,0.0,11,570.3877,2,16
51,77,2195.5020434111343,308.33947870311505,0,107,16,11011,0.0,11,570.3877,2,17
52,78,2314.062477164779,308.3335769090245,0,107,16,10948,0.0,11,570.3877,2,18
53,79,2433.3972317713046,308.1414872444364,0,107,16,11054,0.0,11,570.3877,2,19
54,81,118.35679524152847,411.1480713770728,0,107,16,11096,0.0,11,570.3877,3,0
55,89,237.44214350590372,411.11752951861945,0,107,16,11010,0.0,11,570.3877,3,1
56,82,356.0076712328767,411.1116894977169,0,107,16,10950,0.0,11,570.3877,3,2
57,90,474.5750090810025,411.1260443152924,0,107,16,11012,0.0,11,570.3877,3,3
58,91,593.453719683895,411.11345262966665,0,107,16,11009,0.0,11,570.3877,3,4
59,83,712.0151584330198,411.1061090311387,0,107,16,10951,0.0,11,570.3877,3,5
60,92,830.9143144240431,411.11765780579157,0,107,16,10947,0.0,11,570.3877,3,6
61,93,949.4623069936422,411.1089918256131,0,107,16,11010,0.0,11,570.3877,3,7
62,84,1068.0260273972603,411.1104109589041,0,107,16,10950,0.0,11,570.3877,3,8
63,94,1186.9220862257946,411.124497625137,0,107,16,10948,0.0,11,570.3877,3,9
64,95,1305.4696157689164,411.1155418294123,0,107,16,11009,0.0,11,570.3877,3,10
65,85,1424.0378116722989,411.10658507626266,0,107,16,10949,0.0,11,570.3877,3,11
66,96,1542.9304895871392,411.1137194008038,0,107,16,10948,0.0,11,570.3877,3,12
67,97,1661.4831501498775,411.11236261240805,0,107,16,11009,0.0,11,570.3877,3,13
68,86,1780.0463055986847,411.09608183395744,0,107,16,10949,0.0,11,570.3877,3,14
69,98,1898.9404457435148,411.1232188527585,0,107,16,10948,0.0,11,570.3877,3,15
70,99,2017.4958670178944,411.1219910981924,0,107,16,11009,0.0,11,570.3877,3,16
71,87,2136.053799780782,411.10275849470224,0,107,16,10948,0.0,11,570.3877,3,17
72,100,2254.947204968944,411.1225794665692,0,107,16,10948,0.0,11,570.3877,3,18
73,101,2373.504223816877,411.1114542646925,0,107,16,11009,0.0,11,570.3877,3,19
74,88,2492.6098440457945,411.06355359235556,0,107,16,11093,0.0,11,570.3877,3,20
75,102,177.67293369663943,513.8660308810173,0,107,16,11010,0.0,11,570.3877,4,0
76,103,296.5725183907002,513.8773953319408,0,107,16,11011,0.0,11,570.3877,4,1
77,104,415.45296040682894,513.877224845623,0,107,16,11012,0.0,11,570.3877,4,2
78,105,534.0168082579702,513.864437745501,0,107,16,10947,0.0,11,570.3877,4,3
79,106,652.9081110705151,513.8706613080014,0,107,16,10948,0.0,11,570.3877,4,4
80,107,771.4664850136239,513.8682107175296,0,107,16,11010,0.0,11,570.3877,4,5
81,108,890.023933497762,513.8649858408696,0,107,16,10947,0.0,11,570.3877,4,6
82,109,1008.9141160347191,513.8722704431248,0,107,16,10945,0.0,11,570.3877,4,7
83,110,1127.4769775678867,513.8726727817636,0,107,16,11011,0.0,11,570.3877,4,8
84,111,1246.0366243492556,513.8747830852133,0,107,16,10949,0.0,11,570.3877,4,9
85,112,1364.926457153298,513.8686278092454,0,107,16,10946,0.0,11,570.3877,4,10
86,113,1483.4769775678867,513.8726727817636,0,107,16,11011,0.0,11,570.3877,4,11
87,114,1602.045213737669,513.8685604676654,0,107,16,10948,0.0,11,570.3877,4,12
88,115,1720.9335038363172,513.8808914870295,0,107,16,10948,0.0,11,570.3877,4,13
89,116,1839.488236897084,513.8712871287129,0,107,16,11009,0.0,11,570.3877,4,14
90,117,1958.0556215179467,513.8731390994611,0,107,16,10949,0.0,11,570.3877,4,15
91,118,2076.940999178007,513.8875696410631,0,107,16,10949,0.0,11,570.3877,4,16
92,119,2195.505495503679,513.870651285312,0,107,16,11009,0.0,11,570.3877,4,17
93,120,2314.0556215179467,513.8731390994611,0,107,16,10949,0.0,11,570.3877,4,18
94,121,2433.2861164078818,513.8821392899301,0,107,16,11013,0.0,11,570.3877,4,19
95,123,118.34562336608673,616.707022446588,0,107,16,11093,0.0,11,570.3877,5,0
96,124,237.45086285195276,616.6463215258856,0,107,16,11010,0.0,11,570.3877,5,1
97,125,356.01443317803967,616.655065314698,0,107,16,10947,0.0,11,570.3877,5,2
98,126,474.5735561205957,616.6483835815474,0,107,16,11012,0.0,11,570.3877,5,3
99,127,593.4581289736603,616.6465031789282,0,107,16,11010,0.0,11,570.3877,5,4
100,128,712.0187283025763,616.6585053900968,0,107,16,10946,0.0,11,570.3877,5,5
101,129,830.9113993423456,616.6497990500548,0,107,16,10948,0.0,11,570.3877,5,6
102,130,949.4674781976744,616.6483466569767,0,107,16,11008,0.0,11,570.3877,5,7
103,131,1068.029782568975,616.6572263840673,0,107,16,10946,0.0,11,570.3877,5,8
104,132,1186.9185239313117,616.6503470953598,0,107,16,10948,0.0,11,570.3877,5,9
