hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3790.929608206919,27.50529302630143,242.0,240.0,239.0,9163,107.65686229869418,5,,0,0
2,5,1493.0317079669599,103.06812327915445,0.0,107.0,16.0,11259,0.0,11,570.3877,1,0
3,6,1612.5178204555605,103.07521214828049,0.0,107.0,16.0,11195,0.0,11,570.3877,1,1
4,7,1731.9942288910593,103.08008523483974,0.0,107.0,16.0,11263,0.0,11,570.3877,1,2
5,8,1851.4692273336311,103.07574810183118,0.0,107.0,16.0,11195,0.0,11,570.3877,1,3
6,9,1970.6324251898168,103.07824921840107,0.0,107.0,16.0,11195,0.0,11,570.3877,1,4
7,10,2090.4370588760835,103.07236665773252,0.0,107.0,16.0,11193,0.0,11,570.3877,1,5
8,11,2209.583117463153,103.07351496203663,0.0,107.0,16.0,11195,0.0,11,570.3877,1,6
9,12,2329.3998570662857,103.07932821154189,0.0,107.0,16.0,11194,0.0,11,570.3877,1,7
10,13,2448.5502054672147,103.0764695372521,0.0,107.0,16.0,11194,0.0,11,570.3877,1,8
11,14,2568.0257594599398,103.06573103570794,0.0,107.0,16.0,11258,0.0,11,570.3877,1,9
12,15,2687.528125,103.09491071428572,0.0,107.0,16.0,11200,0.0,11,570.3877,1,10
13,16,2806.991915199425,103.08758533956163,179.0,118.0,0.0,11132,0.0,3,175.2674,1,11
14,17,2926.470919324578,103.07477887965693,179.0,118.0,0.0,11193,0.0,3,175.2674,1,12
15,18,3045.626429592566,103.06915654038599,179.0,118.0,0.0,11192,0.0,3,175.2674,1,13
16,19,3165.430766482044,103.07655887082366,183.0,114.0,0.0,11194,0.0,3,164.50534,1,14
17,20,3284.4646093119227,103.27415448102629,183.0,114.0,0.0,11147,0.0,3,164.50534,1,15
18,21,3404.485839756229,103.23382326581824,183.0,114.0,0.0,11158,0.0,3,164.50534,1,16
19,22,3523.5439113731795,103.0742428303404,183.0,114.0,0.0,11193,0.0,3,164.50534,1,17
20,23,3643.020339284128,103.0821564970246,179.0,118.0,0.0,11259,0.0,3,175.2674,1,18
21,83,1433.011949349028,206.73515248796147,0.0,107.0,16.0,11214,0.0,11,570.3877,2,0
22,84,1552.5824858248582,206.88263882638827,0.0,107.0,16.0,11111,0.0,11,570.3877,2,1
23,85,1672.4008457800971,206.88653949973008,0.0,107.0,16.0,11114,0.0,11,570.3877,2,2
24,86,1791.5470747074708,206.8867686768677,0.0,107.0,16.0,11110,0.0,11,570.3877,2,3
25,87,1911.0248747315677,206.88430565497495,0.0,107.0,16.0,11176,0.0,11,570.3877,2,4
26,88,2030.509089272858,206.88633909287256,0.0,107.0,16.0,11112,0.0,11,570.3877,2,5
27,89,2149.979149888143,206.86863534675615,0.0,107.0,16.0,11175,0.0,11,570.3877,2,6
28,90,2269.4676084218104,206.89580709015655,0.0,107.0,16.0,11114,0.0,11,570.3877,2,7
29,91,2388.6133561335614,206.88236882368824,0.0,107.0,16.0,11111,0.0,11,570.3877,2,8
30,92,2508.436285097192,206.88408927285818,0.0,107.0,16.0,11112,0.0,11,570.3877,2,9
31,93,2627.580003599712,206.8870590352772,0.0,107.0,16.0,11112,0.0,11,570.3877,2,10
32,94,2747.4786139685975,206.91409492871324,179.0,118.0,0.0,11082,0.0,3,175.2674,2,11
33,95,2866.542615426154,206.8928089280893,179.0,118.0,0.0,11111,0.0,3,175.2674,2,12
34,96,2986.0110047418807,206.88181086159076,179.0,118.0,0.0,11177,0.0,3,175.2674,2,13
35,97,3105.502790279028,206.8852385238524,179.0,118.0,0.0,11110,0.0,3,175.2674,2,14
36,98,3224.9782589245774,206.87841102263576,183.0,114.0,0.0,11177,0.0,3,164.50534,2,15
37,99,3344.4676084218104,206.89580709015655,183.0,114.0,0.0,11114,0.0,3,164.50534,2,16
38,100,3463.610296102961,206.88119881198813,183.0,114.0,0.0,11111,0.0,3,164.50534,2,17
39,101,3583.4290856731463,206.88570914326854,179.0,118.0,0.0,11112,0.0,3,175.2674,2,18
40,102,3702.690149681814,206.69059783095815,179.0,118.0,0.0,11157,0.0,3,175.2674,2,19
41,103,3822.4122901036085,206.51777420507324,179.0,118.0,0.0,11196,0.0,3,175.2674,2,20
42,104,1373.112201212986,310.1472529432751,0.0,107.0,16.0,11212,0.0,11,570.3877,3,0
43,105,1493.011096196868,310.30988814317675,0.0,107.0,16.0,11175,0.0,11,570.3877,3,1
44,106,1612.4906407487401,310.30444564434845,0.0,107.0,16.0,11112,0.0,11,570.3877,3,2
45,107,1731.9748590856223,310.31028003936655,0.0,107.0,16.0,11177,0.0,11,570.3877,3,3
46,108,1851.4575722127238,310.3207054800684,0.0,107.0,16.0,11113,0.0,11,570.3877,3,4
47,109,1970.6030060300602,310.3081630816308,0.0,107.0,16.0,11111,0.0,11,570.3877,3,5
48,110,2090.4113200755874,310.3098173310537,0.0,107.0,16.0,11113,0.0,11,570.3877,3,6
49,111,2209.566414686825,310.3143448524118,0.0,107.0,16.0,11112,0.0,11,570.3877,3,7
50,112,2329.370713707137,310.3080730807308,0.0,107.0,16.0,11111,0.0,11,570.3877,3,8
51,113,2448.5236252362524,310.3121231212312,0.0,107.0,16.0,11111,0.0,11,570.3877,3,9
52,114,2568.003042233357,310.3034180386543,0.0,107.0,16.0,11176,0.0,11,570.3877,3,10
53,115,2687.553859964093,310.2527827648115,0.0,108.0,2.0,11140,0.0,11,536.56415,3,11
54,116,2806.970133043714,310.3173137840528,179.0,118.0,0.0,11049,0.0,3,175.2674,3,12
55,117,2926.4494240460763,310.31416486681064,179.0,118.0,0.0,11112,0.0,3,175.2674,3,13
56,118,3045.59805598056,310.3087030870309,179.0,118.0,0.0,11111,0.0,3,175.2674,3,14
