hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,16,177.73214285714286,102.38933982683983,0,107,17,11088,0.0,11,980.0,0,0
2,17,296.47375090514123,102.59657856625634,0,107,17,11048,0.0,11,980.0,0,1
3,18,415.44955044955043,102.7663245845064,0,107,17,11011,0.0,11,980.0,0,2
4,19,534.0133369873024,102.76477573764501,0,107,17,10947,0.0,11,980.0,0,3
5,20,652.9019822782498,102.75966018087148,0,107,17,10947,0.0,11,980.0,0,4
6,21,771.4646684831971,102.77284287011807,0,107,17,11010,0.0,11,980.0,0,5
7,22,890.0242075454462,102.7757376450169,0,107,17,10947,0.0,11,980.0,0,6
8,23,1008.9137742053343,102.76342710997443,0,107,17,10948,0.0,11,980.0,0,7
9,24,1127.4726661823465,102.76126044315292,0,107,17,11012,0.0,11,980.0,0,8
10,25,1246.032340581034,102.76977891467203,0,107,17,10946,0.0,11,980.0,0,9
11,26,1365.0372224244632,102.58654896250455,0,107,17,10988,0.0,11,980.0,0,10
12,27,1483.5009922424679,102.43875157856756,0,107,17,11086,0.0,11,980.0,0,11
13,28,1602.0666787625873,102.43409235235417,0,107,17,11023,0.0,11,980.0,0,12
14,29,1720.9666122300853,102.437125748503,0,107,17,11022,0.0,11,980.0,0,13
15,30,1839.404996831719,102.61600434507106,0,107,17,11047,0.0,11,980.0,0,14
16,31,1958.0513382661916,102.7669681191194,0,107,17,10947,0.0,11,980.0,0,15
17,32,2076.9471953224925,102.77087520555455,0,107,17,10946,0.0,11,980.0,0,16
18,33,2195.61749276411,102.56747467438495,0,107,17,11056,0.0,11,980.0,0,17
19,34,2314.41622352411,102.40297431275349,0,107,17,11095,0.0,11,980.0,0,18
20,41,118.46637096044175,205.398479225129,0,107,17,11047,0.0,11,980.0,1,0
21,42,237.4507310870947,205.54872400326946,0,107,17,11011,0.0,11,980.0,1,1
22,43,356.0115110542664,205.55106888361044,0,107,17,10946,0.0,11,980.0,1,2
23,44,474.56583726843445,205.5518525245187,0,107,17,11012,0.0,11,980.0,1,3
24,45,593.4587230950867,205.538098265371,0,107,17,11011,0.0,11,980.0,1,4
25,46,712.0221044939715,205.5536170990135,0,107,17,10948,0.0,11,980.0,1,5
26,47,830.9061101470454,205.55731116996986,0,107,17,10949,0.0,11,980.0,1,6
27,48,949.4713468349833,205.548088275361,0,107,17,11011,0.0,11,980.0,1,7
28,49,1068.0293204238217,205.55316039459262,0,107,17,10948,0.0,11,980.0,1,8
29,50,1186.9157683171934,205.55234788964006,0,107,17,10946,0.0,11,980.0,1,9
30,51,1305.4831970935513,205.55177111716623,0,107,17,11010,0.0,11,980.0,1,10
31,52,1424.0373584216295,205.54229082937522,0,107,17,10948,0.0,11,980.0,1,11
32,53,1542.9260138838144,205.55471318962367,0,107,17,10948,0.0,11,980.0,1,12
33,54,1661.490192517254,205.55230657464585,0,107,17,11012,0.0,11,980.0,1,13
34,55,1780.0500548045304,205.55252100840337,0,107,17,10948,0.0,11,980.0,1,14
35,56,1898.9332298136646,205.55443916697115,0,107,17,10948,0.0,11,980.0,1,15
36,57,2017.5002270869288,205.54746116813516,0,107,17,11009,0.0,11,980.0,1,16
37,58,2136.0621174751072,205.55613410066684,0,107,17,10947,0.0,11,980.0,1,17
38,59,2254.9412678114722,205.54338691998538,0,107,17,10948,0.0,11,980.0,1,18
39,60,2373.625870646766,205.35730438715512,0,107,17,11055,0.0,11,980.0,1,19
40,61,59.3509819893203,308.17974477328266,0,107,17,11049,0.0,11,980.0,2,0
41,62,178.00347127066777,308.3198136475747,0,107,17,10947,0.0,11,980.0,2,1
42,63,296.56198347107437,308.33920624829716,0,107,17,11011,0.0,11,980.0,2,2
43,64,415.4557260920897,308.3481064390155,0,107,17,11011,0.0,11,980.0,2,3
44,65,534.0137023842149,308.33041015803417,0,107,17,10947,0.0,11,980.0,2,4
45,66,652.9047227550927,308.3368959532292,0,107,17,10947,0.0,11,980.0,2,5
46,67,771.4630403196513,308.34262622593536,0,107,17,11012,0.0,11,980.0,2,6
47,68,890.0273109243698,308.3331202046036,0,107,17,10948,0.0,11,980.0,2,7
48,69,1008.9128528363935,308.3297707134375,0,107,17,10947,0.0,11,980.0,2,8
49,70,1127.4716672720667,308.3431710860879,0,107,17,11012,0.0,11,980.0,2,9
50,71,1246.0345300082215,308.3396364300722,0,107,17,10947,0.0,11,980.0,2,10
51,72,1364.923076923077,308.33446007674036,0,107,17,10946,0.0,11,980.0,2,11
