hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.19893992436502,5,,0,0
2,12,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.19893992436502,5,,0,1
3,15,1213.0317116559672,110.21084383943074,0.0,108.0,5.0,12929,0.0,11,506.39038,0,2
4,16,1340.5815580780593,110.19522624786192,0.0,108.0,5.0,12862,0.0,11,506.39038,0,3
5,17,1468.4948301329393,110.2064837129752,0.0,108.0,5.0,12863,0.0,11,506.39038,0,4
6,18,1596.0554524361949,110.21268368136117,0.0,108.0,5.0,12930,0.0,11,506.39038,0,5
7,20,1723.603965785381,110.20101088646967,0.0,108.0,5.0,12860,0.0,11,506.39038,0,6
8,21,1851.506414742244,110.20667133193375,0.0,107.0,16.0,12861,0.0,11,530.70856,0,7
9,22,1979.0745610642741,110.21656740660531,0.0,107.0,16.0,12929,0.0,11,530.70856,0,8
10,25,2106.9579240467165,110.20976100239771,0.0,107.0,16.0,12929,0.0,11,530.70856,0,9
11,27,2234.520758824444,110.20307883688385,0.0,107.0,16.0,12862,0.0,11,530.70856,0,10
12,28,2362.0934962493234,110.21552857474286,0.0,107.0,16.0,12931,0.0,11,530.70856,0,11
13,29,2489.98437862501,110.21831258216689,0.0,108.0,5.0,12931,0.0,11,506.39038,0,12
14,31,2617.5401959259834,110.2000466490437,8.0,109.0,0.0,12862,0.0,10,477.78073,0,13
15,32,2745.4371890547263,110.20296952736318,8.0,109.0,0.0,12864,0.0,10,477.78073,0,14
16,34,3128.1741855606283,110.19314400680956,42.0,117.0,0.0,12923,0.0,9,406.25668,0,15
17,36,3256.0324775750078,110.22386328487472,42.0,117.0,0.0,12932,0.0,9,406.25668,0,16
18,38,3383.5693203883493,110.2652427184466,42.0,117.0,0.0,12875,0.0,9,406.25668,0,17
19,39,3511.472735746466,110.25998135777536,42.0,117.0,0.0,12874,0.0,9,406.25668,0,18
20,41,3639.0208590852903,110.26993201483313,42.0,117.0,0.0,12944,0.0,9,406.25668,0,19
21,54,383.04415745108656,220.79699945866523,0.0,107.0,16.0,12931,0.0,11,530.70856,2,0
22,55,510.604152087707,220.80125962211338,0.0,107.0,16.0,12861,0.0,11,530.70856,2,1
