hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.19893992436502,5,,0,0
2,12,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.19893992436502,5,,0,1
3,15,1213.0317116559672,110.21084383943074,104.0,136.0,0.0,12929,0.0,6,560.74866,0,2
4,16,1340.5736952632808,110.18332425915844,104.0,136.0,0.0,12857,0.0,6,560.74866,0,3
5,17,1468.4952573472244,110.21170890996734,64.0,123.0,0.0,12862,0.0,8,670.8021,0,4
6,18,1596.0390383426097,110.24605751391465,48.0,118.0,0.0,12936,0.0,8,720.5882,0,5
7,20,1723.6066096423017,110.2097200622084,48.0,118.0,0.0,12860,0.0,8,720.5882,0,6
8,21,1851.506414742244,110.20667133193375,48.0,118.0,0.0,12861,0.0,8,720.5882,0,7
9,22,1979.0711523588554,110.2200309358082,48.0,118.0,0.0,12930,0.0,8,720.5882,0,8
10,25,2106.9551465470577,110.2089552238806,48.0,118.0,0.0,12931,0.0,8,720.5882,0,9
11,27,2234.5267780800623,110.21515740380879,48.0,118.0,0.0,12865,0.0,8,720.5882,0,10
12,28,2362.100966370313,110.23301120989564,64.0,123.0,0.0,12935,0.0,8,670.8021,0,11
13,29,2489.98437862501,110.21831258216689,104.0,136.0,0.0,12931,0.0,6,560.74866,0,12
14,31,2617.5553049159926,110.20846297448662,157.0,146.0,0.0,12856,0.0,5,421.87167,0,13
15,32,2745.441688695382,110.21132016793656,157.0,146.0,0.0,12862,0.0,5,421.87167,0,14
16,33,3000.32440798638,110.24013310633029,214.0,59.0,0.0,12922,0.0,1,125.7754,0,15
17,37,3128.434907565636,110.26106882087929,214.0,59.0,0.0,12874,0.0,1,125.7754,0,16
18,39,3256.0324775750078,110.22386328487472,214.0,59.0,0.0,12932,0.0,1,125.7754,0,17
19,41,3383.5596301763653,110.26423743298889,214.0,59.0,0.0,12871,0.0,1,125.7754,0,18
20,42,3511.487209392738,110.20760438535106,214.0,59.0,0.0,12861,0.0,1,125.7754,0,19
21,44,3639.0532910511256,110.21687678861474,214.0,59.0,0.0,12929,0.0,1,125.7754,0,20
22,46,3766.937504834094,110.21587129708408,214.0,59.0,0.0,12929,0.0,1,125.7754,0,21
