hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3790.929608206919,27.50529302630143,242.0,240.0,239.0,9163,107.5220907534819,5,,0,0
2,4,1493.01872725659,103.1153812017396,48.0,118.0,0.0,11267,0.0,8,720.5882,1,0
3,5,1612.5150946766703,103.07949267595569,48.0,118.0,0.0,11196,0.0,8,720.5882,1,1
4,6,1731.9960042621203,103.08488723139762,48.0,118.0,0.0,11262,0.0,8,720.5882,1,2
5,7,1851.4736465963908,103.07906021082722,48.0,118.0,0.0,11194,0.0,8,720.5882,1,3
6,8,1970.6304930332262,103.0829760628796,48.0,118.0,0.0,11196,0.0,8,720.5882,1,4
7,9,2090.433485213973,103.08085410524436,48.0,118.0,0.0,11193,0.0,8,720.5882,1,5
8,10,2209.5858865564983,103.08262617239839,48.0,118.0,0.0,11195,0.0,8,720.5882,1,6
9,11,2329.4047151277014,103.07045901053759,35.0,115.0,0.0,11198,0.0,9,767.754,1,7
10,12,2448.5592675301473,103.07288968289414,35.0,115.0,0.0,11195,0.0,9,767.754,1,8
11,13,2568.0361392292666,103.06650683715148,35.0,115.0,0.0,11262,0.0,9,767.754,1,9
12,14,2806.8953395472704,103.14709276520195,191.0,101.0,0.0,11265,0.0,2,241.06952,1,10
13,15,3045.626429592566,103.06915654038599,191.0,101.0,0.0,11192,0.0,2,241.06952,1,11
14,16,3165.430766482044,103.07655887082366,191.0,101.0,0.0,11194,0.0,2,241.06952,1,12
15,17,3284.583221656392,103.07343875636559,191.0,101.0,0.0,11193,0.0,2,241.06952,1,13
16,18,3404.391459710559,103.07736287296765,191.0,101.0,0.0,11194,0.0,2,241.06952,1,14
17,19,3523.5439113731795,103.0742428303404,191.0,101.0,0.0,11193,0.0,2,241.06952,1,15
18,20,3643.020339284128,103.0821564970246,191.0,101.0,0.0,11259,0.0,2,241.06952,1,16
19,85,1433.006600071352,206.72654298965395,64.0,123.0,0.0,11212,0.0,8,670.8021,2,0
20,86,1552.581931071718,206.88230000899847,48.0,118.0,0.0,11113,0.0,8,720.5882,2,1
21,87,1672.4008457800971,206.88653949973008,48.0,118.0,0.0,11114,0.0,8,720.5882,2,2
22,88,1791.5486861051115,206.8876889848812,48.0,118.0,0.0,11112,0.0,8,720.5882,2,3
23,89,1911.0212023617821,206.88217928073,48.0,118.0,0.0,11178,0.0,8,720.5882,2,4
24,90,2030.509089272858,206.88633909287256,48.0,118.0,0.0,11112,0.0,8,720.5882,2,5
25,91,2149.9822850496557,206.87044824192537,48.0,118.0,0.0,11177,0.0,8,720.5882,2,6
26,92,2269.4676084218104,206.89580709015655,48.0,118.0,0.0,11114,0.0,8,720.5882,2,7
27,93,2388.6133561335614,206.88236882368824,35.0,115.0,0.0,11111,0.0,9,767.754,2,8
28,94,2508.4392657908943,206.894097534641,35.0,115.0,0.0,11114,0.0,9,767.754,2,9
29,95,2627.7061721759383,206.71656364776493,48.0,118.0,0.0,11163,0.0,8,720.5882,2,10
30,96,2747.2955320294277,206.7302171182487,157.0,146.0,0.0,11146,0.0,5,421.87167,2,11
31,97,2866.634825425246,206.71674127126232,191.0,101.0,0.0,11170,0.0,2,241.06952,2,12
32,98,2985.9262463212344,206.7319183091055,191.0,101.0,0.0,11213,0.0,2,241.06952,2,13
33,99,3105.502790279028,206.8852385238524,191.0,101.0,0.0,11110,0.0,2,241.06952,2,14
34,100,3224.9782589245774,206.87841102263576,191.0,101.0,0.0,11177,0.0,2,241.06952,2,15
35,101,3344.4676084218104,206.89580709015655,191.0,101.0,0.0,11114,0.0,2,241.06952,2,16
36,102,3463.610296102961,206.88119881198813,191.0,101.0,0.0,11111,0.0,2,241.06952,2,17
37,103,3583.4258975974085,206.88167011608027,191.0,101.0,0.0,11113,0.0,2,241.06952,2,18
38,104,3702.685158630579,206.6935830794049,191.0,101.0,0.0,11158,0.0,2,241.06952,2,19
39,105,3822.4122901036085,206.51777420507324,191.0,101.0,0.0,11196,0.0,2,241.06952,2,20
40,106,1373.1142627776292,310.1519043796271,64.0,123.0,0.0,11211,0.0,8,670.8021,3,0
41,107,1492.9969585830574,310.30110027730564,48.0,118.0,0.0,11179,0.0,8,720.5882,3,1
42,108,1612.4963562753037,310.31776878092666,48.0,118.0,0.0,11115,0.0,8,720.5882,3,2
43,109,1731.9576142358937,310.33533041223285,48.0,118.0,0.0,11183,0.0,8,720.5882,3,3
44,110,1851.4575722127238,310.3207054800684,48.0,118.0,0.0,11113,0.0,8,720.5882,3,4
45,111,1970.6073614110871,310.3048056155508,48.0,118.0,0.0,11112,0.0,8,720.5882,3,5
46,112,2090.4129926219184,310.30493071801334,48.0,118.0,0.0,11114,0.0,8,720.5882,3,6
47,113,2209.566414686825,310.3143448524118,48.0,118.0,0.0,11112,0.0,8,720.5882,3,7
48,114,2329.3640453482094,310.3041209285586,35.0,115.0,0.0,11114,0.0,9,767.754,3,8
49,115,2448.5236252362524,310.3121231212312,35.0,115.0,0.0,11111,0.0,9,767.754,3,9
50,116,2568.009928443649,310.32280858676205,48.0,118.0,0.0,11180,0.0,8,720.5882,3,10
51,117,2687.5415914832192,310.396788163118,157.0,146.0,0.0,11084,0.0,5,421.87167,3,11
52,118,2806.633516335163,310.30213302133023,172.0,128.0,0.0,11111,0.0,4,338.0214,3,12
53,119,2926.454111930898,310.3231959690481,191.0,101.0,0.0,11114,0.0,2,241.06952,3,13
54,120,3045.568333033627,310.3559611580651,191.0,101.0,0.0,11122,0.0,2,241.06952,3,14
55,121,3165.407037437005,310.30642548596114,191.0,101.0,0.0,11112,0.0,2,241.06952,3,15
56,122,3284.5629049676027,310.3046256299496,191.0,101.0,0.0,11112,0.0,2,241.06952,3,16
57,123,3404.364528030235,310.3097273463511,191.0,101.0,0.0,11113,0.0,2,241.06952,3,17
58,124,3523.5193484521237,310.3155147588193,191.0,101.0,0.0,11112,0.0,2,241.06952,3,18
59,125,3642.990159241367,310.30577920916085,191.0,101.0,0.0,11178,0.0,2,241.06952,3,19
60,126,3762.4780887249167,310.31908575542155,191.0,101.0,0.0,11113,0.0,2,241.06952,3,20
61,127,3882.0844693932104,310.1208233092756,191.0,101.0,0.0,11223,0.0,2,241.06952,3,21
62,135,597.0941218256082,413.40188243651215,0.0,107.0,17.0,11262,0.0,11,980.0,4,0
63,136,1313.406841729189,413.79805287602716,64.0,123.0,0.0,11196,0.0,8,670.8021,4,1
64,138,1433.4363472784526,413.7694107062528,48.0,118.0,0.0,11115,0.0,8,720.5882,4,2
65,139,1552.5824185711715,413.77100953752023,48.0,118.0,0.0,11114,0.0,8,720.5882,4,3
66,140,1672.390298776098,413.7643088552916,64.0,123.0,0.0,11112,0.0,8,670.8021,4,4
67,141,1791.5530057595392,413.7643088552916,48.0,118.0,0.0,11112,0.0,8,720.5882,4,5
68,142,1911.0238883421312,413.76084817034985,48.0,118.0,0.0,11177,0.0,8,720.5882,4,6
69,143,2030.505397625045,413.7718603814322,35.0,115.0,0.0,11116,0.0,9,767.754,4,7
70,144,2149.993289191124,413.75474230493916,48.0,118.0,0.0,11176,0.0,8,720.5882,4,8
71,145,2269.4681004229283,413.7788176010078,48.0,118.0,0.0,11113,0.0,8,720.5882,4,9
72,146,2388.6185205183583,413.7742980561555,35.0,115.0,0.0,11112,0.0,9,767.754,4,10
73,147,2508.439456639079,413.77347966894564,35.0,115.0,0.0,11116,0.0,9,767.754,4,11
74,148,2627.6612424705563,413.71698282837366,104.0,136.0,0.0,11123,0.0,6,560.74866,4,12
75,149,2747.377256804096,413.7537950238031,191.0,101.0,0.0,11133,0.0,2,241.06952,4,13
76,150,2866.5390428211585,413.7637639438647,191.0,101.0,0.0,11116,0.0,2,241.06952,4,14
77,151,2986.0131567170856,413.76971270025956,172.0,128.0,0.0,11173,0.0,4,338.0214,4,15
78,152,3105.5059384560013,413.7715493971567,191.0,101.0,0.0,11114,0.0,2,241.06952,4,16
