hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,9,296.5831905491929,102.41924429614934,0,107,7,11089,0.0,21,107.5,0,0
2,10,415.3587143503848,102.6181077410593,0,107,7,11045,0.0,21,107.5,0,1
3,11,534.0133369873024,102.76477573764501,0,107,7,10947,0.0,21,107.5,0,2
4,12,652.9019822782498,102.75966018087148,0,107,7,10947,0.0,21,107.5,0,3
5,13,771.4646684831971,102.77284287011807,0,107,7,11010,0.0,21,107.5,0,4
6,14,890.1356934838005,102.59719694211867,0,107,7,10988,0.0,21,107.5,0,5
7,15,1008.9335087082728,102.42761248185776,0,107,7,11024,0.0,21,107.5,0,6
8,16,1127.4993234100136,102.44366260712675,0,107,7,11085,0.0,21,107.5,0,7
9,20,1246.0608537693006,102.49019073569482,0,107,7,11010,0.0,21,107.5,0,8
10,21,1364.951642170205,102.43531119579023,0,107,7,11022,0.0,21,107.5,0,9
11,22,1957.7497520064928,102.4236630895482,0,107,7,11089,0.0,21,107.5,0,10
12,23,2076.8602659865187,102.63108034250318,0,107,7,10978,0.0,21,107.5,0,11
13,24,2195.61749276411,102.56747467438495,0,107,7,11056,0.0,21,107.5,0,12
14,25,2314.41622352411,102.40297431275349,0,107,7,11095,0.0,21,107.5,0,13
15,40,118.58440739071654,205.18521856692203,0,107,7,11095,0.0,21,107.5,1,0
16,44,237.35768604019555,205.39588991490132,0,107,7,11046,0.0,21,107.5,1,1
17,45,356.0115110542664,205.55106888361044,0,107,7,10946,0.0,21,107.5,1,2
18,46,474.56583726843445,205.5518525245187,0,107,7,11012,0.0,21,107.5,1,3
19,47,593.4587230950867,205.538098265371,0,107,7,11011,0.0,21,107.5,1,4
20,48,712.0221044939715,205.5536170990135,0,107,7,10948,0.0,21,107.5,1,5
21,49,830.9061101470454,205.55731116996986,0,107,7,10949,0.0,21,107.5,1,6
22,50,949.4713468349833,205.548088275361,0,107,7,11011,0.0,21,107.5,1,7
23,51,1068.0293204238217,205.55316039459262,0,107,7,10948,0.0,21,107.5,1,8
24,52,1186.9157683171934,205.55234788964006,0,107,7,10946,0.0,21,107.5,1,9
25,53,1305.4831970935513,205.55177111716623,0,107,7,11010,0.0,21,107.5,1,10
26,54,1424.1565684133916,205.35034570596798,0,107,7,10992,0.0,21,107.5,1,11
27,41,1542.9482320942884,205.19193109700817,0,107,7,11030,0.0,21,107.5,1,12
28,42,1661.5070739839596,205.1790574029017,0,107,7,11097,0.0,21,107.5,1,13
29,43,1780.0775994923397,205.18384552624423,0,107,7,11031,0.0,21,107.5,1,14
30,55,1898.843744308869,205.40420688399198,0,107,7,10982,0.0,21,107.5,1,15
31,56,2017.5002270869288,205.54746116813516,0,107,7,11009,0.0,21,107.5,1,16
32,57,2136.0621174751072,205.55613410066684,0,107,7,10947,0.0,21,107.5,1,17
33,58,2254.9412678114722,205.54338691998538,0,107,7,10948,0.0,21,107.5,1,18
34,59,2373.625870646766,205.35730438715512,0,107,7,11055,0.0,21,107.5,1,19
35,60,59.237670183031284,308.361464250293,0,107,7,11091,0.0,21,107.5,2,0
36,61,178.00347127066777,308.3198136475747,0,107,7,10947,0.0,21,107.5,2,1
37,62,296.56198347107437,308.33920624829716,0,107,7,11011,0.0,21,107.5,2,2
38,63,415.4557260920897,308.3481064390155,0,107,7,11011,0.0,21,107.5,2,3
39,64,534.0137023842149,308.33041015803417,0,107,7,10947,0.0,21,107.5,2,4
40,65,652.9047227550927,308.3368959532292,0,107,7,10947,0.0,21,107.5,2,5
41,66,771.4630403196513,308.34262622593536,0,107,7,11012,0.0,21,107.5,2,6
42,67,890.0324289759751,308.3360738101763,0,107,7,10947,0.0,21,107.5,2,7
43,68,1008.9128528363935,308.3297707134375,0,107,7,10947,0.0,21,107.5,2,8
44,69,1127.4716672720667,308.3431710860879,0,107,7,11012,0.0,21,107.5,2,9
45,70,1246.0396491869176,308.3425909007857,0,107,7,10946,0.0,21,107.5,2,10
46,71,1364.923076923077,308.33446007674036,0,107,7,10946,0.0,21,107.5,2,11
47,72,1483.4836541954232,308.3419905557574,0,107,7,11012,0.0,21,107.5,2,12
48,73,1602.046862154015,308.3371700009135,0,107,7,10947,0.0,21,107.5,2,13
49,74,1720.9318534758381,308.3281264273317,0,107,7,10947,0.0,21,107.5,2,14
50,75,1839.491736287686,308.33490737377406,0,107,7,11012,0.0,21,107.5,2,15
51,76,1958.0555403306842,308.3375353978259,0,107,7,10947,0.0,21,107.5,2,16
52,77,2076.9440840566467,308.33787117405205,0,107,7,10945,0.0,21,107.5,2,17
53,78,2195.5020434111343,308.33947870311505,0,107,7,11011,0.0,21,107.5,2,18
54,79,2314.067598428793,308.3365305563168,0,107,7,10947,0.0,21,107.5,2,19
55,80,2433.3972317713046,308.1414872444364,0,107,7,11054,0.0,21,107.5,2,20
56,90,118.5627383330307,411.11666969311784,0,107,7,11014,0.0,21,107.5,3,0
57,91,237.44727999273454,411.12042502951596,0,107,7,11011,0.0,21,107.5,3,1
58,83,356.0076712328767,411.1116894977169,0,107,7,10950,0.0,21,107.5,3,2
59,92,474.5750090810025,411.1260443152924,0,107,7,11012,0.0,21,107.5,3,3
60,93,593.4588555858311,411.11634877384193,0,107,7,11010,0.0,21,107.5,3,4
61,84,712.0151584330198,411.1061090311387,0,107,7,10951,0.0,21,107.5,3,5
62,94,830.9143144240431,411.11765780579157,0,107,7,10947,0.0,21,107.5,3,6
63,95,949.4674416492599,411.1118881118881,0,107,7,11011,0.0,21,107.5,3,7
64,85,1068.0260273972603,411.1104109589041,0,107,7,10950,0.0,21,107.5,3,8
65,96,1186.9220862257946,411.124497625137,0,107,7,10948,0.0,21,107.5,3,9
66,97,1305.4747502270664,411.11843778383286,0,107,7,11010,0.0,21,107.5,3,10
67,86,1424.0378116722989,411.10658507626266,0,107,7,10949,0.0,21,107.5,3,11
68,98,1542.9304895871392,411.1137194008038,0,107,7,10948,0.0,21,107.5,3,12
69,99,1661.4882833787467,411.1152588555858,0,107,7,11010,0.0,21,107.5,3,13
70,87,1780.0463055986847,411.09608183395744,0,107,7,10949,0.0,21,107.5,3,14
71,100,1898.9404457435148,411.1232188527585,0,107,7,10948,0.0,21,107.5,3,15
72,101,2017.495867768595,411.12196894015074,0,107,7,11011,0.0,21,107.5,3,16
73,88,2136.053799780782,411.10275849470224,0,107,7,10948,0.0,21,107.5,3,17
74,102,2254.947204968944,411.1225794665692,0,107,7,10948,0.0,21,107.5,3,18
75,103,2373.5042230496774,411.11143402052494,0,107,7,11011,0.0,21,107.5,3,19
76,89,2492.611772129079,411.0683252208401,0,107,7,11094,0.0,21,107.5,3,20
77,105,59.24371111712199,513.9277792804977,0,107,7,11091,0.0,21,107.5,4,0
78,106,178.0042938059565,513.8681710213776,0,107,7,10946,0.0,21,107.5,4,1
79,107,296.5673810388667,513.8745005448601,0,107,7,11012,0.0,21,107.5,4,2
80,108,415.4580873671783,513.8743075106712,0,107,7,11011,0.0,21,107.5,4,3
81,109,534.0168082579702,513.864437745501,0,107,7,10947,0.0,21,107.5,4,4
82,110,652.9081110705151,513.8706613080014,0,107,7,10948,0.0,21,107.5,4,5
83,111,771.4716192898011,513.8711288711289,0,107,7,11011,0.0,21,107.5,4,6
84,112,890.023933497762,513.8649858408696,0,107,7,10947,0.0,21,107.5,4,7
85,113,1008.9141160347191,513.8722704431248,0,107,7,10945,0.0,21,107.5,4,8
86,114,1127.4821104249909,513.8755902651653,0,107,7,11012,0.0,21,107.5,4,9
87,115,1246.0366243492556,513.8747830852133,0,107,7,10949,0.0,21,107.5,4,10
88,116,1364.926457153298,513.8686278092454,0,107,7,10946,0.0,21,107.5,4,11
89,117,1483.4821104249909,513.8755902651653,0,107,7,11012,0.0,21,107.5,4,12
90,118,1602.045213737669,513.8685604676654,0,107,7,10948,0.0,21,107.5,4,13
91,119,1720.9335038363172,513.8808914870295,0,107,7,10948,0.0,21,107.5,4,14
92,120,1839.4933696639418,513.8742052679382,0,107,7,11010,0.0,21,107.5,4,15
93,121,1958.0556215179467,513.8731390994611,0,107,7,10949,0.0,21,107.5,4,16
94,122,2076.940999178007,513.8875696410631,0,107,7,10949,0.0,21,107.5,4,17
95,123,2195.5054945054944,513.8706747797656,0,107,7,11011,0.0,21,107.5,4,18
96,124,2314.0556215179467,513.8731390994611,0,107,7,10949,0.0,21,107.5,4,19
97,125,2433.2861164078818,513.8821392899301,0,107,7,11013,0.0,21,107.5,4,20
98,128,118.55722070844686,616.6499545867393,0,107,7,11010,0.0,21,107.5,5,0
99,129,237.45086285195276,616.6463215258856,0,107,7,11010,0.0,21,107.5,5,1
100,130,356.01443317803967,616.655065314698,0,107,7,10947,0.0,21,107.5,5,2
101,131,474.5735561205957,616.6483835815474,0,107,7,11012,0.0,21,107.5,5,3
102,132,593.4581289736603,616.6465031789282,0,107,7,11010,0.0,21,107.5,5,4
103,133,712.0187283025763,616.6585053900968,0,107,7,10946,0.0,21,107.5,5,5
104,134,830.9113993423456,616.6497990500548,0,107,7,10948,0.0,21,107.5,5,6
105,135,949.4674781976744,616.6483466569767,0,107,7,11008,0.0,21,107.5,5,7
106,136,1068.029782568975,616.6572263840673,0,107,7,10946,0.0,21,107.5,5,8
107,137,1186.9185239313117,616.6503470953598,0,107,7,10948,0.0,21,107.5,5,9
108,138,1305.4782490237035,616.6437199164471,0,107,7,11011,0.0,21,107.5,5,10
109,139,1424.0370911748585,616.6572263840673,0,107,7,10946,0.0,21,107.5,5,11
110,140,1542.9240043843624,616.659024479357,0,107,7,10948,0.0,21,107.5,5,12
111,141,1661.4853328489692,616.644264826083,0,107,7,11011,0.0,21,107.5,5,13
112,142,1780.046783625731,616.6592653508771,0,107,7,10944,0.0,21,107.5,5,14
113,143,1898.9340458573124,616.6525988855394,0,107,7,10947,0.0,21,107.5,5,15
114,144,2017.4973665092625,616.6478387213948,0,107,7,11012,0.0,21,107.5,5,16
115,145,2136.05718461679,616.6545172193295,0,107,7,10947,0.0,21,107.5,5,17
116,146,2254.9413537955606,616.6524161870832,0,107,7,10947,0.0,21,107.5,5,18
117,147,2373.5078543539453,616.653500408608,0,107,7,11013,0.0,21,107.5,5,19
118,148,2492.6034078615216,616.6243238369997,0,107,7,11092,0.0,21,107.5,5,20
119,149,59.312943501302435,719.6508578101141,0,107,7,11133,0.0,21,107.5,6,0
120,150,177.8803784226326,719.6367688529064,0,107,7,10993,0.0,21,107.5,6,1
121,151,296.5613477431659,719.4347470711107,0,107,7,11011,0.0,21,107.5,6,2
122,152,415.4611333091173,719.4282600799128,0,107,7,11012,0.0,21,107.5,6,3
123,153,534.0095011876484,719.4291065229307,0,107,7,10946,0.0,21,107.5,6,4
124,154,652.9033436871916,719.4384249954321,0,107,7,10946,0.0,21,107.5,6,5
125,155,771.4673083908464,719.4482382855067,0,107,7,11012,0.0,21,107.5,6,6
126,156,890.0303307144162,719.4383336378586,0,107,7,10946,0.0,21,107.5,6,7
127,157,1008.911474511237,719.4388817832998,0,107,7,10946,0.0,21,107.5,6,8
128,158,1127.471304031965,719.4387940428624,0,107,7,11012,0.0,21,107.5,6,9
129,159,1246.0347127066777,719.4231296245547,0,107,7,10947,0.0,21,107.5,6,10
130,160,1364.9190497944267,719.4332571950663,0,107,7,10945,0.0,21,107.5,6,11
131,161,1483.4826991190628,719.4427390791027,0,107,7,11011,0.0,21,107.5,6,12
132,162,1602.0460358056266,719.4402630617465,0,107,7,10948,0.0,21,107.5,6,13
133,163,1720.930757285101,719.4433178039645,0,107,7,10947,0.0,21,107.5,6,14
134,164,1839.4907819453274,719.4433748070112,0,107,7,11011,0.0,21,107.5,6,15
135,165,1958.0500548045304,719.4307636097917,0,107,7,10948,0.0,21,107.5,6,16
136,166,2076.9387960171734,719.42431716452,0,107,7,10947,0.0,21,107.5,6,17
137,167,2195.498455949137,719.4376930063579,0,107,7,11010,0.0,21,107.5,6,18
138,168,2314.0667701863354,719.4376141761052,0,107,7,10948,0.0,21,107.5,6,19
139,169,2433.2815110788233,719.441699963676,0,107,7,11012,0.0,21,107.5,6,20
140,173,237.4431931704659,822.224321133412,0,107,7,11011,0.0,21,107.5,7,0
141,174,356.0102320482368,822.2283025762836,0,107,7,10946,0.0,21,107.5,7,1
142,175,474.5683799491464,822.2201235016346,0,107,7,11012,0.0,21,107.5,7,2
143,176,593.45540417802,822.2277929155314,0,107,7,11010,0.0,21,107.5,7,3
144,177,712.0184508586043,822.2177566678846,0,107,7,10948,0.0,21,107.5,7,4
145,178,830.908567774936,822.2176653270004,0,107,7,10948,0.0,21,107.5,7,5
146,179,949.4583673840008,822.2251884136929,0,107,7,11013,0.0,21,107.5,7,6
147,180,1068.0272245569158,822.2179791704732,0,107,7,10946,0.0,21,107.5,7,7
148,181,1186.919696692856,822.2265667823863,0,107,7,10946,0.0,21,107.5,7,8
149,182,1305.4702570157115,822.2245935882299,0,107,7,11011,0.0,21,107.5,7,9
150,183,1424.034350447652,822.2185273159145,0,107,7,10946,0.0,21,107.5,7,10
