hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,114.02192771568107,10,,0,0
2,12,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,114.02192771568107,10,,0,1
3,15,1213.0317116559672,110.21084383943074,14.0,110.0,0.0,12929,0.0,19,97.5,0,2
4,16,1340.585335510458,110.1985071145323,14.0,110.0,0.0,12861,0.0,19,97.5,0,3
5,17,1468.4952573472244,110.21170890996734,14.0,110.0,0.0,12862,0.0,19,97.5,0,4
6,18,1596.055998143708,110.21780493464306,37.0,115.0,0.0,12929,0.0,17,87.5,0,5
7,20,1723.6072011820515,110.20460377945408,37.0,115.0,0.0,12859,0.0,17,87.5,0,6
8,21,1851.506414742244,110.20667133193375,37.0,115.0,0.0,12861,0.0,17,87.5,0,7
9,22,1979.071395420792,110.21294863861387,37.0,115.0,0.0,12928,0.0,17,87.5,0,8
10,24,2362.0934962493234,110.21552857474286,37.0,115.0,0.0,12931,0.0,17,87.5,0,9
11,25,2489.9935798267325,110.20730198019803,80.0,128.0,0.0,12928,0.0,14,72.5,0,10
12,27,2617.548176374524,110.21183606812349,80.0,128.0,0.0,12859,0.0,14,72.5,0,11
13,28,2745.441688695382,110.21132016793656,80.0,128.0,0.0,12862,0.0,14,72.5,0,12
14,29,2873.0187089292617,110.23571704677232,80.0,128.0,0.0,12935,0.0,14,72.5,0,13
15,30,3000.5698732405317,110.20709230888872,161.0,143.0,0.0,12859,0.0,9,47.5,0,14
16,34,3128.4494870997823,110.23663350948088,177.0,122.0,0.0,12868,0.0,7,37.5,0,15
17,36,3256.0061814248184,110.26665121310462,194.0,96.0,0.0,12942,0.0,5,27.5,0,16
18,38,3383.5886149778366,110.21541332918578,194.0,96.0,0.0,12859,0.0,5,27.5,0,17
19,39,3511.487209392738,110.20760438535106,194.0,96.0,0.0,12861,0.0,5,27.5,0,18
20,41,3639.0532910511256,110.21687678861474,194.0,96.0,0.0,12929,0.0,5,27.5,0,19
21,51,383.04516627996907,220.80185614849188,0.0,107.0,7.0,12930,0.0,21,107.5,1,0
22,52,510.604152087707,220.80125962211338,0.0,107.0,7.0,12861,0.0,21,107.5,1,1
23,53,638.498328279294,220.79216235129462,0.0,107.0,7.0,12861,0.0,21,107.5,1,2
24,54,766.0676051980198,220.81149443069307,0.0,107.0,7.0,12928,0.0,21,107.5,1,3
25,55,1148.9577672540952,220.9992236627591,14.0,110.0,0.0,12881,0.0,19,97.5,1,4
26,56,1276.957097251421,221.1522230008565,14.0,110.0,0.0,12843,0.0,19,97.5,1,5
27,57,1404.5196554424433,221.17376664056383,14.0,110.0,0.0,12770,0.0,19,97.5,1,6
28,58,1532.4259447617558,221.1353571708004,14.0,110.0,0.0,12781,0.0,19,97.5,1,7
29,59,1659.9709501557631,221.14859813084112,37.0,115.0,0.0,12840,0.0,17,87.5,1,8
30,60,1787.537509788567,221.17470634299139,37.0,115.0,0.0,12770,0.0,17,87.5,1,9
31,61,1915.4343979959292,221.15570690465006,37.0,115.0,0.0,12774,0.0,17,87.5,1,10
