hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.32696060514462,5,,0,0
2,13,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.32696060514462,5,,0,1
3,16,1213.0391277451283,110.21682647695638,216.0,57.0,0.0,12932,0.0,1,69.184494,0,2
4,17,1340.5900466562987,110.20124416796267,208.0,71.0,0.0,12860,0.0,1,89.17112,0,3
5,18,1468.4975507347797,110.21584635720394,208.0,71.0,0.0,12861,0.0,1,89.17112,0,4
6,19,1596.055998143708,110.21780493464306,208.0,71.0,0.0,12929,0.0,1,89.17112,0,5
7,21,1723.6072011820515,110.20460377945408,208.0,71.0,0.0,12859,0.0,1,89.17112,0,6
8,22,1851.506414742244,110.20667133193375,208.0,71.0,0.0,12861,0.0,1,89.17112,0,7
9,23,1979.0745610642741,110.21656740660531,208.0,71.0,0.0,12929,0.0,1,89.17112,0,8
10,26,2106.962645011601,110.2124516627997,208.0,71.0,0.0,12930,0.0,1,89.17112,0,9
11,28,2234.520758824444,110.20307883688385,208.0,71.0,0.0,12862,0.0,1,89.17112,0,10
12,29,2362.090796597061,110.21941221964424,208.0,71.0,0.0,12930,0.0,1,89.17112,0,11
13,30,2489.98437862501,110.21831258216689,208.0,71.0,0.0,12931,0.0,1,89.17112,0,12
14,32,2617.548176374524,110.21183606812349,208.0,71.0,0.0,12859,0.0,1,89.17112,0,13
15,33,2745.4394681595522,110.20713785864241,208.0,71.0,0.0,12861,0.0,1,89.17112,0,14
16,34,2873.079121725732,110.41995377503852,232.0,22.0,0.0,12980,0.0,0,24.59893,0,15
17,57,383.04516627996907,220.80185614849188,183.0,114.0,0.0,12930,0.0,3,164.50534,3,0
18,58,510.604152087707,220.80125962211338,183.0,114.0,0.0,12861,0.0,3,164.50534,3,1
19,59,638.5008943152656,220.8016175441325,183.0,114.0,0.0,12859,0.0,3,164.50534,3,2
20,60,766.063510481937,220.8145741471339,183.0,114.0,0.0,12927,0.0,3,164.50534,3,3
21,61,1148.9672334808604,220.99922354220047,216.0,57.0,0.0,12879,0.0,1,69.184494,3,4
22,62,1276.9580283444946,221.15714063230027,208.0,71.0,0.0,12842,0.0,1,89.17112,3,5
23,63,1404.5196554424433,221.17376664056383,208.0,71.0,0.0,12770,0.0,1,89.17112,3,6
24,64,1532.4033041027246,221.15729721265268,208.0,71.0,0.0,12772,0.0,1,89.17112,3,7
25,65,1659.9725878046881,221.1531033408613,208.0,71.0,0.0,12841,0.0,1,89.17112,3,8
26,66,1787.537509788567,221.17470634299139,208.0,71.0,0.0,12770,0.0,1,89.17112,3,9
27,67,1915.4343979959292,221.15570690465006,208.0,71.0,0.0,12774,0.0,1,89.17112,3,10
28,68,2042.9949380889338,221.16229265633518,208.0,71.0,0.0,12841,0.0,1,89.17112,3,11
29,69,2170.5609240407202,221.17415818324199,208.0,71.0,0.0,12770,0.0,1,89.17112,3,12
30,70,2298.4526736083926,221.15141313708605,208.0,71.0,0.0,12773,0.0,1,89.17112,3,13
31,71,2426.0161968540724,221.15044385609718,208.0,71.0,0.0,12842,0.0,1,89.17112,3,14
32,72,2553.5757575757575,221.15879727507635,208.0,71.0,0.0,12771,0.0,1,89.17112,3,15
33,73,2681.470404008769,221.16324772940808,208.0,71.0,0.0,12772,0.0,1,89.17112,3,16
34,74,2809.031296224212,221.1451148306734,223.0,42.0,0.0,12845,0.0,1,49.19786,3,17
35,97,3440.939950980392,230.02790346907994,246.0,245.0,244.0,10608,110.87831167545798,5,,3,18
36,76,3846.850518006907,228.55063781802804,249.0,248.0,247.0,14189,113.32696060514462,5,,3,19
37,77,3218.9956560153146,263.8048888234428,249.0,248.0,247.0,13582,113.32696060514462,5,,4,0
38,101,191.203573362209,331.37040761079743,183.0,114.0,0.0,12929,0.0,3,164.50534,5,0
39,122,957.3546622734762,324.00263591433276,249.0,248.0,247.0,15175,113.32696060514462,5,,5,1
40,102,318.9794983303565,331.57622116952706,183.0,114.0,0.0,12877,0.0,3,164.50534,6,0
41,103,446.9628562529201,331.73695686030214,183.0,114.0,0.0,12842,0.0,3,164.50534,6,1
42,104,574.5327695560254,331.7317359642941,183.0,114.0,0.0,12771,0.0,3,164.50534,6,2
43,105,702.4286273588599,331.7326755931407,183.0,114.0,0.0,12771,0.0,3,164.50534,6,3
44,106,830.1025442134658,331.55212534905365,183.0,114.0,0.0,12892,0.0,3,164.50534,6,4
45,107,1084.9962770495617,331.6388738074924,216.0,57.0,0.0,12893,0.0,1,69.184494,6,5
46,108,1213.01689373297,331.7571817827949,216.0,57.0,0.0,12845,0.0,1,69.184494,6,6
47,109,1340.565925461948,331.74044785468215,208.0,71.0,0.0,12772,0.0,1,89.17112,6,7
48,110,1468.466092404072,331.7363351605325,208.0,71.0,0.0,12770,0.0,1,89.17112,6,8
49,111,1596.0321525885558,331.750019462826,208.0,71.0,0.0,12845,0.0,1,89.17112,6,9
50,112,1723.5742566510173,331.77417840375585,208.0,71.0,0.0,12780,0.0,1,89.17112,6,10
51,113,1851.4824966716267,331.7326337222962,208.0,71.0,0.0,12769,0.0,1,89.17112,6,11
52,114,1979.0429906542056,331.73146417445486,208.0,71.0,0.0,12840,0.0,1,89.17112,6,12
53,115,2106.9402741006074,331.7441208534496,208.0,71.0,0.0,12842,0.0,1,89.17112,6,13
54,116,2234.4988253719657,331.72897415818323,208.0,71.0,0.0,12770,0.0,1,89.17112,6,14
55,117,2362.069008489758,331.7371290598956,208.0,71.0,0.0,12839,0.0,1,89.17112,6,15
56,118,2489.9611461496534,331.7414155571128,208.0,71.0,0.0,12843,0.0,1,89.17112,6,16
57,119,2617.5263075477606,331.72956467272155,208.0,71.0,0.0,12772,0.0,1,89.17112,6,17
58,120,2745.409332915753,331.71938615721893,216.0,57.0,0.0,12772,0.0,1,69.184494,6,18
59,121,2873.0321456235474,331.64027885360184,232.0,22.0,0.0,12910,0.0,0,24.59893,6,19
60,174,127.14162590263219,442.1619690969796,183.0,114.0,0.0,12879,0.0,3,164.50534,8,0
61,182,255.4610806577917,442.32059514487077,183.0,114.0,0.0,12770,0.0,3,164.50534,8,1
62,175,383.02460292743694,442.3131423232638,183.0,114.0,0.0,12844,0.0,3,164.50534,8,2
63,183,510.58123874402946,442.33184558765953,183.0,114.0,0.0,12771,0.0,3,164.50534,8,3
64,184,638.4758809710258,442.3215348472984,183.0,114.0,0.0,12770,0.0,3,164.50534,8,4
65,176,766.0477339978197,442.3111664849712,183.0,114.0,0.0,12842,0.0,3,164.50534,8,5
66,177,894.0422808378588,442.12412723041115,183.0,114.0,0.0,12890,0.0,3,164.50534,8,6
67,178,1021.3776720237166,442.2029177718833,196.0,92.0,0.0,12818,0.0,2,126.06952,8,7
68,179,1149.0509068264964,442.3409356269946,208.0,71.0,0.0,12847,0.0,1,89.17112,8,8
69,185,1276.949684554872,442.3281408209362,208.0,71.0,0.0,12839,0.0,1,89.17112,8,9
70,186,1404.5186663536042,442.32362839477184,216.0,57.0,0.0,12777,0.0,1,69.184494,8,10
71,187,1532.4092083626967,442.3265993265993,208.0,71.0,0.0,12771,0.0,1,89.17112,8,11
