hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,12,296.4686396959001,102.59951126798805,0,107,17,11049,0.0,11,980.0,0,0
2,13,415.44955044955043,102.7663245845064,0,107,17,11011,0.0,11,980.0,0,1
3,14,534.0133369873024,102.76477573764501,0,107,17,10947,0.0,11,980.0,0,2
4,15,652.9019822782498,102.75966018087148,0,107,17,10947,0.0,11,980.0,0,3
5,16,771.4646684831971,102.77284287011807,0,107,17,11010,0.0,11,980.0,0,4
6,17,890.1356934838005,102.59719694211867,0,107,17,10988,0.0,11,980.0,0,5
7,18,1008.9335087082728,102.42761248185776,0,107,17,11024,0.0,11,980.0,0,6
8,19,1127.4993234100136,102.44366260712675,0,107,17,11085,0.0,11,980.0,0,7
9,23,1246.0608537693006,102.49019073569482,0,107,17,11010,0.0,11,980.0,0,8
10,24,1364.951642170205,102.43531119579023,0,107,17,11022,0.0,11,980.0,0,9
11,25,1483.5009922424679,102.43875157856756,0,107,17,11086,0.0,11,980.0,0,10
12,26,1839.5160970330958,102.43403372711697,0,107,17,11089,0.0,11,980.0,0,11
13,27,1957.9637489753165,102.62792604062301,0,107,17,10979,0.0,11,980.0,0,12
14,28,2076.9471953224925,102.77087520555455,0,107,17,10946,0.0,11,980.0,0,13
15,29,2195.501452960407,102.75953505266982,0,107,17,11012,0.0,11,980.0,0,14
16,30,2314.5109885140637,102.5712218504115,0,107,17,11057,0.0,11,980.0,0,15
17,45,118.58440739071654,205.18521856692203,0,107,17,11095,0.0,11,980.0,1,0
18,47,237.35768604019555,205.39588991490132,0,107,17,11046,0.0,11,980.0,1,1
19,48,356.0115110542664,205.55106888361044,0,107,17,10946,0.0,11,980.0,1,2
20,49,474.56583726843445,205.5518525245187,0,107,17,11012,0.0,11,980.0,1,3
21,50,593.4587230950867,205.538098265371,0,107,17,11011,0.0,11,980.0,1,4
22,51,712.0221044939715,205.5536170990135,0,107,17,10948,0.0,11,980.0,1,5
23,52,830.9061101470454,205.55731116996986,0,107,17,10949,0.0,11,980.0,1,6
24,53,949.4713468349833,205.548088275361,0,107,17,11011,0.0,11,980.0,1,7
25,54,1068.0293204238217,205.55316039459262,0,107,17,10948,0.0,11,980.0,1,8
26,55,1186.9157683171934,205.55234788964006,0,107,17,10946,0.0,11,980.0,1,9
27,56,1305.4831970935513,205.55177111716623,0,107,17,11010,0.0,11,980.0,1,10
28,57,1424.0373584216295,205.54229082937522,0,107,17,10948,0.0,11,980.0,1,11
29,58,1543.0423944687045,205.3616266375546,0,107,17,10992,0.0,11,980.0,1,12
30,46,1661.5070739839596,205.1790574029017,0,107,17,11097,0.0,11,980.0,1,13
31,59,1779.9584812892651,205.3979786943458,0,107,17,10983,0.0,11,980.0,1,14
32,60,1898.9332298136646,205.55443916697115,0,107,17,10948,0.0,11,980.0,1,15
33,61,2017.5002270869288,205.54746116813516,0,107,17,11009,0.0,11,980.0,1,16
34,62,2136.0621174751072,205.55613410066684,0,107,17,10947,0.0,11,980.0,1,17
35,63,2254.9412678114722,205.54338691998538,0,107,17,10948,0.0,11,980.0,1,18
36,64,2373.625870646766,205.35730438715512,0,107,17,11055,0.0,11,980.0,1,19
37,65,59.3509819893203,308.17974477328266,0,107,17,11049,0.0,11,980.0,2,0
38,66,178.00347127066777,308.3198136475747,0,107,17,10947,0.0,11,980.0,2,1
39,67,296.56198347107437,308.33920624829716,0,107,17,11011,0.0,11,980.0,2,2
40,68,415.4557260920897,308.3481064390155,0,107,17,11011,0.0,11,980.0,2,3
41,69,534.0137023842149,308.33041015803417,0,107,17,10947,0.0,11,980.0,2,4
42,70,652.9047227550927,308.3368959532292,0,107,17,10947,0.0,11,980.0,2,5
43,71,771.4630403196513,308.34262622593536,0,107,17,11012,0.0,11,980.0,2,6
44,72,890.0273109243698,308.3331202046036,0,107,17,10948,0.0,11,980.0,2,7
45,73,1008.9128528363935,308.3297707134375,0,107,17,10947,0.0,11,980.0,2,8
46,74,1127.4716672720667,308.3431710860879,0,107,17,11012,0.0,11,980.0,2,9
47,75,1246.0345300082215,308.3396364300722,0,107,17,10947,0.0,11,980.0,2,10
48,76,1364.923076923077,308.33446007674036,0,107,17,10946,0.0,11,980.0,2,11
49,77,1483.4836541954232,308.3419905557574,0,107,17,11012,0.0,11,980.0,2,12
50,78,1602.04174278407,308.33421629521376,0,107,17,10948,0.0,11,980.0,2,13
51,79,1720.9318534758381,308.3281264273317,0,107,17,10947,0.0,11,980.0,2,14
52,80,1839.491736287686,308.33490737377406,0,107,17,11012,0.0,11,980.0,2,15
53,81,1958.0504201680671,308.33458165875044,0,107,17,10948,0.0,11,980.0,2,16
54,82,2076.9440840566467,308.33787117405205,0,107,17,10945,0.0,11,980.0,2,17
55,83,2195.5020434111343,308.33947870311505,0,107,17,11011,0.0,11,980.0,2,18
56,84,2314.062477164779,308.3335769090245,0,107,17,10948,0.0,11,980.0,2,19
57,85,2433.3972317713046,308.1414872444364,0,107,17,11054,0.0,11,980.0,2,20
58,94,118.56787433033688,411.1195859438845,0,107,17,11013,0.0,11,980.0,3,0
59,95,237.44214350590372,411.11752951861945,0,107,17,11010,0.0,11,980.0,3,1
60,87,356.0076712328767,411.1116894977169,0,107,17,10950,0.0,11,980.0,3,2
61,96,474.5750090810025,411.1260443152924,0,107,17,11012,0.0,11,980.0,3,3
62,97,593.453719683895,411.11345262966665,0,107,17,11009,0.0,11,980.0,3,4
63,88,712.0151584330198,411.1061090311387,0,107,17,10951,0.0,11,980.0,3,5
64,98,830.9143144240431,411.11765780579157,0,107,17,10947,0.0,11,980.0,3,6
65,99,949.4623069936422,411.1089918256131,0,107,17,11010,0.0,11,980.0,3,7
66,89,1068.0260273972603,411.1104109589041,0,107,17,10950,0.0,11,980.0,3,8
67,100,1186.9220862257946,411.124497625137,0,107,17,10948,0.0,11,980.0,3,9
68,101,1305.4696157689164,411.1155418294123,0,107,17,11009,0.0,11,980.0,3,10
69,90,1424.0378116722989,411.10658507626266,0,107,17,10949,0.0,11,980.0,3,11
70,102,1542.9304895871392,411.1137194008038,0,107,17,10948,0.0,11,980.0,3,12
71,103,1661.4831501498775,411.11236261240805,0,107,17,11009,0.0,11,980.0,3,13
72,91,1780.0463055986847,411.09608183395744,0,107,17,10949,0.0,11,980.0,3,14
73,104,1898.9404457435148,411.1232188527585,0,107,17,10948,0.0,11,980.0,3,15
74,105,2017.4958670178944,411.1219910981924,0,107,17,11009,0.0,11,980.0,3,16
75,92,2136.053799780782,411.10275849470224,0,107,17,10948,0.0,11,980.0,3,17
76,106,2254.947204968944,411.1225794665692,0,107,17,10948,0.0,11,980.0,3,18
77,107,2373.504223816877,411.1114542646925,0,107,17,11009,0.0,11,980.0,3,19
78,93,2492.6098440457945,411.06355359235556,0,107,17,11093,0.0,11,980.0,3,20
79,109,59.44015619324374,513.8674173628768,0,107,17,11012,0.0,11,980.0,4,0
80,110,178.0042938059565,513.8681710213776,0,107,17,10946,0.0,11,980.0,4,1
81,111,296.5725183907002,513.8773953319408,0,107,17,11011,0.0,11,980.0,4,2
82,112,415.45296040682894,513.877224845623,0,107,17,11012,0.0,11,980.0,4,3
83,113,534.0168082579702,513.864437745501,0,107,17,10947,0.0,11,980.0,4,4
84,114,652.9081110705151,513.8706613080014,0,107,17,10948,0.0,11,980.0,4,5
85,115,771.4664850136239,513.8682107175296,0,107,17,11010,0.0,11,980.0,4,6
86,116,890.023933497762,513.8649858408696,0,107,17,10947,0.0,11,980.0,4,7
87,117,1008.9141160347191,513.8722704431248,0,107,17,10945,0.0,11,980.0,4,8
88,118,1127.4769775678867,513.8726727817636,0,107,17,11011,0.0,11,980.0,4,9
89,119,1246.0366243492556,513.8747830852133,0,107,17,10949,0.0,11,980.0,4,10
90,120,1364.926457153298,513.8686278092454,0,107,17,10946,0.0,11,980.0,4,11
91,121,1483.4769775678867,513.8726727817636,0,107,17,11011,0.0,11,980.0,4,12
92,122,1602.045213737669,513.8685604676654,0,107,17,10948,0.0,11,980.0,4,13
93,123,1720.9335038363172,513.8808914870295,0,107,17,10948,0.0,11,980.0,4,14
94,124,1839.488236897084,513.8712871287129,0,107,17,11009,0.0,11,980.0,4,15
95,125,1958.0556215179467,513.8731390994611,0,107,17,10949,0.0,11,980.0,4,16
96,126,2076.940999178007,513.8875696410631,0,107,17,10949,0.0,11,980.0,4,17
97,127,2195.505495503679,513.870651285312,0,107,17,11009,0.0,11,980.0,4,18
98,128,2314.0556215179467,513.8731390994611,0,107,17,10949,0.0,11,980.0,4,19
99,129,2433.2861164078818,513.8821392899301,0,107,17,11013,0.0,11,980.0,4,20
100,131,118.55722070844686,616.6499545867393,0,107,17,11010,0.0,11,980.0,5,0
101,132,237.45086285195276,616.6463215258856,0,107,17,11010,0.0,11,980.0,5,1
102,133,356.01443317803967,616.655065314698,0,107,17,10947,0.0,11,980.0,5,2
103,134,474.5735561205957,616.6483835815474,0,107,17,11012,0.0,11,980.0,5,3
104,135,593.4581289736603,616.6465031789282,0,107,17,11010,0.0,11,980.0,5,4
105,136,712.0187283025763,616.6585053900968,0,107,17,10946,0.0,11,980.0,5,5
106,137,830.9113993423456,616.6497990500548,0,107,17,10948,0.0,11,980.0,5,6
107,138,949.4674781976744,616.6483466569767,0,107,17,11008,0.0,11,980.0,5,7
108,139,1068.029782568975,616.6572263840673,0,107,17,10946,0.0,11,980.0,5,8
109,140,1186.9185239313117,616.6503470953598,0,107,17,10948,0.0,11,980.0,5,9
110,141,1305.4782490237035,616.6437199164471,0,107,17,11011,0.0,11,980.0,5,10
111,142,1424.0370911748585,616.6572263840673,0,107,17,10946,0.0,11,980.0,5,11
112,143,1542.9240043843624,616.659024479357,0,107,17,10948,0.0,11,980.0,5,12
113,144,1661.4853328489692,616.644264826083,0,107,17,11011,0.0,11,980.0,5,13
114,145,1780.046783625731,616.6592653508771,0,107,17,10944,0.0,11,980.0,5,14
115,146,1898.9391669711363,616.6555535257581,0,107,17,10948,0.0,11,980.0,5,15
116,147,2017.4973665092625,616.6478387213948,0,107,17,11012,0.0,11,980.0,5,16
117,148,2136.05718461679,616.6545172193295,0,107,17,10947,0.0,11,980.0,5,17
118,149,2254.946474241871,616.6553708439898,0,107,17,10948,0.0,11,980.0,5,18
119,150,2373.5078543539453,616.653500408608,0,107,17,11013,0.0,11,980.0,5,19
120,151,2492.6017491659904,616.6292489405824,0,107,17,11091,0.0,11,980.0,5,20
121,153,59.321095939958404,719.6359526177773,0,107,17,11059,0.0,11,980.0,6,0
122,154,178.0021010322463,719.4346396272952,0,107,17,10947,0.0,11,980.0,6,1
123,155,296.5613477431659,719.4347470711107,0,107,17,11011,0.0,11,980.0,6,2
124,156,415.4611333091173,719.4282600799128,0,107,17,11012,0.0,11,980.0,6,3
125,157,534.0095011876484,719.4291065229307,0,107,17,10946,0.0,11,980.0,6,4
126,158,652.9033436871916,719.4384249954321,0,107,17,10946,0.0,11,980.0,6,5
127,159,771.4673083908464,719.4482382855067,0,107,17,11012,0.0,11,980.0,6,6
128,160,890.0303307144162,719.4383336378586,0,107,17,10946,0.0,11,980.0,6,7
129,161,1008.911474511237,719.4388817832998,0,107,17,10946,0.0,11,980.0,6,8
130,162,1127.471304031965,719.4387940428624,0,107,17,11012,0.0,11,980.0,6,9
131,163,1246.0347127066777,719.4231296245547,0,107,17,10947,0.0,11,980.0,6,10
132,164,1364.9190497944267,719.4332571950663,0,107,17,10945,0.0,11,980.0,6,11
133,165,1483.4826991190628,719.4427390791027,0,107,17,11011,0.0,11,980.0,6,12
134,166,1602.0460358056266,719.4402630617465,0,107,17,10948,0.0,11,980.0,6,13
135,167,1720.930757285101,719.4433178039645,0,107,17,10947,0.0,11,980.0,6,14
136,168,1839.4907819453274,719.4433748070112,0,107,17,11011,0.0,11,980.0,6,15
137,169,1958.0500548045304,719.4307636097917,0,107,17,10948,0.0,11,980.0,6,16
138,170,2076.9387960171734,719.42431716452,0,107,17,10947,0.0,11,980.0,6,17
139,171,2195.498455949137,719.4376930063579,0,107,17,11010,0.0,11,980.0,6,18
140,172,2314.0667701863354,719.4376141761052,0,107,17,10948,0.0,11,980.0,6,19
141,173,2433.2815110788233,719.441699963676,0,107,17,11012,0.0,11,980.0,6,20
142,177,118.558935706502,822.2209407918634,0,107,17,11012,0.0,11,980.0,7,0
143,178,237.44831970935513,822.2272479564033,0,107,17,11010,0.0,11,980.0,7,1
144,179,356.0102320482368,822.2283025762836,0,107,17,10946,0.0,11,980.0,7,2
145,180,474.5683799491464,822.2201235016346,0,107,17,11012,0.0,11,980.0,7,3
146,181,593.45540417802,822.2277929155314,0,107,17,11010,0.0,11,980.0,7,4
147,182,712.0184508586043,822.2177566678846,0,107,17,10948,0.0,11,980.0,7,5
148,183,830.9136907480136,822.2147228057357,0,107,17,10949,0.0,11,980.0,7,6
149,184,949.4583673840008,822.2251884136929,0,107,17,11013,0.0,11,980.0,7,7
150,185,1068.0272245569158,822.2179791704732,0,107,17,10946,0.0,11,980.0,7,8
151,186,1186.9248195852745,822.2236229103864,0,107,17,10947,0.0,11,980.0,7,9
152,187,1305.4702570157115,822.2245935882299,0,107,17,11011,0.0,11,980.0,7,10
153,188,1424.034350447652,822.2185273159145,0,107,17,10946,0.0,11,980.0,7,11
154,189,1542.932955791012,822.2188527584947,0,107,17,10948,0.0,11,980.0,7,12
155,190,1661.4923719578642,822.2204867417363,0,107,17,11012,0.0,11,980.0,7,13
156,191,1780.042199488491,822.2188527584947,0,107,17,10948,0.0,11,980.0,7,14
157,192,1898.9420792983738,822.2190754613557,0,107,17,10946,0.0,11,980.0,7,15
158,193,2017.4985923167742,822.2264099536827,0,107,17,11011,0.0,11,980.0,7,16
159,194,2136.0528046775075,822.2291247944455,0,107,17,10946,0.0,11,980.0,7,17
160,195,2254.94920518911,822.219623606797,0,107,17,10946,0.0,11,980.0,7,18
161,196,2373.5065383218307,822.2215764620414,0,107,17,11012,0.0,11,980.0,7,19
162,197,2492.6019111151177,822.1804741729019,0,107,17,11093,0.0,11,980.0,7,20
163,198,59.23232960692391,925.0255138838803,0,107,17,11092,0.0,11,980.0,8,0
164,199,178.0048401826484,924.9868493150685,0,107,17,10950,0.0,11,980.0,8,1
165,213,296.573167408484,925.0079026251249,0,107,17,11009,0.0,11,980.0,8,2
166,200,415.44241598546773,924.9799273387829,0,107,17,11010,0.0,11,980.0,8,3
167,201,534.0158889599123,924.9910510455666,0,107,17,10951,0.0,11,980.0,8,4
168,214,652.90407454778,925.0073999634569,0,107,17,10946,0.0,11,980.0,8,5
169,202,771.4616712079927,924.9683015440509,0,107,17,11010,0.0,11,980.0,8,6
170,203,890.023196347032,924.9855707762557,0,107,17,10950,0.0,11,980.0,8,7
171,215,1008.914223074815,925.0026491276149,0,107,17,10947,0.0,11,980.0,8,8
172,204,1127.472842870118,924.9712079927339,0,107,17,11010,0.0,11,980.0,8,9
173,205,1246.0313213405168,924.9926034152132,0,107,17,10951,0.0,11,980.0,8,10
174,206,1364.9250228310502,924.9952511415526,0,107,17,10950,0.0,11,980.0,8,11
175,216,1483.4782411192878,924.9882801853366,0,107,17,11007,0.0,11,980.0,8,12
176,207,1602.0406355583964,924.9809149849328,0,107,17,10951,0.0,11,980.0,8,13
177,208,1720.9325052516213,924.9896794227783,0,107,17,10949,0.0,11,980.0,8,14
178,217,1839.49332243118,924.986190605978,0,107,17,11007,0.0,11,980.0,8,15
179,209,1958.051867409369,924.983837092503,0,107,17,10951,0.0,11,980.0,8,16
180,210,2076.9404566210046,924.9966210045662,0,107,17,10950,0.0,11,980.0,8,17
181,218,2195.5040428818024,924.9964568002181,0,107,17,11007,0.0,11,980.0,8,18
182,211,2314.0624714585806,924.9924193990319,0,107,17,10949,0.0,11,980.0,8,19
183,212,2433.28127837298,924.9822952605774,0,107,17,11014,0.0,11,980.0,8,20
184,223,118.5626589175445,1027.7454594987287,0,107,17,11012,0.0,11,980.0,9,0
185,224,237.45054945054946,1027.7588774861501,0,107,17,11011,0.0,11,980.0,9,1
186,225,356.00374531835206,1027.7584726409061,0,107,17,10947,0.0,11,980.0,9,2
187,226,474.5732449368813,1027.7569703024249,0,107,17,11011,0.0,11,980.0,9,3
188,227,593.457633275815,1027.7592407592408,0,107,17,11011,0.0,11,980.0,9,4
189,228,712.0202832343535,1027.756966651439,0,107,17,10945,0.0,11,980.0,9,5
190,229,830.9067239174127,1027.7446555819477,0,107,17,10946,0.0,11,980.0,9,6
191,230,949.4688039233494,1027.7576060303334,0,107,17,11011,0.0,11,980.0,9,7
192,231,1068.0292317529918,1027.7585639901342,0,107,17,10947,0.0,11,980.0,9,8
193,232,1186.9131268840779,1027.7507079565178,0,107,17,10947,0.0,11,980.0,9,9
194,233,1305.4775265595206,1027.7581948606194,0,107,17,11013,0.0,11,980.0,9,10
195,234,1424.0363569927833,1027.759112085503,0,107,17,10947,0.0,11,980.0,9,11
196,235,1542.9351361227846,1027.7523296181253,0,107,17,10946,0.0,11,980.0,9,12
197,236,1661.4856961220598,1027.7473435655254,0,107,17,11011,0.0,11,980.0,9,13
198,237,1780.0475972958159,1027.763201169377,0,107,17,10946,0.0,11,980.0,9,14
199,238,1898.9437340153452,1027.7537449762515,0,107,17,10948,0.0,11,980.0,9,15
200,239,2017.4969575878667,1027.7562437562437,0,107,17,11011,0.0,11,980.0,9,16
201,240,2136.0612039828266,1027.7608477208369,0,107,17,10947,0.0,11,980.0,9,17
202,241,2254.951036813739,1027.7602996254682,0,107,17,10947,0.0,11,980.0,9,18
203,242,2373.508991825613,1027.7521344232516,0,107,17,11010,0.0,11,980.0,9,19
204,243,2492.6077547339946,1027.7284941388639,0,107,17,11090,0.0,11,980.0,9,20
205,245,59.230658250676285,1130.5819657348964,0,107,17,11090,0.0,11,980.0,10,0
206,246,178.01023017902813,1130.5429302155644,0,107,17,10948,0.0,11,980.0,10,1
207,247,296.5603886669088,1130.5432255721032,0,107,17,11012,0.0,11,980.0,10,2
208,248,415.45568470759173,1130.5339629495097,0,107,17,11012,0.0,11,980.0,10,3
209,249,534.0151612019363,1130.539866654489,0,107,17,10949,0.0,11,980.0,10,4
210,250,652.8997990500548,1130.543204238217,0,107,17,10948,0.0,11,980.0,10,5
211,251,771.4634877384196,1130.5349682107176,0,107,17,11010,0.0,11,980.0,10,6
212,252,890.0261234928754,1130.5441176470588,0,107,17,10948,0.0,11,980.0,10,7
213,253,1008.9141395688711,1130.544208987943,0,107,17,10948,0.0,11,980.0,10,8
214,254,1127.4753428389793,1130.5386431750069,0,107,17,11011,0.0,11,980.0,10,9
215,255,1246.0341583706274,1130.5382226687368,0,107,17,10949,0.0,11,980.0,10,10
216,256,1364.9188967028952,1130.541053977532,0,107,17,10949,0.0,11,980.0,10,11
217,257,1483.4881925522252,1130.5346957311535,0,107,17,11010,0.0,11,980.0,10,12
218,258,1602.0422946926099,1130.5392344934685,0,107,17,10947,0.0,11,980.0,10,13
219,259,1720.9300328827183,1130.545213737669,0,107,17,10948,0.0,11,980.0,10,14
220,260,1839.4983198619561,1130.539369721188,0,107,17,11011,0.0,11,980.0,10,15
221,261,1958.0542614414908,1130.5372248104504,0,107,17,10947,0.0,11,980.0,10,16
222,262,2076.9378938715863,1130.53940999178,0,107,17,10949,0.0,11,980.0,10,17
223,263,2195.5029059208136,1130.53614239012,0,107,17,11012,0.0,11,980.0,10,18
224,264,2314.0630309673884,1130.5365853658536,0,107,17,10947,0.0,11,980.0,10,19
225,265,2433.3725898433963,1130.6970218158776,0,107,17,11047,0.0,11,980.0,10,20
