hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.19893992436502,5,,0,0
2,13,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.19893992436502,5,,0,1
3,16,1213.0317116559672,110.21084383943074,64.0,123.0,0.0,12929,0.0,8,670.8021,0,2
4,17,1340.585335510458,110.1985071145323,64.0,123.0,0.0,12861,0.0,8,670.8021,0,3
5,18,1468.4919524142758,110.20814866651116,64.0,123.0,0.0,12861,0.0,8,670.8021,0,4
6,19,1596.0520494972932,110.22095901005414,48.0,118.0,0.0,12930,0.0,8,720.5882,0,5
7,21,1723.6066096423017,110.2097200622084,48.0,118.0,0.0,12860,0.0,8,720.5882,0,6
8,22,1851.506414742244,110.20667133193375,48.0,118.0,0.0,12861,0.0,8,720.5882,0,7
9,23,1979.0711523588554,110.2200309358082,48.0,118.0,0.0,12930,0.0,8,720.5882,0,8
10,26,2106.958939065883,110.20491803278688,35.0,115.0,0.0,12932,0.0,9,767.754,0,9
11,28,2234.520758824444,110.20307883688385,48.0,118.0,0.0,12862,0.0,8,720.5882,0,10
12,29,2362.0934962493234,110.21552857474286,48.0,118.0,0.0,12931,0.0,8,720.5882,0,11
13,30,2489.976103936277,110.21900858402289,48.0,118.0,0.0,12931,0.0,8,720.5882,0,12
14,32,2617.547978227061,110.21718506998445,48.0,118.0,0.0,12860,0.0,8,720.5882,0,13
15,33,2745.4466728855723,110.21937189054727,48.0,118.0,0.0,12864,0.0,8,720.5882,0,14
16,34,2873.0211316665377,110.17191733106277,157.0,146.0,0.0,12919,0.0,5,421.87167,0,15
17,35,3000.544055944056,110.25229215229216,191.0,101.0,0.0,12870,0.0,2,241.06952,0,16
18,39,3128.465282637431,110.20744887644818,191.0,101.0,0.0,12861,0.0,2,241.06952,0,17
19,41,3256.0292343387473,110.21484918793503,191.0,101.0,0.0,12930,0.0,2,241.06952,0,18
20,43,3383.5886149778366,110.21541332918578,191.0,101.0,0.0,12859,0.0,2,241.06952,0,19
21,44,3511.487209392738,110.20760438535106,191.0,101.0,0.0,12861,0.0,2,241.06952,0,20
22,46,3639.0532910511256,110.21687678861474,191.0,101.0,0.0,12929,0.0,2,241.06952,0,21
23,48,3766.937504834094,110.21587129708408,191.0,101.0,0.0,12929,0.0,2,241.06952,0,22
24,59,383.04516627996907,220.80185614849188,0.0,107.0,7.0,12930,0.0,11,932.8342,2,0
25,60,510.9365091640244,220.80504214677904,0.0,107.0,7.0,12931,0.0,11,932.8342,2,1
