hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3792.7245660294443,27.623709074928588,242.0,240.0,239.0,9102,108.32358930537707,23,,0,0
2,5,1493.0345532066087,103.07230413927873,69.0,125.0,0.0,11258,1.7320508075688772,33,266.02941176470586,1,0
3,6,1612.511123023318,103.06736353077817,69.0,125.0,0.0,11193,1.7320508075688772,33,266.02941176470586,1,1
4,7,1731.9960042621203,103.08488723139762,39.0,116.0,0.0,11262,1.4142135623730951,39,313.67647058823525,1,2
5,8,1851.4692273336311,103.07574810183118,20.0,111.0,0.0,11195,0.0,43,345.4411764705883,1,3
6,9,1970.6324251898168,103.07824921840107,20.0,111.0,0.0,11195,0.0,43,345.4411764705883,1,4
7,10,2090.43808077198,103.07764474624732,39.0,116.0,0.0,11192,1.4142135623730951,39,313.67647058823525,1,5
8,11,2209.583221656392,103.07343875636559,39.0,116.0,0.0,11193,1.4142135623730951,39,313.67647058823525,1,6
9,12,2329.3998570662857,103.07932821154189,20.0,111.0,0.0,11194,0.0,43,345.4411764705883,1,7
10,13,2448.5502054672147,103.0764695372521,20.0,111.0,0.0,11194,0.0,43,345.4411764705883,1,8
11,14,2568.0257594599398,103.06573103570794,20.0,111.0,0.0,11258,0.0,43,345.4411764705883,1,9
12,15,2687.524647258439,103.0851937846044,20.0,111.0,0.0,11198,0.0,43,345.4411764705883,1,10
13,16,2806.9616204690833,103.08333333333333,69.0,125.0,0.0,11256,1.7320508075688772,33,266.02941176470586,1,11
14,17,3165.099209521272,103.07611688427036,69.0,125.0,0.0,11259,1.7320508075688772,33,266.02941176470586,1,12
15,18,3284.588566324252,103.0820902188477,69.0,125.0,0.0,11195,1.7320508075688772,33,266.02941176470586,1,13
16,19,3404.2749125482105,103.27249080635035,91.0,132.0,0.0,11149,2.23606797749979,30,242.2058823529412,1,14
17,20,3523.6128772275456,103.25718635264619,69.0,125.0,0.0,11167,1.7320508075688772,33,266.02941176470586,1,15
18,21,3643.020339284128,103.0821564970246,69.0,125.0,0.0,11259,1.7320508075688772,33,266.02941176470586,1,16
19,86,1433.006600071352,206.72654298965395,69.0,125.0,0.0,11212,1.7320508075688772,33,266.02941176470586,2,0
20,87,1552.5826282628263,206.8768676867687,69.0,125.0,0.0,11110,1.7320508075688772,33,266.02941176470586,2,1
21,88,1672.3727640449438,206.90768539325842,39.0,116.0,0.0,11125,1.4142135623730951,39,313.67647058823525,2,2
22,89,1791.520460473064,206.9088946847738,20.0,111.0,0.0,11119,0.0,43,345.4411764705883,2,3
23,90,1911.0299722644718,206.88717902836183,20.0,111.0,0.0,11177,0.0,43,345.4411764705883,2,4
24,91,2030.5298561151078,206.86906474820145,20.0,111.0,0.0,11120,0.0,43,345.4411764705883,2,5
25,92,2149.979149888143,206.86863534675615,39.0,116.0,0.0,11175,1.4142135623730951,39,313.67647058823525,2,6
26,93,2269.449289696098,206.91188635137564,20.0,111.0,0.0,11122,0.0,43,345.4411764705883,2,7
27,94,2388.6133561335614,206.88236882368824,20.0,111.0,0.0,11111,0.0,43,345.4411764705883,2,8
28,95,2508.436285097192,206.88408927285818,20.0,111.0,0.0,11112,0.0,43,345.4411764705883,2,9
29,96,2627.582380995231,206.89156843336633,20.0,111.0,0.0,11113,0.0,43,345.4411764705883,2,10
30,97,2747.412675549154,206.89476053294922,69.0,125.0,0.0,11108,1.7320508075688772,33,266.02941176470586,2,11
31,98,2866.662634408602,206.6741935483871,69.0,125.0,0.0,11160,1.7320508075688772,33,266.02941176470586,2,12
32,99,2986.034194866329,206.52118305355717,69.0,125.0,0.0,11259,1.7320508075688772,33,266.02941176470586,2,13
33,100,3105.406064956038,206.72931993540283,69.0,125.0,0.0,11146,1.7320508075688772,33,266.02941176470586,2,14
34,101,3224.9731567644953,206.87553686471009,69.0,125.0,0.0,11176,1.7320508075688772,33,266.02941176470586,2,15
35,102,3344.4676084218104,206.89580709015655,91.0,132.0,0.0,11114,2.23606797749979,30,242.2058823529412,2,16
36,103,3463.609630963096,206.87569756975697,91.0,132.0,0.0,11110,2.23606797749979,30,242.2058823529412,2,17
37,104,3583.4258975974085,206.88167011608027,69.0,125.0,0.0,11113,1.7320508075688772,33,266.02941176470586,2,18
38,105,3702.685158630579,206.6935830794049,69.0,125.0,0.0,11158,1.7320508075688772,33,266.02941176470586,2,19
39,106,3822.4122901036085,206.51777420507324,69.0,125.0,0.0,11196,1.7320508075688772,33,266.02941176470586,2,20
40,107,1373.1142627776292,310.1519043796271,69.0,125.0,0.0,11211,1.7320508075688772,33,266.02941176470586,3,0
41,108,1493.022166607079,310.2534858777261,39.0,116.0,0.0,11188,1.4142135623730951,39,313.67647058823525,3,1
42,109,1612.4933381346777,310.30599567879005,69.0,125.0,0.0,11108,1.7320508075688772,33,266.02941176470586,3,2
43,110,1731.9444891391795,310.34531152230267,39.0,116.0,0.0,11187,1.4142135623730951,39,313.67647058823525,3,3
44,111,1851.454373650108,310.3166846652268,20.0,111.0,0.0,11112,0.0,43,345.4411764705883,3,4
45,112,1970.6030060300602,310.3081630816308,20.0,111.0,0.0,11111,0.0,43,345.4411764705883,3,5
46,113,2090.4144541445417,310.29988299883,39.0,116.0,0.0,11111,1.4142135623730951,39,313.67647058823525,3,6
47,114,2209.5647556475565,310.30942309423097,39.0,116.0,0.0,11111,1.4142135623730951,39,313.67647058823525,3,7
48,115,2329.370713707137,310.3080730807308,20.0,111.0,0.0,11111,0.0,43,345.4411764705883,3,8
49,116,2448.5236252362524,310.3121231212312,20.0,111.0,0.0,11111,0.0,43,345.4411764705883,3,9
50,117,2568.0050988460507,310.30807764558546,20.0,111.0,0.0,11179,0.0,43,345.4411764705883,3,10
51,118,2687.5219306129784,310.2878842351249,39.0,116.0,0.0,11126,1.4142135623730951,39,313.67647058823525,3,11
52,119,2806.642040853055,310.3183658778008,69.0,125.0,0.0,11113,1.7320508075688772,33,266.02941176470586,3,12
53,120,2926.4494240460763,310.31416486681064,69.0,125.0,0.0,11112,1.7320508075688772,33,266.02941176470586,3,13
54,121,3045.59805598056,310.3087030870309,69.0,125.0,0.0,11111,1.7320508075688772,33,266.02941176470586,3,14
55,122,3165.407037437005,310.30642548596114,69.0,125.0,0.0,11112,1.7320508075688772,33,266.02941176470586,3,15
56,123,3284.5865479723047,310.265443755058,69.0,125.0,0.0,11121,1.7320508075688772,33,266.02941176470586,3,16
57,124,3404.364528030235,310.3097273463511,91.0,132.0,0.0,11113,2.23606797749979,30,242.2058823529412,3,17
58,125,3523.5154759762463,310.3060104372863,69.0,125.0,0.0,11114,1.7320508075688772,33,266.02941176470586,3,18
59,126,3642.9952581193525,310.30866958933524,69.0,125.0,0.0,11177,1.7320508075688772,33,266.02941176470586,3,19
60,127,3762.4780887249167,310.31908575542155,69.0,125.0,0.0,11113,1.7320508075688772,33,266.02941176470586,3,20
61,128,3882.089556228836,310.123685617537,69.0,125.0,0.0,11222,1.7320508075688772,33,266.02941176470586,3,21
62,136,1313.406841729189,413.79805287602716,69.0,125.0,0.0,11196,1.7320508075688772,33,266.02941176470586,4,0
63,138,1433.4264123785533,413.7461317020511,39.0,116.0,0.0,11116,1.4142135623730951,39,313.67647058823525,4,1
64,139,1552.6094227656897,413.7213630641971,39.0,116.0,0.0,11122,1.4142135623730951,39,313.67647058823525,4,2
65,140,1672.3878433138227,413.743719045475,69.0,125.0,0.0,11105,1.7320508075688772,33,266.02941176470586,4,3
66,141,1791.54359758841,413.7582111041123,20.0,111.0,0.0,11113,0.0,43,345.4411764705883,4,4
67,142,1911.0255813953488,413.7540250447227,2.0,108.0,0.0,11180,0.0,46,369.2647058823529,4,5
68,143,2030.528629213483,413.7324943820225,2.0,108.0,0.0,11125,0.0,46,369.2647058823529,4,6
69,144,2149.992751029175,413.75442992661533,39.0,116.0,0.0,11174,1.4142135623730951,39,313.67647058823525,4,7
70,145,2269.467572186741,413.76072681478814,2.0,108.0,0.0,11117,0.0,46,369.2647058823529,4,8
71,146,2388.6174061740617,413.7690576905769,20.0,111.0,0.0,11111,0.0,43,345.4411764705883,4,9
72,147,2508.4384276333544,413.7681928577854,0.0,107.0,15.0,11117,0.0,50,401.02941176470586,4,10
73,148,2627.5842555105714,413.78587494376967,39.0,116.0,0.0,11115,1.4142135623730951,39,313.67647058823525,4,11
74,149,2747.390298776098,413.7643088552916,69.0,125.0,0.0,11112,1.7320508075688772,33,266.02941176470586,4,12
75,150,2866.541265412654,413.76833768337684,69.0,125.0,0.0,11111,1.7320508075688772,33,266.02941176470586,4,13
76,151,2986.023803131991,413.7608053691275,69.0,125.0,0.0,11175,1.7320508075688772,33,266.02941176470586,4,14
77,152,3105.5095358042463,413.78121626484347,69.0,125.0,0.0,11116,1.7320508075688772,33,266.02941176470586,4,15
78,153,3224.959413552655,413.79751475058106,69.0,125.0,0.0,11186,1.7320508075688772,33,266.02941176470586,4,16
79,154,3344.4869166441867,413.735365524683,69.0,125.0,0.0,11121,1.7320508075688772,33,266.02941176470586,4,17
80,155,3463.6021234479035,413.7551736548497,69.0,125.0,0.0,11114,1.7320508075688772,33,266.02941176470586,4,18
81,156,3583.4220802591326,413.7796472917042,69.0,125.0,0.0,11114,1.7320508075688772,33,266.02941176470586,4,19
82,157,3702.576403887689,413.77276817854573,69.0,125.0,0.0,11112,1.7320508075688772,33,266.02941176470586,4,20
83,158,3822.385799136069,413.763588912887,69.0,125.0,0.0,11112,1.7320508075688772,33,266.02941176470586,4,21
84,137,3942.073370047966,413.7166459406644,69.0,125.0,0.0,11258,1.7320508075688772,33,266.02941176470586,4,22
85,159,418.04404191085064,516.826940152726,0.0,107.0,15.0,11262,0.0,50,401.02941176470586,5,0
86,160,537.5135787028765,516.8383955690548,0.0,107.0,15.0,11194,0.0,50,401.02941176470586,5,1
87,161,657.00435091458,516.82614100515,0.0,107.0,15.0,11262,0.0,50,401.02941176470586,5,2
88,162,776.4751652671074,516.8342862247632,0.0,107.0,15.0,11194,0.0,50,401.02941176470586,5,3
89,163,895.630347414486,516.8345092435474,0.0,107.0,15.0,11197,0.0,50,401.02941176470586,5,4
90,164,1015.4455162558056,516.8191318327974,0.0,107.0,15.0,11196,0.0,50,401.02941176470586,5,5
91,165,1134.9208703374777,516.8294849023091,0.0,107.0,15.0,11260,0.0,50,401.02941176470586,5,6
92,166,1373.0729426433916,517.3972212326327,39.0,116.0,0.0,11228,1.4142135623730951,39,313.67647058823525,5,7
93,167,1493.0250312891114,517.1703021634186,20.0,111.0,0.0,11186,0.0,43,345.4411764705883,5,8
94,168,1612.5212115764875,517.1211576487507,20.0,111.0,0.0,11126,0.0,43,345.4411764705883,5,9
95,169,1731.9593917710197,517.175939177102,20.0,111.0,0.0,11180,0.0,43,345.4411764705883,5,10
96,170,1851.4471742260619,517.1859251259899,2.0,108.0,0.0,11112,0.0,46,369.2647058823529,5,11
97,171,1970.6015477368846,517.193287141186,2.0,108.0,0.0,11113,0.0,46,369.2647058823529,5,12
98,172,2090.443185904351,517.1573175116864,2.0,108.0,0.0,11124,0.0,46,369.2647058823529,5,13
99,173,2209.559363194819,517.1841158481741,2.0,108.0,0.0,11118,0.0,46,369.2647058823529,5,14
