hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,3792.7245660294443,27.623709074928588,242.0,240.0,239.0,9102,107.5220907534819,5,,0,0
2,5,1493.0317079669599,103.06812327915445,0.0,107.0,7.0,11259,0.0,11,932.8342,1,0
3,6,1612.5127747007325,103.07227085938896,0.0,107.0,7.0,11194,0.0,11,932.8342,1,1
4,7,1731.9942288910593,103.08008523483974,0.0,107.0,7.0,11263,0.0,11,932.8342,1,2
5,8,1851.4692273336311,103.07574810183118,0.0,107.0,7.0,11195,0.0,11,932.8342,1,3
6,9,1970.6324251898168,103.07824921840107,5.0,109.0,0.0,11195,0.0,10,883.04816,1,4
7,10,2090.4370588760835,103.07236665773252,5.0,109.0,0.0,11193,0.0,10,883.04816,1,5
8,11,2209.583117463153,103.07351496203663,5.0,109.0,0.0,11195,0.0,10,883.04816,1,6
9,12,2329.3998570662857,103.07932821154189,5.0,109.0,0.0,11194,0.0,10,883.04816,1,7
10,13,2448.5502054672147,103.0764695372521,5.0,109.0,0.0,11194,0.0,10,883.04816,1,8
11,14,2568.032856762277,103.07912263564515,5.0,109.0,0.0,11261,0.0,10,883.04816,1,9
12,15,2687.5224147169138,103.06840507233434,35.0,115.0,0.0,11198,0.0,9,767.754,1,10
13,16,2806.997070052384,103.08949658172779,48.0,118.0,0.0,11263,0.0,8,720.5882,1,11
14,17,3165.099209521272,103.07611688427036,64.0,123.0,0.0,11259,0.0,8,670.8021,1,12
15,18,3284.583221656392,103.07343875636559,64.0,123.0,0.0,11193,0.0,8,670.8021,1,13
16,19,3404.2749125482105,103.27249080635035,64.0,123.0,0.0,11149,0.0,8,670.8021,1,14
17,20,3523.6323951237005,103.2276801721047,64.0,123.0,0.0,11156,0.0,8,670.8021,1,15
18,21,3643.034268465909,103.10324928977273,64.0,123.0,0.0,11264,0.0,8,670.8021,1,16
19,86,1433.011949349028,206.73515248796147,0.0,107.0,7.0,11214,0.0,11,932.8342,2,0
20,87,1552.5824858248582,206.88263882638827,0.0,107.0,7.0,11111,0.0,11,932.8342,2,1
21,88,1672.4008457800971,206.88653949973008,0.0,107.0,7.0,11114,0.0,11,932.8342,2,2
22,89,1791.5470747074708,206.8867686768677,0.0,107.0,7.0,11110,0.0,11,932.8342,2,3
23,90,1911.0299722644718,206.88717902836183,0.0,107.0,7.0,11177,0.0,11,932.8342,2,4
24,91,2030.509089272858,206.88633909287256,5.0,109.0,0.0,11112,0.0,10,883.04816,2,5
25,92,2149.979149888143,206.86863534675615,5.0,109.0,0.0,11175,0.0,10,883.04816,2,6
26,93,2269.4676084218104,206.89580709015655,5.0,109.0,0.0,11114,0.0,10,883.04816,2,7
27,94,2388.6133561335614,206.88236882368824,5.0,109.0,0.0,11111,0.0,10,883.04816,2,8
28,95,2508.436285097192,206.88408927285818,5.0,109.0,0.0,11112,0.0,10,883.04816,2,9
29,96,2627.582380995231,206.89156843336633,35.0,115.0,0.0,11113,0.0,9,767.754,2,10
30,97,2747.3959870433687,206.88806910203348,48.0,118.0,0.0,11114,0.0,8,720.5882,2,11
31,98,2866.6589015321206,206.67789624585612,48.0,118.0,0.0,11161,0.0,8,720.5882,2,12
32,99,2986.0392539964478,206.5240674955595,48.0,118.0,0.0,11260,0.0,8,720.5882,2,13
33,100,3105.406064956038,206.72931993540283,64.0,123.0,0.0,11146,0.0,8,670.8021,2,14
34,101,3224.981932021467,206.8938282647585,64.0,123.0,0.0,11180,0.0,8,670.8021,2,15
35,102,3344.436724788783,206.94840913176344,64.0,123.0,0.0,11126,0.0,8,670.8021,2,16
36,103,3463.610296102961,206.88119881198813,64.0,123.0,0.0,11111,0.0,8,670.8021,2,17
37,104,3583.438118366613,206.90393955747436,64.0,123.0,0.0,11118,0.0,8,670.8021,2,18
38,105,3703.0335175610626,206.70903904439294,104.0,136.0,0.0,11218,0.0,6,560.74866,2,19
39,106,1373.112201212986,310.1472529432751,0.0,107.0,7.0,11212,0.0,11,932.8342,3,0
40,107,1493.0059949892627,310.3069971367215,0.0,107.0,7.0,11176,0.0,11,932.8342,3,1
41,108,1612.4906407487401,310.30444564434845,0.0,107.0,7.0,11112,0.0,11,932.8342,3,2
42,109,1731.969762032564,310.307389515119,0.0,107.0,7.0,11178,0.0,11,932.8342,3,3
43,110,1851.4575722127238,310.3207054800684,0.0,107.0,7.0,11113,0.0,11,932.8342,3,4
44,111,1970.6030060300602,310.3081630816308,5.0,109.0,0.0,11111,0.0,10,883.04816,3,5
45,112,2090.4113200755874,310.3098173310537,5.0,109.0,0.0,11113,0.0,10,883.04816,3,6
46,113,2209.566414686825,310.3143448524118,5.0,109.0,0.0,11112,0.0,10,883.04816,3,7
47,114,2329.370713707137,310.3080730807308,5.0,109.0,0.0,11111,0.0,10,883.04816,3,8
48,115,2448.5236252362524,310.3121231212312,5.0,109.0,0.0,11111,0.0,10,883.04816,3,9
49,116,2568.0309287565924,310.28130866183966,5.0,109.0,0.0,11187,0.0,10,883.04816,3,10
50,117,2687.4963562753037,310.31776878092666,48.0,118.0,0.0,11115,0.0,8,720.5882,3,11
51,118,2806.6262589928056,310.3384892086331,48.0,118.0,0.0,11120,0.0,8,720.5882,3,12
52,119,2926.4540628093223,310.3109871321875,48.0,118.0,0.0,11113,0.0,8,720.5882,3,13
53,120,3045.617660282349,310.2925096663969,48.0,118.0,0.0,11121,0.0,8,720.5882,3,14
54,121,3165.419897454349,310.3283259872268,64.0,123.0,0.0,11117,0.0,8,670.8021,3,15
55,122,3284.565511031067,310.33417379558756,104.0,136.0,0.0,11105,0.0,6,560.74866,3,16
56,123,3404.3257255818135,310.3812561775541,64.0,123.0,0.0,11129,0.0,8,670.8021,3,17
57,124,3523.5288349077823,310.327665317139,64.0,123.0,0.0,11115,0.0,8,670.8021,3,18
58,125,3643.006354604851,310.32560637250515,104.0,136.0,0.0,11173,0.0,6,560.74866,3,19
59,126,3762.5954834662602,310.11676673537056,104.0,136.0,0.0,11159,0.0,6,560.74866,3,20
60,127,3881.9907629451995,309.96553868016696,104.0,136.0,0.0,11259,0.0,6,560.74866,3,21
61,135,1313.4065904625827,413.79817824611536,0.0,107.0,7.0,11198,0.0,11,932.8342,4,0
62,137,1433.4393953027986,413.76801943669574,0.0,107.0,7.0,11113,0.0,11,932.8342,4,1
63,138,1552.5853504904167,413.766849635562,0.0,107.0,7.0,11113,0.0,11,932.8342,4,2
64,139,1672.3921533339333,413.76909925312697,5.0,109.0,0.0,11113,0.0,10,883.04816,4,3
65,140,1791.5481054810548,413.7673476734767,0.0,107.0,7.0,11111,0.0,11,932.8342,4,4
66,141,1911.0216535433071,413.76539012168934,5.0,109.0,0.0,11176,0.0,10,883.04816,4,5
67,142,2030.5094475436385,413.78126687061365,5.0,109.0,0.0,11114,0.0,10,883.04816,4,6
68,143,2149.989977628635,413.7586577181208,5.0,109.0,0.0,11175,0.0,10,883.04816,4,7
69,144,2269.4718322534195,413.7751079913607,5.0,109.0,0.0,11112,0.0,10,883.04816,4,8
70,145,2388.6185205183583,413.7742980561555,5.0,109.0,0.0,11112,0.0,10,883.04816,4,9
71,146,2508.4353576248313,413.7769680611786,5.0,109.0,0.0,11115,0.0,10,883.04816,4,10
72,147,2627.585732277798,413.7808564231738,35.0,115.0,0.0,11116,0.0,9,767.754,4,11
73,148,2747.390298776098,413.7643088552916,64.0,123.0,0.0,11112,0.0,8,670.8021,4,12
74,149,2866.5250899280577,413.8,48.0,118.0,0.0,11120,0.0,8,720.5882,4,13
75,150,2986.0222758990876,413.7715154768295,48.0,118.0,0.0,11178,0.0,8,720.5882,4,14
76,151,3105.5067938450466,413.7769279222532,64.0,123.0,0.0,11113,0.0,8,670.8021,4,15
77,152,3224.9923001163934,413.7488584474886,104.0,136.0,0.0,11169,0.0,6,560.74866,4,16
78,153,3344.4623694634497,413.77394670507744,104.0,136.0,0.0,11108,0.0,6,560.74866,4,17
79,154,3463.5816189021652,413.85634713862186,64.0,123.0,0.0,11131,0.0,8,670.8021,4,18
80,155,3583.439953186892,413.79861361181133,104.0,136.0,0.0,11108,0.0,6,560.74866,4,19
81,156,3702.576403887689,413.77276817854573,104.0,136.0,0.0,11112,0.0,6,560.74866,4,20
82,157,3822.385799136069,413.763588912887,104.0,136.0,0.0,11112,0.0,6,560.74866,4,21
83,136,3942.073370047966,413.7166459406644,104.0,136.0,0.0,11258,0.0,6,560.74866,4,22
84,158,418.04404191085064,516.826940152726,0.0,107.0,17.0,11262,0.0,11,980.0,5,0
85,159,537.5135787028765,516.8383955690548,0.0,107.0,17.0,11194,0.0,11,980.0,5,1
86,160,657.00435091458,516.82614100515,0.0,107.0,17.0,11262,0.0,11,980.0,5,2
87,161,776.4751652671074,516.8342862247632,0.0,107.0,17.0,11194,0.0,11,980.0,5,3
88,162,895.630347414486,516.8345092435474,0.0,107.0,17.0,11197,0.0,11,980.0,5,4
89,163,1015.4455162558056,516.8191318327974,0.0,107.0,17.0,11196,0.0,11,980.0,5,5
90,164,1134.9208703374777,516.8294849023091,0.0,107.0,17.0,11260,0.0,11,980.0,5,6
91,165,1373.0807126948775,517.4101559020045,0.0,107.0,7.0,11225,0.0,11,932.8342,5,7
92,166,1493.0123456790122,517.2054929325461,0.0,107.0,7.0,11178,0.0,11,932.8342,5,8
93,167,1612.4907307415406,517.181875449964,0.0,107.0,7.0,11112,0.0,11,932.8342,5,9
94,168,1731.9720855327905,517.1978169455131,0.0,107.0,7.0,11177,0.0,11,932.8342,5,10
95,169,1851.453915391539,517.1937893789379,5.0,109.0,0.0,11110,0.0,10,883.04816,5,11
96,170,1970.6015477368846,517.193287141186,0.0,107.0,7.0,11113,0.0,11,932.8342,5,12
97,171,2090.410494104941,517.1973719737198,5.0,109.0,0.0,11111,0.0,10,883.04816,5,13
98,172,2209.564344852412,517.1929445644348,5.0,109.0,0.0,11112,0.0,10,883.04816,5,14
99,173,2329.379263792638,517.1961119611196,5.0,109.0,0.0,11111,0.0,10,883.04816,5,15
100,174,2448.5249280057596,517.2013138948884,5.0,109.0,0.0,11112,0.0,10,883.04816,5,16
101,175,2568.0124351404543,517.2113079262838,35.0,115.0,0.0,11178,0.0,9,767.754,5,17
102,176,2687.4833483348334,517.1825382538253,64.0,123.0,0.0,11110,0.0,8,670.8021,5,18
103,177,2806.6410441044104,517.2009900990099,64.0,123.0,0.0,11110,0.0,8,670.8021,5,19
104,178,2926.4461344613446,517.1874718747188,48.0,118.0,0.0,11111,0.0,8,720.5882,5,20
105,179,3045.6144719101126,517.187595505618,48.0,118.0,0.0,11125,0.0,8,720.5882,5,21
106,180,3165.4110412926393,517.1921005385997,64.0,123.0,0.0,11140,0.0,8,670.8021,5,22
107,181,3284.5952038800074,517.1370576612179,64.0,123.0,0.0,11134,0.0,8,670.8021,5,23
108,182,3404.367179764155,517.2055090467189,104.0,136.0,0.0,11109,0.0,6,560.74866,5,24
109,183,3523.5190489057013,517.1870665585877,104.0,136.0,0.0,11103,0.0,6,560.74866,5,25
110,184,3642.9990152193377,517.1660698299015,104.0,136.0,0.0,11170,0.0,6,560.74866,5,26
111,185,3762.471319225574,517.1627194957226,104.0,136.0,0.0,11105,0.0,6,560.74866,5,27
112,186,3881.950299991045,517.1805319244202,104.0,136.0,0.0,11167,0.0,6,560.74866,5,28
113,188,238.65130815251362,620.2757389052593,0.0,107.0,17.0,11199,0.0,11,980.0,6,0
114,189,358.34711633330346,620.4866804197686,0.0,107.0,17.0,11149,0.0,11,980.0,6,1
115,190,477.60064788985875,620.646540088185,0.0,107.0,17.0,11113,0.0,11,980.0,6,2
116,191,597.4018178545716,620.6519078473722,0.0,107.0,17.0,11112,0.0,11,980.0,6,3
117,192,716.5480561555075,620.6505579553635,0.0,107.0,17.0,11112,0.0,11,980.0,6,4
118,193,836.0315855404438,620.6427165354331,0.0,107.0,17.0,11176,0.0,11,980.0,6,5
119,194,955.513138948884,620.6600071994241,0.0,107.0,17.0,11112,0.0,11,980.0,6,6
120,195,1074.9940055471056,620.6559005099758,0.0,107.0,17.0,11177,0.0,11,980.0,6,7
121,196,1194.9056956948034,620.409573045726,0.0,107.0,17.0,11219,0.0,11,980.0,6,8
122,197,1433.1143291320282,620.7211048538483,0.0,107.0,17.0,11187,0.0,11,980.0,6,9
123,198,1552.5923692972194,620.647439935211,0.0,107.0,17.0,11113,0.0,11,980.0,6,10
124,199,1672.4011340113402,620.6573665736657,0.0,107.0,17.0,11111,0.0,11,980.0,6,11
125,200,1791.544227481328,620.6469000269954,0.0,107.0,17.0,11113,0.0,11,980.0,6,12
126,201,1911.0322984700724,620.6547374071755,0.0,107.0,7.0,11177,0.0,11,932.8342,6,13
127,202,2030.5067038603438,620.6544587420138,0.0,107.0,7.0,11113,0.0,11,932.8342,6,14
128,203,2149.9905162387045,620.646237809788,0.0,107.0,7.0,11177,0.0,11,932.8342,6,15
129,204,2269.465790421318,620.6299963989917,5.0,109.0,0.0,11108,0.0,10,883.04816,6,16
130,205,2388.620770338373,620.6510079193664,5.0,109.0,0.0,11112,0.0,10,883.04816,6,17
131,206,2508.452804746494,620.6251348435815,5.0,109.0,0.0,11124,0.0,10,883.04816,6,18
132,207,2627.5994604316547,620.6278776978418,48.0,118.0,0.0,11120,0.0,8,720.5882,6,19
133,208,2747.4052522708876,620.6210090835507,48.0,118.0,0.0,11119,0.0,8,720.5882,6,20
134,209,2866.5398110661267,620.646783625731,48.0,118.0,0.0,11115,0.0,8,720.5882,6,21
135,210,2986.024778602737,620.6620449056267,48.0,118.0,0.0,11179,0.0,8,720.5882,6,22
136,211,3105.517697919481,620.6709898225705,104.0,136.0,0.0,11103,0.0,6,560.74866,6,23
137,212,3224.954167783436,620.7252747252747,64.0,123.0,0.0,11193,0.0,8,670.8021,6,24
138,213,3344.4797802395747,620.660632261551,104.0,136.0,0.0,11103,0.0,6,560.74866,6,25
139,214,3463.600918257112,620.6272056175729,104.0,136.0,0.0,11108,0.0,6,560.74866,6,26
140,215,3583.4526098284073,620.5776659778995,64.0,123.0,0.0,11131,0.0,8,670.8021,6,27
141,216,3702.5956873315363,620.5808625336928,64.0,123.0,0.0,11130,0.0,8,670.8021,6,28
142,217,3822.4116061803807,620.5584800574919,64.0,123.0,0.0,11132,0.0,8,670.8021,6,29
143,218,3942.0590428837786,620.5816389949392,64.0,123.0,0.0,11263,0.0,8,670.8021,6,30
144,220,178.8450879374667,724.1260437022562,0.0,107.0,17.0,11258,0.0,11,980.0,7,0
145,221,298.5334293170161,724.0727076397012,0.0,107.0,17.0,11113,0.0,11,980.0,7,1
146,222,418.02335361488906,724.0892090193271,0.0,107.0,17.0,11176,0.0,11,980.0,7,2
147,223,537.496670865575,724.0793593665647,0.0,107.0,17.0,11114,0.0,11,980.0,7,3
148,224,656.9855954191644,724.0773016015031,0.0,107.0,17.0,11177,0.0,11,980.0,7,4
149,225,776.4621546215462,724.0757807578076,0.0,107.0,17.0,11111,0.0,11,980.0,7,5
150,226,895.6006478898587,724.0817061099613,0.0,107.0,17.0,11113,0.0,11,980.0,7,6
151,227,1015.421938270494,724.074777287861,0.0,107.0,17.0,11113,0.0,11,980.0,7,7
