hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.19893992436502,5,,0,0
2,12,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.19893992436502,5,,0,1
3,15,1213.0317116559672,110.21084383943074,0.0,108.0,5.0,12929,0.0,11,506.39038,0,2
4,16,1340.5815580780593,110.19522624786192,0.0,107.0,16.0,12862,0.0,11,530.70856,0,3
5,17,1468.4948301329393,110.2064837129752,0.0,107.0,16.0,12863,0.0,11,530.70856,0,4
6,18,1596.055998143708,110.21780493464306,0.0,107.0,16.0,12929,0.0,11,530.70856,0,5
7,20,1723.603965785381,110.20101088646967,0.0,107.0,16.0,12860,0.0,11,530.70856,0,6
8,21,1851.506414742244,110.20667133193375,0.0,107.0,16.0,12861,0.0,11,530.70856,0,7
9,22,1979.0745610642741,110.21656740660531,0.0,107.0,16.0,12929,0.0,11,530.70856,0,8
10,25,2106.9579240467165,110.20976100239771,0.0,107.0,16.0,12929,0.0,11,530.70856,0,9
11,27,2234.520758824444,110.20307883688385,0.0,107.0,16.0,12862,0.0,11,530.70856,0,10
12,28,2362.0934962493234,110.21552857474286,0.0,108.0,5.0,12931,0.0,11,506.39038,0,11
13,29,2489.978040671151,110.21108791463698,8.0,109.0,0.0,12933,0.0,10,477.78073,0,12
14,31,2617.5479984453946,110.21197046249515,8.0,109.0,0.0,12865,0.0,10,477.78073,0,13
15,32,2745.441688695382,110.21132016793656,58.0,122.0,0.0,12862,0.0,8,377.64706,0,14
16,33,3000.3457306679065,110.17333023399969,58.0,122.0,0.0,12906,0.0,8,377.64706,0,15
17,37,3128.465282637431,110.20744887644818,58.0,122.0,0.0,12861,0.0,8,377.64706,0,16
18,39,3256.0298507462685,110.21993658649757,58.0,122.0,0.0,12931,0.0,8,377.64706,0,17
19,41,3383.585458786936,110.21905132192846,58.0,122.0,0.0,12860,0.0,8,377.64706,0,18
20,42,3511.487209392738,110.20760438535106,58.0,122.0,0.0,12861,0.0,8,377.64706,0,19
21,44,3639.0532910511256,110.21687678861474,58.0,122.0,0.0,12929,0.0,8,377.64706,0,20
22,55,383.04415745108656,220.79699945866523,0.0,107.0,16.0,12931,0.0,11,530.70856,1,0
