hex_id,label_id,cx,cy,r,g,b,area,deltaE,scale_idx,value,row,col
1,1,41.464965626652564,92.66062929666843,249.0,248.0,247.0,15128,113.32696060514462,5,,0,0
2,12,145.22081609975925,113.89159824680536,249.0,248.0,247.0,16199,113.32696060514462,5,,0,1
3,15,1213.0317116559672,110.21084383943074,38.0,116.0,0.0,12929,0.0,9,969.25134,0,2
4,16,1340.585335510458,110.1985071145323,38.0,116.0,0.0,12861,0.0,9,969.25134,0,3
5,17,1468.4952573472244,110.21170890996734,27.0,113.0,0.0,12862,0.0,9,1022.7273,0,4
6,18,1596.055998143708,110.21780493464306,27.0,113.0,0.0,12929,0.0,9,1022.7273,0,5
7,20,1723.6072011820515,110.20460377945408,27.0,113.0,0.0,12859,0.0,9,1022.7273,0,6
8,21,1851.5106118323874,110.21519085749826,27.0,113.0,0.0,12863,0.0,9,1022.7273,0,7
9,22,1979.0745610642741,110.21656740660531,38.0,116.0,0.0,12929,0.0,9,969.25134,0,8
10,25,2106.9579240467165,110.20976100239771,38.0,116.0,0.0,12929,0.0,9,969.25134,0,9
11,27,2234.528410415857,110.21507967353284,38.0,116.0,0.0,12865,0.0,9,969.25134,0,10
12,28,2362.0934962493234,110.21552857474286,66.0,124.0,0.0,12931,0.0,8,845.5882,0,11
13,29,2489.97965970611,110.21562258313999,66.0,124.0,0.0,12930,0.0,8,845.5882,0,12
14,31,2617.54533437014,110.20800933125972,66.0,124.0,0.0,12860,0.0,8,845.5882,0,13
15,32,2745.447924762941,110.21863827141303,66.0,124.0,0.0,12866,0.0,8,845.5882,0,14
16,33,3000.3168730650154,110.23304953560371,201.0,84.0,0.0,12920,0.0,2,243.98396,0,15
17,37,3128.465282637431,110.20744887644818,201.0,84.0,0.0,12861,0.0,2,243.98396,0,16
18,39,3256.0292343387473,110.21484918793503,201.0,84.0,0.0,12930,0.0,2,243.98396,0,17
19,41,3383.5886149778366,110.21541332918578,201.0,84.0,0.0,12859,0.0,2,243.98396,0,18
20,42,3511.487209392738,110.20760438535106,201.0,84.0,0.0,12861,0.0,2,243.98396,0,19
21,44,3639.0532910511256,110.21687678861474,201.0,84.0,0.0,12929,0.0,2,243.98396,0,20
22,55,383.04415745108656,220.79699945866523,5.0,109.0,0.0,12931,0.0,10,1116.3102,2,0
23,56,510.604152087707,220.80125962211338,5.0,109.0,0.0,12861,0.0,10,1116.3102,2,1
24,57,638.8265274555298,220.79327146171693,5.0,109.0,0.0,12930,0.0,10,1116.3102,2,2
25,58,1148.9380139643133,221.0366951124903,38.0,116.0,0.0,12890,0.0,9,969.25134,2,3
26,59,1276.957097251421,221.1522230008565,38.0,116.0,0.0,12843,0.0,9,969.25134,2,4
27,60,1404.5120958271355,221.16996790104125,27.0,113.0,0.0,12773,0.0,9,1022.7273,2,5
28,61,1532.4033041027246,221.15729721265268,27.0,113.0,0.0,12772,0.0,9,1022.7273,2,6
29,62,1659.9725878046881,221.1531033408613,27.0,113.0,0.0,12841,0.0,9,1022.7273,2,7
30,63,1787.537509788567,221.17470634299139,27.0,113.0,0.0,12770,0.0,9,1022.7273,2,8
31,64,1915.4343979959292,221.15570690465006,38.0,116.0,0.0,12774,0.0,9,969.25134,2,9
32,65,2042.9949380889338,221.16229265633518,38.0,116.0,0.0,12841,0.0,9,969.25134,2,10
33,66,2170.5670999060444,221.18156905731288,38.0,116.0,0.0,12772,0.0,9,969.25134,2,11
34,67,2298.4526736083926,221.15141313708605,66.0,124.0,0.0,12773,0.0,8,845.5882,2,12
35,68,2426.0161968540724,221.15044385609718,66.0,124.0,0.0,12842,0.0,8,845.5882,2,13
36,69,2553.5757575757575,221.15879727507635,66.0,124.0,0.0,12771,0.0,8,845.5882,2,14
37,70,2681.470404008769,221.16324772940808,66.0,124.0,0.0,12772,0.0,8,845.5882,2,15
38,71,2809.172967937272,220.98501669125068,116.0,140.0,0.0,12881,0.0,6,675.13367,2,16
39,72,2936.816607115116,220.99471803635234,174.0,126.0,0.0,12874,0.0,4,421.123,2,17
40,73,3064.48946997573,221.16566194316135,201.0,84.0,0.0,12773,0.0,2,243.98396,2,18
41,74,3192.0510084884354,221.14726267424655,201.0,84.0,0.0,12841,0.0,2,243.98396,2,19
42,75,3319.9498520479674,221.1495872916991,201.0,84.0,0.0,12842,0.0,2,243.98396,2,20
43,76,3447.5086922474547,221.1744714173845,201.0,84.0,0.0,12770,0.0,2,243.98396,2,21
44,77,3575.402051362355,221.1569057312872,201.0,84.0,0.0,12772,0.0,2,243.98396,2,22
45,78,3703.085647788984,220.94740108611327,201.0,84.0,0.0,12890,0.0,2,243.98396,2,23
46,79,3830.885305491106,220.81593194122198,201.0,84.0,0.0,12930,0.0,2,243.98396,2,24
47,94,191.203573362209,331.37040761079743,19.0,111.0,0.0,12929,0.0,10,1056.1498,3,0
48,95,318.9736780805963,331.57605404146284,5.0,109.0,0.0,12879,0.0,10,1116.3102,3,1
49,96,446.9628562529201,331.73695686030214,5.0,109.0,0.0,12842,0.0,10,1116.3102,3,2
50,97,574.5327695560254,331.7317359642941,5.0,109.0,0.0,12771,0.0,10,1116.3102,3,3
51,98,702.5469225368594,331.53802948747955,5.0,109.0,0.0,12819,0.0,10,1116.3102,3,4
52,99,830.0088139786609,331.37830524199785,5.0,109.0,0.0,12934,0.0,10,1116.3102,3,5
53,123,957.3523790694609,323.9986819559773,249.0,248.0,247.0,15174,113.32696060514462,5,,3,6
54,100,1085.0189514563108,331.577786407767,66.0,124.0,0.0,12875,0.0,8,845.5882,3,7
55,101,1213.007008254166,331.7447438093755,38.0,116.0,0.0,12842,0.0,9,969.25134,3,8
56,102,1340.572915851272,331.75287671232877,38.0,116.0,0.0,12775,0.0,9,969.25134,3,9
57,103,1468.4429666718822,331.7886089813801,27.0,113.0,0.0,12782,0.0,9,1022.7273,3,10
58,104,1596.0322379691636,331.7445102009033,27.0,113.0,0.0,12842,0.0,9,1022.7273,3,11
59,105,1723.587756380147,331.74917801784875,27.0,113.0,0.0,12774,0.0,9,1022.7273,3,12
60,106,1851.4889602254932,331.73661133730036,27.0,113.0,0.0,12772,0.0,9,1022.7273,3,13
61,107,1979.0429906542056,331.73146417445486,38.0,116.0,0.0,12840,0.0,9,969.25134,3,14
62,108,2106.944643413267,331.7524914356898,38.0,116.0,0.0,12844,0.0,9,969.25134,3,15
63,109,2234.502388597384,331.73239877829116,66.0,124.0,0.0,12769,0.0,8,845.5882,3,16
64,110,2362.065119177442,331.7339149400218,66.0,124.0,0.0,12838,0.0,8,845.5882,3,17
65,111,2489.96285625292,331.73695686030214,66.0,124.0,0.0,12842,0.0,8,845.5882,3,18
66,112,2617.5263075477606,331.72956467272155,66.0,124.0,0.0,12772,0.0,8,845.5882,3,19
67,113,2745.4777274148173,331.6794310722101,66.0,124.0,0.0,12796,0.0,8,845.5882,3,20
68,114,2872.961245136187,331.7924513618677,174.0,126.0,0.0,12850,0.0,4,421.123,3,21
69,115,3000.50128996951,331.78437964193574,201.0,84.0,0.0,12791,0.0,2,243.98396,3,22
70,116,3128.4430350011744,331.7329105003524,201.0,84.0,0.0,12771,0.0,2,243.98396,3,23
71,117,3256.0021803457407,331.75284223641177,201.0,84.0,0.0,12842,0.0,2,243.98396,3,24
72,118,3383.5646285132702,331.74516558365303,201.0,84.0,0.0,12773,0.0,2,243.98396,3,25
73,119,3511.459984338293,331.7288958496476,201.0,84.0,0.0,12770,0.0,2,243.98396,3,26
74,120,3639.019386483961,331.7440049828714,201.0,84.0,0.0,12844,0.0,2,243.98396,3,27
75,121,3766.580208251781,331.75103734439836,201.0,84.0,0.0,12773,0.0,2,243.98396,3,28
76,122,3895.0136901539177,331.6889937350143,201.0,84.0,0.0,12929,0.0,2,243.98396,3,29
77,139,127.1332867567148,442.1504424778761,19.0,111.0,0.0,12882,0.0,10,1056.1498,4,0
78,147,255.4610806577917,442.32059514487077,19.0,111.0,0.0,12770,0.0,10,1056.1498,4,1
79,140,383.02390035033085,442.3181782794862,5.0,109.0,0.0,12845,0.0,10,1116.3102,4,2
